Experiment 2 Layerwise Sufficiency

checkpoint=final/linear_sweep_dx8.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    8  8.0    8.0        8.0  1.00     0.003       0.003    0.510
    1   11  8.0    8.0        8.0  1.00     0.004       0.004    0.518
    2   17  8.0    8.0        8.0  1.00     0.006       0.006    0.512
    3   27  8.0    8.0        8.0  1.00     0.006       0.006    0.509
    4   34  8.0    8.0        8.0  1.00     0.002       0.002    0.511
    5   37  8.0    8.0        8.0  1.00     0.001       0.001    0.511
    6   38  8.0    8.0        8.0  1.00     0.000       0.000    0.510
    7   40  8.0    8.0        8.0  1.00     0.000       0.000    0.510
    8   40  8.0    8.0        8.0  1.00     0.000       0.000    0.510

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    9  8.0    8.0        8.0  1.00     0.000       0.000    0.510
    1    9  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    2   11  8.0    8.0        8.0  1.00     0.003       0.003    0.504
    3   12  8.0    8.0        8.0  1.00     0.004       0.004    0.499
    4   13  8.0    8.0        8.0  1.00     0.005       0.005    0.501
    5   13  8.0    8.0        8.0  1.00     0.005       0.005    0.501
    6   13  8.0    8.0        8.0  1.00     0.005       0.005    0.502
    7   19  8.0    8.0        8.0  1.00     0.003       0.003    0.505
    8   19  8.0    8.0        8.0  1.00     0.003       0.003    0.504

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    9  8.0    8.0        8.0  1.00     0.001       0.001    0.509
    1   11  8.0    8.0        8.0  1.00     0.001       0.001    0.509
    2   17  8.0    8.0        8.0  1.00     0.003       0.003    0.509
    3   26  8.0    8.0        8.0  1.00     0.003       0.003    0.506
    4   31  8.0    8.0        8.0  1.00     0.001       0.001    0.507
    5   33  8.0    8.0        8.0  1.00     0.001       0.001    0.508
    6   33  8.0    8.0        8.0  1.00     0.001       0.001    0.509
    7   39  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    8   39  8.0    8.0        8.0  1.00     0.000       0.000    0.509
