probe_kind,eps,n,additivity_defect_mean,additivity_defect_std,eps_mean,eps_std
isotropic,0.0003,4,0.011913390148624664,0.00816603293200746,0.0003,0.0
isotropic,0.0009,4,0.0038195614044986897,0.0028747719334995367,0.0009,0.0
isotropic,0.0029999999999999996,4,0.0017926708470409247,0.0006854324871041372,0.0029999999999999996,0.0
isotropic,2.9999999999999997e-05,4,0.1176738083539359,0.06340148198980002,2.9999999999999997e-05,0.0
isotropic,8.999999999999999e-05,4,0.04059829280214699,0.026727440263243897,8.999999999999999e-05,0.0
label,0.0003,4,0.0012134106729278177,0.0006258856240686579,0.0003,0.0
label,0.0009,4,0.00038981028091589643,0.00022065351356277265,0.0009,0.0
label,0.0029999999999999996,4,0.00014103496475979989,5.104373103698669e-05,0.0029999999999999996,0.0
label,2.9999999999999997e-05,4,0.011177986739241334,0.0054353276876450965,2.9999999999999997e-05,0.0
label,8.999999999999999e-05,4,0.0038128611423761056,0.001876580660353491,8.999999999999999e-05,0.0
