episode,bank_index,bank_batch_index,bank_batch_member,name,sampling_mode,profile,tau_actual,log10_lambda1,scale_bin,lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,q_label_energy_frac,base_krr_mse,mse,mse_ratio,krr_input_mse,krr_input_ratio,model_vs_input_krr,pred_drift,krr_drift
6,6,6,0,y_perp,fixed_target_rich,minimal_smooth,12.899203300476074,0.3828449845314026,"[0,1)",2.414598822625375,,47,40,22,22,47,22,47,0.03503306333715417,2.504387974402348e-25,1.0,0.42807257839233037,0.1641526534075242,13.090635444522963,79.74671851343302,13.042833265775005,79.45551287188128,0.0023307858732241273,1.0004207727948509,0.9996463714264028
7,7,7,0,y,fixed_target_rich,minimal_smooth,1.5501453876495361,-1.8268457055091858,"[-2,-1)",0.014898903062523953,,47,40,18,18,47,18,47,0.048340207828849104,2.1478934976785583e-29,1.0,0.5675521404103455,0.048173074735684274,0.042678178365294896,0.8859342817426801,0.048173074735684274,1.0,0.052786009411796224,0.0,0.0
7,7,7,0,y_Q,fixed_target_rich,minimal_smooth,1.5501453876495361,-1.8268457055091858,"[-2,-1)",0.014898903062523953,,47,40,18,18,47,18,47,0.048340207828849104,2.1478934976785583e-29,1.0,0.5675521404103455,0.048173074735684274,0.043554360277149436,0.9041224899204219,0.05220836082623442,1.0837664216513256,0.0805926857389762,0.15862201485829824,0.1458189690378339
7,7,7,0,y_perp,fixed_target_rich,minimal_smooth,1.5501453876495361,-1.8268457055091858,"[-2,-1)",0.014898903062523953,,47,40,18,18,47,18,47,0.048340207828849104,2.1478934976785583e-29,1.0,0.5675521404103455,0.048173074735684274,0.14227210518286126,2.953353215743005,0.14536217256426753,3.0174983299662683,0.006088168730847287,0.9620702408226065,0.9893112898718517
8,8,8,0,y,fixed_target_rich,minimal_step,0.5763994455337524,-1.8229717016220093,"[-2,-1)",0.01503239913144749,,47,40,16,16,47,16,47,0.046223181273791616,1.0896840722327381e-29,1.0,0.39624631160847773,0.019748209140409232,0.028544450158157243,1.4454196811066247,0.019748209140409232,1.0,0.14975981396608098,0.0,0.0
8,8,8,0,y_Q,fixed_target_rich,minimal_step,0.5763994455337524,-1.8229717016220093,"[-2,-1)",0.01503239913144749,,47,40,16,16,47,16,47,0.046223181273791616,1.0896840722327381e-29,1.0,0.39624631160847773,0.019748209140409232,0.021913179310805293,1.1096286835430587,0.01972905659442605,0.9990301628949233,0.04078446456104763,0.5388838391779448,0.3223094927009073
8,8,8,0,y_perp,fixed_target_rich,minimal_step,0.5763994455337524,-1.8229717016220093,"[-2,-1)",0.01503239913144749,,47,40,16,16,47,16,47,0.046223181273791616,1.0896840722327381e-29,1.0,0.39624631160847773,0.019748209140409232,0.03824116130399365,1.9364369210443353,0.0348087226678155,1.7626267992366509,0.01934095295544184,0.9455327691579679,0.9466343491085811
9,9,9,0,y,fixed_target_rich,minimal_step,14.602849960327148,0.44650256633758545,"[0,1)",2.7957772483687595,,47,40,31,31,47,31,46,0.04459496804266115,1.306794613259227e-26,1.0,0.630052819780219,0.20981662243143534,0.42000959299636376,2.001793700275659,0.20981662243143534,1.0,0.4035480555594575,0.0,0.0
9,9,9,0,y_Q,fixed_target_rich,minimal_step,14.602849960327148,0.44650256633758545,"[0,1)",2.7957772483687595,,47,40,31,31,47,31,46,0.04459496804266115,1.306794613259227e-26,1.0,0.630052819780219,0.20981662243143534,0.3408672954272448,1.6245962377868068,0.22267480872679712,1.061282972465938,0.1607281591786887,0.13968240868352216,0.07751712393953852
9,9,9,0,y_perp,fixed_target_rich,minimal_step,14.602849960327148,0.44650256633758545,"[0,1)",2.7957772483687595,,47,40,31,31,47,31,46,0.04459496804266115,1.306794613259227e-26,1.0,0.630052819780219,0.20981662243143534,2.34175804198931,11.160974830554991,2.198891612219415,10.480063908844862,0.010249654114713635,1.008330741076975,0.9969910207699518
10,10,10,0,y,fixed_target_rich,minimal_step,8.949390411376953,0.40214061737060547,"[0,1)",2.5242979661095464,,47,40,26,26,47,26,47,0.04653757089478931,7.520866450542522e-25,1.0,0.5131739129191447,0.10969151011669723,0.13143543765496632,1.19822798970619,0.10969151011669723,1.0,0.23324411972976453,0.0,0.0
10,10,10,0,y_Q,fixed_target_rich,minimal_step,8.949390411376953,0.40214061737060547,"[0,1)",2.5242979661095464,,47,40,26,26,47,26,47,0.04653757089478931,7.520866450542522e-25,1.0,0.5131739129191447,0.10969151011669723,0.10816626109306256,0.9860951041515245,0.1139229863954359,1.0385761511919833,0.18641447444493472,0.04769124525622364,0.032169685002722014
10,10,10,0,y_perp,fixed_target_rich,minimal_step,8.949390411376953,0.40214061737060547,"[0,1)",2.5242979661095464,,47,40,26,26,47,26,47,0.04653757089478931,7.520866450542522e-25,1.0,0.5131739129191447,0.10969151011669723,4.978307645655461,45.384621292561306,4.911043114211173,44.77140581788394,0.0020929001131640536,1.0033689827330459,0.9994824217397126
11,11,11,0,y,fixed_target_rich,minimal_step,2.596475601196289,-1.0478297472000122,"[-2,-1)",0.08957158366503441,,47,40,11,11,47,11,47,0.04492494593045224,4.282135001310497e-28,1.0,0.20740143109465387,0.011682803811058916,0.016795953283167776,1.4376645841872961,0.011682803811058916,1.0,0.32332325795257777,0.0,0.0
11,11,11,0,y_Q,fixed_target_rich,minimal_step,2.596475601196289,-1.0478297472000122,"[-2,-1)",0.08957158366503441,,47,40,11,11,47,11,47,0.04492494593045224,4.282135001310497e-28,1.0,0.20740143109465387,0.011682803811058916,0.0201179332700708,1.7220124205995146,0.013997704313737125,1.1981459707888724,0.20951364104775685,0.13088226848747492,0.059954526504170075
11,11,11,0,y_perp,fixed_target_rich,minimal_step,2.596475601196289,-1.0478297472000122,"[-2,-1)",0.08957158366503441,,47,40,11,11,47,11,47,0.04492494593045224,4.282135001310497e-28,1.0,0.20740143109465387,0.011682803811058916,0.48209389911444517,41.26525677492728,0.48873529828693496,41.83373325368172,0.005691850996879875,0.9890515165611532,0.9982011093718453
12,12,12,0,y,fixed_target_rich,minimal_step,2.319181442260742,-1.0161939859390259,"[-2,-1)",0.09633986070851676,,47,40,22,22,47,22,47,0.04130996347100325,8.011063870034805e-29,1.0,0.482822535228696,0.10857294820534377,0.12949509135368414,1.1927012528827197,0.10857294820534377,1.0,0.054651407211687285,0.0,0.0
12,12,12,0,y_Q,fixed_target_rich,minimal_step,2.319181442260742,-1.0161939859390259,"[-2,-1)",0.09633986070851676,,47,40,22,22,47,22,47,0.04130996347100325,8.011063870034805e-29,1.0,0.482822535228696,0.10857294820534377,0.1308988502894385,1.2056304305366177,0.10778944708660698,0.9927836433320854,0.04772547787590073,0.16303409707435437,0.09197552597152339
12,12,12,0,y_perp,fixed_target_rich,minimal_step,2.319181442260742,-1.0161939859390259,"[-2,-1)",0.09633986070851676,,47,40,22,22,47,22,47,0.04130996347100325,8.011063870034805e-29,1.0,0.482822535228696,0.10857294820534377,0.323077328843457,2.975670589992837,0.3208471029288865,2.9551293230250053,0.003945224130084101,0.9824410607747801,0.9957612678857367
13,13,13,0,y,fixed_target_rich,minimal_step,3.5378060340881348,-1.0310525298118591,"[-2,-1)",0.09309952607198162,,47,40,25,25,47,25,47,0.04723872645380304,8.580721662835663e-29,1.0,0.5075505051129755,0.09264189876625502,0.08075513259201178,0.8716912505837692,0.09264189876625502,1.0,0.07634006449398052,0.0,0.0
13,13,13,0,y_Q,fixed_target_rich,minimal_step,3.5378060340881348,-1.0310525298118591,"[-2,-1)",0.09309952607198162,,47,40,25,25,47,25,47,0.04723872645380304,8.580721662835663e-29,1.0,0.5075505051129755,0.09264189876625502,0.09240906933104039,0.997486780405893,0.09148857632641164,0.9875507469600409,0.04028568653445797,0.15063544512131874,0.10711367557531822
13,13,13,0,y_perp,fixed_target_rich,minimal_step,3.5378060340881348,-1.0310525298118591,"[-2,-1)",0.09309952607198162,,47,40,25,25,47,25,47,0.04723872645380304,8.580721662835663e-29,1.0,0.5075505051129755,0.09264189876625502,0.6114804521831549,6.600474087064889,0.6203144688515883,6.69583068905685,0.0029338290611642284,0.9814547724127826,0.9942467804847437
14,14,14,0,y,fixed_target_rich,minimal_step,6.515750885009766,-0.4833717346191406,"[-1,0)",0.3285702705601057,,47,40,28,28,47,28,47,0.049030947319891924,6.992645981673257e-28,1.0,0.4892456763400981,0.17954055185578183,0.2170768867850587,1.2090688401104415,0.17954055185578183,1.0,0.044447172225635385,0.0,0.0
14,14,14,0,y_Q,fixed_target_rich,minimal_step,6.515750885009766,-0.4833717346191406,"[-1,0)",0.3285702705601057,,47,40,28,28,47,28,47,0.049030947319891924,6.992645981673257e-28,1.0,0.4892456763400981,0.17954055185578183,0.22334935810548914,1.2440050773871816,0.19057999694179423,1.061487195911484,0.017653831355455177,0.20386342381052994,0.14663810634341157
14,14,14,0,y_perp,fixed_target_rich,minimal_step,6.515750885009766,-0.4833717346191406,"[-1,0)",0.3285702705601057,,47,40,28,28,47,28,47,0.049030947319891924,6.992645981673257e-28,1.0,0.4892456763400981,0.17954055185578183,0.7389554901251296,4.115813850893724,0.7066942531036124,3.9361261052114473,0.005096611229149936,1.0155865612909778,0.9891902070721661
15,15,15,0,y,fixed_target_rich,minimal_smooth,7.961815357208252,-0.298816978931427,"[-1,0)",0.5025543321455969,,47,40,19,19,47,19,47,0.04588467145726598,4.736493658430002e-27,1.0,0.38005762267172444,0.043356039447599665,0.04116506385737323,0.949465504272491,0.043356039447599665,1.0,0.07950026058243312,0.0,0.0
15,15,15,0,y_Q,fixed_target_rich,minimal_smooth,7.961815357208252,-0.298816978931427,"[-1,0)",0.5025543321455969,,47,40,19,19,47,19,47,0.04588467145726598,4.736493658430002e-27,1.0,0.38005762267172444,0.043356039447599665,0.04366723180818741,1.0071776011958806,0.04721472345902501,1.0889999192866537,0.12738935012096503,0.04623005754524568,0.032044219371564535
15,15,15,0,y_perp,fixed_target_rich,minimal_smooth,7.961815357208252,-0.298816978931427,"[-1,0)",0.5025543321455969,,47,40,19,19,47,19,47,0.04588467145726598,4.736493658430002e-27,1.0,0.38005762267172444,0.043356039447599665,3.8284586505352465,88.30277625248361,3.8053669480445933,87.7701698893364,0.0006432112866040636,1.0022468671062992,0.9994864521366549
16,16,16,0,y,fixed_target_rich,minimal_smooth,12.2171630859375,-1.031690001487732,"[-2,-1)",0.0929629717799408,,47,40,30,30,47,30,47,0.04598830040700135,2.44479645683229e-28,1.0,0.6932371546609695,0.22748416091615367,0.22603863863883117,0.9936456135165591,0.22748416091615367,1.0,0.05515293236889825,0.0,0.0
16,16,16,0,y_Q,fixed_target_rich,minimal_smooth,12.2171630859375,-1.031690001487732,"[-2,-1)",0.0929629717799408,,47,40,30,30,47,30,47,0.04598830040700135,2.44479645683229e-28,1.0,0.6932371546609695,0.22748416091615367,0.20790449914908696,0.9139295602462476,0.2577170884669341,1.1329012421305398,0.052801990348351334,0.16507613323580414,0.14392865858499165
16,16,16,0,y_perp,fixed_target_rich,minimal_smooth,12.2171630859375,-1.031690001487732,"[-2,-1)",0.0929629717799408,,47,40,30,30,47,30,47,0.04598830040700135,2.44479645683229e-28,1.0,0.6932371546609695,0.22748416091615367,0.7323135025078447,3.2191845777683024,0.7318513092051973,3.2171528173996418,0.01478339025091835,0.9544935109753689,0.9895880664385437
17,17,17,0,y,fixed_target_rich,minimal_smooth,10.687694549560547,0.2292271852493286,"[0,1)",1.6952243630675785,,47,40,20,20,47,20,47,0.0339875647762431,1.4631465608940094e-25,1.0,0.5004833648889947,0.10234087334354629,0.15283158303379327,1.4933582061661288,0.10234087334354629,1.0,0.11582967157280347,0.0,0.0
17,17,17,0,y_Q,fixed_target_rich,minimal_smooth,10.687694549560547,0.2292271852493286,"[0,1)",1.6952243630675785,,47,40,20,20,47,20,47,0.0339875647762431,1.4631465608940094e-25,1.0,0.5004833648889947,0.10234087334354629,0.13602899908286628,1.3291756718377115,0.10639312324149859,1.0395956157648703,0.06135892714081916,0.018284179252065432,0.013544362920910278
17,17,17,0,y_perp,fixed_target_rich,minimal_smooth,10.687694549560547,0.2292271852493286,"[0,1)",1.6952243630675785,,47,40,20,20,47,20,47,0.0339875647762431,1.4631465608940094e-25,1.0,0.5004833648889947,0.10234087334354629,11.902770190381512,116.30514574978572,12.136516837896322,118.58914665654123,0.0007296025876814829,0.9892901934185017,0.999908270909377
18,18,18,0,y,fixed_target_rich,minimal_step,1.6362669467926025,-1.28641277551651,"[-2,-1)",0.0517115105866112,,47,40,22,22,47,22,47,0.04394976136437708,1.6570729655408187e-29,1.0,0.605830987008294,0.08777902128962303,0.08905019272557299,1.0144814947498193,0.08777902128962303,1.0,0.013648681942391098,0.0,0.0
18,18,18,0,y_Q,fixed_target_rich,minimal_step,1.6362669467926025,-1.28641277551651,"[-2,-1)",0.0517115105866112,,47,40,22,22,47,22,47,0.04394976136437708,1.6570729655408187e-29,1.0,0.605830987008294,0.08777902128962303,0.08616037021116134,0.9815599324909191,0.08947965935632218,1.0193740832571825,0.020367949686125944,0.23973046223856226,0.20657238841505382
18,18,18,0,y_perp,fixed_target_rich,minimal_step,1.6362669467926025,-1.28641277551651,"[-2,-1)",0.0517115105866112,,47,40,22,22,47,22,47,0.04394976136437708,1.6570729655408187e-29,1.0,0.605830987008294,0.08777902128962303,0.1386666026168087,1.5797237264617512,0.13954865747419298,1.5897723103309422,0.001989212018410778,0.9706826660319265,0.9784313201974292
19,19,19,0,y,fixed_target_rich,minimal_step,11.95218563079834,0.3090590238571167,"[0,1)",2.0373189457210157,,47,40,30,30,47,30,47,0.04367068279161732,1.8676364212138173e-26,1.0,0.6154813954541841,0.43750163125527186,0.49529052898142367,1.1320884165856593,0.43750163125527186,1.0,0.08032180094203978,0.0,0.0
19,19,19,0,y_Q,fixed_target_rich,minimal_step,11.95218563079834,0.3090590238571167,"[0,1)",2.0373189457210157,,47,40,30,30,47,30,47,0.04367068279161732,1.8676364212138173e-26,1.0,0.6154813954541841,0.43750163125527186,0.46928041921509367,1.0726369587894853,0.4686325624219501,1.0711561487836239,0.04014209149092333,0.13531470689058794,0.099669384390079
19,19,19,0,y_perp,fixed_target_rich,minimal_step,11.95218563079834,0.3090590238571167,"[0,1)",2.0373189457210157,,47,40,30,30,47,30,47,0.04367068279161732,1.8676364212138173e-26,1.0,0.6154813954541841,0.43750163125527186,2.8713249340617972,6.563003950004582,2.8325963580639026,6.474481820642972,0.0051569629896851,0.9906338887792324,0.9950206097439123
20,20,20,0,y,fixed_target_rich,minimal_step,11.398333549499512,-0.5583012104034424,"[-1,0)",0.27650232635477123,,47,40,30,30,47,30,47,0.04300020595330034,1.3046652688675012e-27,1.0,0.6562652256111282,0.2033370413073361,0.2025198215843489,0.9959809598992246,0.2033370413073361,1.0,0.11057385870130829,0.0,0.0
20,20,20,0,y_Q,fixed_target_rich,minimal_step,11.398333549499512,-0.5583012104034424,"[-1,0)",0.27650232635477123,,47,40,30,30,47,30,47,0.04300020595330034,1.3046652688675012e-27,1.0,0.6562652256111282,0.2033370413073361,0.20197035367145105,0.9932787079663495,0.21060344497989708,1.0357357598293078,0.09716554452771785,0.08918252619949409,0.07771412951622989
20,20,20,0,y_perp,fixed_target_rich,minimal_step,11.398333549499512,-0.5583012104034424,"[-1,0)",0.27650232635477123,,47,40,30,30,47,30,47,0.04300020595330034,1.3046652688675012e-27,1.0,0.6562652256111282,0.2033370413073361,1.732723702123737,8.521436581270954,1.7565240769265664,8.638485470395175,0.0023417877598710473,0.9875253445192307,0.9969756837923893
21,21,21,0,y,fixed_target_rich,minimal_step,3.5942907333374023,-0.3681038022041321,"[-1,0)",0.4284461037951065,,47,40,14,14,47,14,47,0.04440975887613909,6.72255113136768e-27,1.0,0.3160271642690385,0.035638544821404036,0.04590720638617285,1.2881335816663757,0.035638544821404036,1.0,0.18895762800725413,0.0,0.0
21,21,21,0,y_Q,fixed_target_rich,minimal_step,3.5942907333374023,-0.3681038022041321,"[-1,0)",0.4284461037951065,,47,40,14,14,47,14,47,0.04440975887613909,6.72255113136768e-27,1.0,0.3160271642690385,0.035638544821404036,0.039669094823163234,1.1130952462272956,0.03828778279457053,1.0743363116098779,0.0457985449386967,0.04562887237698253,0.030627673520202514
21,21,21,0,y_perp,fixed_target_rich,minimal_step,3.5942907333374023,-0.3681038022041321,"[-1,0)",0.4284461037951065,,47,40,14,14,47,14,47,0.04440975887613909,6.72255113136768e-27,1.0,0.3160271642690385,0.035638544821404036,3.611465556248484,101.33594327003739,3.6550018545496803,102.55755033955637,0.0007320292125563376,0.992883077177998,0.9995308627624079
22,22,22,0,y,fixed_target_rich,minimal_smooth,7.677505016326904,0.14558625221252441,"[0,1)",1.398254585386439,,47,40,16,16,47,16,47,0.03596623041133068,5.253004073039836e-26,1.0,0.17604576079441106,0.04681417845547216,0.06028931053623442,1.2878429682062942,0.04681417845547216,1.0,0.1972658950988677,0.0,0.0
22,22,22,0,y_Q,fixed_target_rich,minimal_smooth,7.677505016326904,0.14558625221252441,"[0,1)",1.398254585386439,,47,40,16,16,47,16,47,0.03596623041133068,5.253004073039836e-26,1.0,0.17604576079441106,0.04681417845547216,0.04686206025369528,1.001022805479085,0.04814828792660817,1.0284979789275799,0.04190047480254062,0.05916567161254102,0.022105077741605642
22,22,22,0,y_perp,fixed_target_rich,minimal_smooth,7.677505016326904,0.14558625221252441,"[0,1)",1.398254585386439,,47,40,16,16,47,16,47,0.03596623041133068,5.253004073039836e-26,1.0,0.17604576079441106,0.04681417845547216,1.4656524359188245,31.307874756638025,1.4501986100286965,30.97776481131821,0.0035237398321926474,0.9988467138413746,0.999755652916132
23,23,23,0,y,fixed_target_rich,minimal_step,15.371700286865234,-0.26878875494003296,"[-1,0)",0.5385316658598818,,47,40,32,32,47,32,47,0.04140894901002983,1.0571898323920764e-27,1.0,0.8360479544939105,0.24168599756442152,0.5122250092644878,2.1193822332547585,0.24168599756442152,1.0,0.37103359122335305,0.0,0.0
23,23,23,0,y_Q,fixed_target_rich,minimal_step,15.371700286865234,-0.26878875494003296,"[-1,0)",0.5385316658598818,,47,40,32,32,47,32,47,0.04140894901002983,1.0571898323920764e-27,1.0,0.8360479544939105,0.24168599756442152,0.47762608728810835,1.9762257313264369,0.2501293322334516,1.0349351421022208,0.2820016424546887,0.05315124826386355,0.036220532623371146
23,23,23,0,y_perp,fixed_target_rich,minimal_step,15.371700286865234,-0.26878875494003296,"[-1,0)",0.5385316658598818,,47,40,32,32,47,32,47,0.04140894901002983,1.0571898323920764e-27,1.0,0.8360479544939105,0.24168599756442152,4.279529859125874,17.706983036885134,4.185299569841194,17.317095785516496,0.001527924422680374,1.0043308999836886,0.9993438212228637
24,24,24,0,y,fixed_target_rich,minimal_smooth,2.7498202323913574,-1.795834720134735,"[-2,-1)",0.016001668897895772,,47,40,25,25,47,25,47,0.04222503005137858,3.742959362488041e-29,1.0,0.37902052433181643,0.08117511225136903,0.09173918977514042,1.1301393645266347,0.08117511225136903,1.0,0.053145355705542734,0.0,0.0
24,24,24,0,y_Q,fixed_target_rich,minimal_smooth,2.7498202323913574,-1.795834720134735,"[-2,-1)",0.016001668897895772,,47,40,25,25,47,25,47,0.04222503005137858,3.742959362488041e-29,1.0,0.37902052433181643,0.08117511225136903,0.09746961066423829,1.2007326871616917,0.08945132617417681,1.1019550659465605,0.0255581541716293,0.2282808191039382,0.18289419975957658
24,24,24,0,y_perp,fixed_target_rich,minimal_smooth,2.7498202323913574,-1.795834720134735,"[-2,-1)",0.016001668897895772,,47,40,25,25,47,25,47,0.04222503005137858,3.742959362488041e-29,1.0,0.37902052433181643,0.08117511225136903,0.19182988869023548,2.3631613602973522,0.1872034511978434,2.306168060699986,0.014772758859239399,0.9608560447767202,0.9831326012768187
25,25,25,0,y,fixed_target_rich,minimal_step,13.581661224365234,-0.4025208353996277,"[-1,0)",0.39580307561660877,,47,40,25,25,47,25,47,0.04625785348855507,7.283748582154641e-27,1.0,0.5041998672579158,0.10996571449708062,0.09294351714764974,0.845204503719359,0.10996571449708062,1.0,0.17991968686824944,0.0,0.0
25,25,25,0,y_Q,fixed_target_rich,minimal_step,13.581661224365234,-0.4025208353996277,"[-1,0)",0.39580307561660877,,47,40,25,25,47,25,47,0.04625785348855507,7.283748582154641e-27,1.0,0.5041998672579158,0.10996571449708062,0.11116864730759879,1.0109391624109358,0.11331939649355835,1.0304975238129042,0.07295071689037365,0.058197651999617704,0.034251268665017834
