name,n,mse_ratio_mean,mse_ratio_median,mse_ratio_std,mse_ratio_q25,mse_ratio_q75,krr_input_ratio_mean,krr_input_ratio_median,krr_input_ratio_std,krr_input_ratio_q25,krr_input_ratio_q75,model_vs_input_krr_mean,model_vs_input_krr_median,model_vs_input_krr_std,model_vs_input_krr_q25,model_vs_input_krr_q75,pred_drift_mean,pred_drift_median,pred_drift_std,pred_drift_q25,pred_drift_q75,krr_drift_mean,krr_drift_median,krr_drift_std,krr_drift_q25,krr_drift_q75,rank_Q_mean,rank_Q_median,rank_Q_std,rank_Q_q25,rank_Q_q75,r_T_mean,r_T_median,r_T_std,r_T_q25,r_T_q75,rho_TQ_mean,rho_TQ_median,rho_TQ_std,rho_TQ_q25,rho_TQ_q75,reach_alpha_mean,reach_alpha_median,reach_alpha_std,reach_alpha_q25,reach_alpha_q75,base_krr_mse_mean,base_krr_mse_median,base_krr_mse_std,base_krr_mse_q25,base_krr_mse_q75,q_label_energy_frac_mean,q_label_energy_frac_median,q_label_energy_frac_std,q_label_energy_frac_q25,q_label_energy_frac_q75,cert_fraction
y,200,84.95483149708674,1.1364275839309768,1183.2947526861963,1.032167643660962,1.3720720548707661,1.0,1.0,0.0,1.0,1.0,83.75707027201625,0.1569958738197144,1180.7508642692042,0.06422393565447694,0.2988137952991805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,25.0,6.9672601191457755,20.0,29.0,23.285,25.0,6.609250027775333,19.75,28.0,0.044446508056201865,0.04408364879807051,0.012040813702579837,0.04033326267924925,0.04710600882041719,0.97,1.0,0.17101529509309654,1.0,1.0,0.13139548487272026,0.11095238466692546,0.09134370817143823,0.06733889762841351,0.16957102500878166,0.5097377505339145,0.5186832780240794,0.17407394201880103,0.4193231006097151,0.6184945875234121,0.97
y_Q,200,1.2027321756758447,1.1196913489443747,0.2896179392826058,1.0296730075774172,1.2707253507430882,1.052686685075047,1.0480301005426242,0.07054654114444688,1.0067697294063462,1.086800474399135,0.13550271849726034,0.07669968389286555,0.19540031854302725,0.04148719390541517,0.1525042984381902,0.1388353790813988,0.09735071531668085,0.14798162942056547,0.055679979153821356,0.16393148964777848,0.08499651788345965,0.06215158128893736,0.09509140476310389,0.033969151232159,0.10211764797022603,23.8,25.0,6.9672601191457755,20.0,29.0,23.285,25.0,6.609250027775333,19.75,28.0,0.044446508056201865,0.04408364879807051,0.012040813702579837,0.04033326267924925,0.04710600882041719,0.97,1.0,0.17101529509309654,1.0,1.0,0.13139548487272026,0.11095238466692546,0.09134370817143823,0.06733889762841351,0.16957102500878166,0.5097377505339145,0.5186832780240794,0.17407394201880103,0.4193231006097151,0.6184945875234121,0.97
y_perp,200,117.4137538794138,12.045110802003489,854.6646803536223,4.5963314561575634,47.078440508097586,57.379892256749955,11.563810765173926,131.66153782366627,4.411211418885118,45.48735799901602,61.27853795394886,0.0038300391869308895,866.3185935992414,0.00163810563083235,0.010529168942496421,0.9816532074764918,0.9956396402366299,0.07221605269614144,0.9795251130207583,1.0038284909775883,0.990875876091082,0.9977954468596728,0.04174749317440733,0.9943309096792315,0.9993508742433855,23.8,25.0,6.9672601191457755,20.0,29.0,23.285,25.0,6.609250027775333,19.75,28.0,0.044446508056201865,0.04408364879807051,0.012040813702579837,0.04033326267924925,0.04710600882041719,0.97,1.0,0.17101529509309654,1.0,1.0,0.13139548487272026,0.11095238466692546,0.09134370817143823,0.06733889762841351,0.16957102500878166,0.5097377505339145,0.5186832780240794,0.17407394201880103,0.4193231006097151,0.6184945875234121,0.97
