episode,bank_index,scale_bin,log10_lambda1,tau_actual,n_ctx,n_tgt,r_T,rank_Q,rho_TQ,reach_alpha,krr_mse,base_mse_ratio,label_keep_mse_ratio,label_perp_mse_ratio,label_keep_krr_ratio,label_perp_krr_ratio
35,35,"[-2,-1)",-1.803037703037262,0.1977003514766693,47,40,2,3,0.04814874803070784,1.0,0.004991201819294825,16735.596231261534,1.1687099194021109,12001.171173091368,1.026241972537022,0.9774856068518921
184,184,"[-2,-1)",-1.8695133924484253,0.16437451541423798,47,40,1,1,0.037120787443850084,1.0,0.008793356423067958,6.833436048330752,0.9892047817121145,7.392856684800763,1.165533609178278,2.6323306408141844
