scale_bin,n,reach,r_T_mean,r_T_median,rank_Q_mean,rank_Q_median,rho_TQ_mean,rho_TQ_median,base_mean,base_median,label_keep_mean,label_keep_median,label_perp_mean,label_perp_median
"[-2,-1)",66,1.0,21.181818181818183,23.0,21.196969696969695,23.0,0.04343326510430047,0.044548879557191105,254.7902272622502,1.0784329982199374,1.124371541336993,1.0839860595758024,187.19192763217595,3.888646796879966
"[-1,0)",67,1.0,24.46268656716418,26.0,24.46268656716418,26.0,0.04283508676716235,0.043505822668949236,1.1711088231269453,1.116564271719846,1.1432292218521292,1.1014705319184308,23.670993270132353,14.36561617403789
"[0,1)",67,0.9104477611940298,24.17910447761194,25.0,25.70149253731343,26.0,0.047056049268009915,0.04425078520375559,1.4380150590945364,1.2878429682062942,1.339426202131862,1.2496796012046278,142.41980601582506,61.951523389379716
