probe_kind,eps,n,additivity_defect_mean,additivity_defect_std,eps_mean,eps_std
isotropic,0.0001,4,0.03421938771010508,0.026257544221921312,0.0001,0.0
isotropic,0.00030000000000000003,4,0.01191339014862466,0.008166032932007456,0.00030000000000000003,0.0
isotropic,0.001,4,0.0037415139429568915,0.002292838308784706,0.001,0.0
isotropic,1e-05,4,0.33405515120349727,0.2368265350696838,1e-05,0.0
isotropic,3e-05,4,0.1176738083539359,0.06340148198980002,3e-05,0.0
label,0.0001,4,0.003054638293254721,0.00127056727305211,0.0001,0.0
label,0.00030000000000000003,4,0.0012134106729278175,0.0006258856240686578,0.00030000000000000003,0.0
label,0.001,4,0.0003665889193847047,0.00021662747583012047,0.001,0.0
label,1e-05,4,0.030713204590121133,0.016255786833177133,1e-05,0.0
label,3e-05,4,0.011177986739241332,0.005435327687645096,3e-05,0.0
