episode,model_key,checkpoint,mse_model_true,mse_krr_true,ratio_model_krr,mse_model_krr,rel_model_krr_norm,rel_model_true_norm,krr_pred_norm,model_pred_norm,krr_posterior_risk
0,standard,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/checkpoints/final/linear_baseline_dx5_L8.pt,0.00835980903044753,0.004830015693996746,1.7308036992173716,0.002035629546885091,0.008509888746080706,0.017111255225970713,9.183032428541004,9.128956053276802,0.0689243863416511
1,standard,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/checkpoints/final/linear_baseline_dx5_L8.pt,0.007327784831242449,0.013834019383023866,0.5296931158152482,0.005785865561620474,0.022689503301952747,0.026083135879052022,5.806571895180755,5.675508777474946,0.024803190912299655
2,standard,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/checkpoints/final/linear_baseline_dx5_L8.pt,0.03971559658931293,0.033687355835320495,1.1789466879935988,0.0002827533645433648,0.0031262663796780736,0.03717597693340783,9.316194304498515,9.316160421398974,0.05241074259512146
3,standard,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/checkpoints/final/linear_baseline_dx5_L8.pt,0.008978463868605976,0.006847586799776831,1.311186572895811,0.00018229763345697293,0.007478883177466325,0.05027134404192433,3.126902885806193,3.1093560543550693,0.023280375779367812
