episode,probe_kind,basis,rank,is_selected_rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rho_operator_to_T
0,isotropic,raw,0,0,0.008509888746080706,0.9999999999998911,0.9941112725359517,0.32806804195020056,1.0495013388347862,0.9999999999999942,1.0495013388347862,0.9999999999999942,0.9999999999990471,0.9999999999989999,1.9058088440715437e-12,2.000177801164682e-12,-0.9498913180428151,484.8505348546102
0,isotropic,raw,1,0,0.008509888746080706,0.9523405415474137,0.9481153886037567,0.32806804195020056,1.1740172703276925,1.0217982381078128,1.0495013388347862,0.9999999999999942,1.1186429467827377,1.0217982381067967,-0.25136204238676685,-0.04407163939815395,-0.9647976874190805,413.4397250627731
0,isotropic,raw,2,0,0.008509888746080706,0.33969429452602756,0.33935830963704966,0.32806804195020056,1.1096690498897501,0.950400922690055,1.0495013388347862,0.9999999999999942,1.0573298087649015,0.95040092268911,-0.11794632450282316,0.09673808615168833,-0.960999466318535,328.4435590308499
0,isotropic,raw,3,0,0.008509888746080706,0.29419114359862525,0.29294121818617774,0.32806804195020056,1.1077899552452228,0.9482313712295392,1.0495013388347862,0.9999999999999942,1.0555393444986894,0.9482313712285964,-0.11416330778472283,0.10085726661793593,-0.9608880062342061,306.7862480329942
0,isotropic,raw,4,0,0.008509888746080706,0.1038394369739613,0.10489145982661877,0.32806804195020056,1.0744078155259205,0.9094945787313398,1.0495013388347862,0.9999999999999942,1.0237317245519315,0.9094945787304355,-0.04802664385407174,0.17281961125994771,-0.9588442020203135,263.5007449202984
0,isotropic,raw,5,0,0.008509888746080706,0.01608338610398036,0.02354738313911345,0.32806804195020056,0.7167058203305773,0.46082530577540437,1.0495013388347862,0.9999999999999942,0.6829012920799322,0.4608253057749462,0.5336458252755591,0.7876400375574273,-0.9361840103446464,0.2567160197081315
0,isotropic,raw,6,1,0.008509888746080706,0.0036522821834902484,0.01173794347675546,0.32806804195020056,0.3241316662741552,0.043705496521061774,1.0495013388347862,0.9999999999999942,0.3088434995554317,0.043705496521018315,0.9046156927823541,0.9980898295738513,0.023193459073246436,0.0018356770883213268
0,isotropic,raw,7,0,0.008509888746080706,0.00014222328378851146,0.008452249068979715,0.32806804195020056,0.32289608898376165,0.03646950242475131,1.0495013388347862,0.9999999999999942,0.30766620016126023,0.03646950242471505,0.9053415092783313,0.9986699753928937,0.08647908996804703,0.001397786950966178
0,isotropic,raw,8,0,0.008509888746080706,0.00014188678388488176,0.008447433169934158,0.32806804195020056,0.3230715514932795,0.03424997289616827,1.0495013388347862,0.9999999999999942,0.307833386712649,0.03424997289613421,0.9052386060250207,0.998826939356614,0.09400434007502477,0.0012514546339938237
0,isotropic,raw,9,0,0.008509888746080706,0.0001642243203747698,0.008446091914890078,0.32806804195020056,0.32366528128089017,0.034039297943474295,1.0495013388347862,0.9999999999999942,0.308399112325033,0.03403929794344045,0.9048899875171317,0.9988413261955177,0.0776390763092131,0.001209846568098108
0,isotropic,raw,10,0,0.008509888746080706,0.00015994130202784035,0.00843748749316843,0.32806804195020056,0.32346576633677016,0.031957634111497504,1.0495013388347862,0.9999999999999942,0.3082090078089765,0.03195763411146573,0.9050072075054063,0.9989787096219976,0.09563748707906088,0.0011005544281223743
0,isotropic,raw,11,0,0.008509888746080706,0.00012164340717846068,0.00846179911406192,0.32806804195020056,0.32662794237383036,0.029923542924205463,1.0495013388347862,0.9999999999999942,0.3112220349677298,0.02992354292417571,0.9031408449505451,0.9991045815788651,0.0024252937455202617,0.0009513881786279521
0,isotropic,raw,12,0,0.008509888746080706,7.566469438662624e-05,0.008480004381616255,0.32806804195020056,0.32789326872318847,0.02672953793082406,1.0495013388347862,0.9999999999999942,0.3124276802609142,0.026729537930797485,0.902388944606784,0.9992855318020061,-0.03421918722435319,0.0007093837466134613
0,isotropic,raw,13,0,0.008509888746080706,4.398818180582851e-05,0.00850195023806476,0.32806804195020056,0.3286236707421347,0.024887582798648805,1.0495013388347862,0.9999999999999942,0.31312363174941493,0.024887582798624058,0.9019535912400568,0.9993806082224417,-0.0601730568701311,0.0006543356950146468
0,isotropic,raw,14,0,0.008509888746080706,4.84158487128939e-05,0.008499227922621012,0.32806804195020056,0.3286496124554274,0.024566360433310914,1.0495013388347862,0.9999999999999942,0.3131483498820487,0.024566360433286485,0.90193811096615,0.9993964939350618,-0.06102720262564406,0.00061979630297694
0,isotropic,raw,15,0,0.008509888746080706,1.9970979132313273e-05,0.008502415538083953,0.32806804195020056,0.32879048366561764,0.023289188057429848,1.0495013388347862,0.9999999999999942,0.3132825766857482,0.023289188057406693,0.9018540271451383,0.9994576137196267,-0.06640285350923922,0.000531998466872806
0,isotropic,raw,16,0,0.008509888746080706,1.8639499615181653e-05,0.008500361748300492,0.32806804195020056,0.32822359090256287,0.019945597220267727,1.0495013388347862,0.9999999999999942,0.3127424222885336,0.019945597220247895,0.9021921773011006,0.9996021731515277,-0.038180974671115274,0.00040740789058919607
0,isotropic,raw,17,0,0.008509888746080706,2.3405736511093826e-05,0.008502892279796066,0.32806804195020056,0.3282940448648482,0.019199418261296754,1.0495013388347862,0.9999999999999942,0.31280955318172854,0.019199418261277666,0.9021501834382474,0.9996313823384285,-0.04100848179944037,0.0003744885107825178
0,isotropic,raw,18,0,0.008509888746080706,1.88257459050899e-05,0.00850277668504956,0.32806804195020056,0.3300302654988149,0.0158651469278136,1.0495013388347862,0.9999999999999942,0.31446388230901934,0.015865146927797825,0.9011124667231393,0.9997482971129594,-0.14734961556832238,0.00022702733771992606
0,isotropic,raw,19,0,0.008509888746080706,1.7638367530872015e-05,0.008502551564635353,0.32806804195020056,0.3297561797369844,0.015422657844776203,1.0495013388347862,0.9999999999999942,0.31420272422213724,0.015422657844760868,0.9012766480913876,0.9997621416250034,-0.13256305567772322,0.00021666645646438337
0,isotropic,raw,20,0,0.008509888746080706,9.684585299189785e-06,0.008506486236556282,0.32806804195020056,0.32952869826406117,0.01455180609232113,1.0495013388347862,0.9999999999999942,0.3139859722614627,0.014551806092306661,0.901412809223024,0.999788244939452,-0.12223355335132802,0.00018763139434216087
0,isotropic,response,0,0,0.008509888746080706,0.9999999999998911,0.9941112725359517,0.32806804195020056,1.0495013388347862,0.9999999999999942,1.0495013388347862,0.9999999999999942,0.9999999999990471,0.9999999999989999,1.9058088440715437e-12,2.000177801164682e-12,-0.9498913180428151,484.8505348546102
0,isotropic,response,1,0,0.008509888746080706,0.9629323761645345,0.9589213301204228,0.32806804195020056,1.210749165110763,1.0474974713586502,1.0495013388347862,0.9999999999999942,1.153642325462728,1.0474974713576086,-0.3308906150990507,-0.09725095250058402,-0.968075262151323,406.8551780130725
0,isotropic,response,2,0,0.008509888746080706,0.8139855469005043,0.8095213877224808,0.32806804195020056,1.2044978170338958,1.0381446220068216,1.0495013388347862,0.9999999999999942,1.1476858317970773,1.0381446220057893,-0.31718276850774907,-0.07774425619954317,-0.9680292268151939,384.60021226449476
0,isotropic,response,3,0,0.008509888746080706,0.5506382248491513,0.5476064170349442,0.32806804195020056,1.1801605166855464,1.0083042625937013,1.0495013388347862,0.9999999999999942,1.1244964375126005,1.0083042625926988,-0.26449223797852994,-0.016677485962605987,-0.9671862876239434,340.1364597071716
0,isotropic,response,4,0,0.008509888746080706,0.17599084159991965,0.1762863660025069,0.32806804195020056,0.9896257783238819,0.784612863102764,1.0495013388347862,0.9999999999999942,0.9429485620491684,0.7846128631019839,0.11084800932940553,0.38438265505490754,-0.9577587791216471,173.8944004371513
0,isotropic,response,5,0,0.008509888746080706,0.014641792481748154,0.022479450867788936,0.32806804195020056,0.7519560197749353,0.460073219898546,1.0495013388347862,0.9999999999999942,0.7164888618523169,0.4600732198980885,0.48664371084157165,0.7883326323326051,-0.9675780340104618,0.2531765205808507
0,isotropic,response,6,1,0.008509888746080706,0.0005772633453322393,0.008860509261672353,0.32806804195020056,0.3295791104019497,0.05777668521134543,1.0495013388347862,0.9999999999999942,0.31403400663361936,0.05777668521128798,0.9013826426776359,0.9966618546459958,-0.11374587310410372,0.003052324249729017
0,isotropic,response,7,0,0.008509888746080706,0.0005849098483316696,0.008690548418715844,0.32806804195020056,0.3288910791679197,0.05653438043618884,1.0495013388347862,0.9999999999999942,0.313378427447038,0.056534380436132625,0.9017939612108216,0.9968038638287027,-0.1004869215256039,0.0029786809879249207
0,isotropic,response,8,0,0.008509888746080706,0.0005704590068787613,0.008724484137342803,0.32806804195020056,0.3284633726793897,0.05537481700795446,1.0495013388347862,0.9999999999999942,0.3129708943904299,0.0553748170078994,0.9020492192644544,0.9969336296413417,-0.09142862990792398,0.002912233380984401
0,isotropic,response,9,0,0.008509888746080706,0.000555415925091956,0.008724061308045797,0.32806804195020056,0.3276841176064136,0.05354002526893209,1.0495013388347862,0.9999999999999942,0.312228394077052,0.053540025268878855,0.9025134299320652,0.9971334656942078,-0.07451957664165686,0.0027480171219558033
0,isotropic,response,10,0,0.008509888746080706,0.0006012571145435624,0.00892006272076623,0.32806804195020056,0.3263612034443804,0.05195570248185475,1.0495013388347862,0.9999999999999942,0.3109678771886213,0.05195570248180309,0.9032989793568026,0.9973006049796224,-0.04666075727362664,0.0026016087317526746
0,isotropic,response,11,0,0.008509888746080706,0.0004504081531021262,0.008926185672651002,0.32806804195020056,0.3261151786656099,0.05142228021726823,1.0495013388347862,0.9999999999999942,0.3107334565455343,0.0514222802172171,0.9034447189832645,0.997355749097262,-0.04074997741804617,0.002483872244395082
0,isotropic,response,12,0,0.008509888746080706,0.0005288507972466624,0.008952350329391814,0.32806804195020056,0.3256971657626824,0.04990910389613722,1.0495013388347862,0.9999999999999942,0.31033515986170995,0.049909103896087596,0.9036920885536069,0.9975090813482895,-0.028942097944753522,0.0023979370915236295
0,isotropic,response,13,0,0.008509888746080706,0.0006576093495144883,0.008962914156664928,0.32806804195020056,0.3256632772478889,0.0442590021241885,1.0495013388347862,0.9999999999999942,0.31030286975064536,0.04425900212414449,0.903712129024514,0.9980411407309749,-0.013417574416405264,0.002062449931759703
0,isotropic,response,14,0,0.008509888746080706,0.0006585840848272949,0.009047409986057424,0.32806804195020056,0.3246364435336688,0.04355438665912404,1.0495013388347862,0.9999999999999942,0.30932446822201154,0.043554386659080735,0.9043183733591698,0.9981030154027513,0.012123446103455709,0.001976822512822221
0,isotropic,response,15,0,0.008509888746080706,0.0006855531198466813,0.009040105659964102,0.32806804195020056,0.32511544293587863,0.04324111194007009,1.0495013388347862,0.9999999999999942,0.30978087488342776,0.0432411119400271,0.904035809556458,0.99813020623819,0.0020911109124567414,0.001964358468886013
0,isotropic,response,16,0,0.008509888746080706,0.0006746210387988409,0.009035272675005028,0.32806804195020056,0.3258972296059426,0.04228011084512248,1.0495013388347862,0.9999999999999942,0.3105257873872376,0.04228011084508044,0.9035737353675362,0.9982123922269277,-0.013352662150273293,0.0018844455098461406
0,isotropic,response,17,0,0.008509888746080706,0.0012336789822311829,0.009161829313094656,0.32806804195020056,0.32600936423598614,0.04004611148102042,1.0495013388347862,0.9999999999999942,0.3106326330156271,0.040046111480980605,0.9035073673057787,0.9983963089552529,-0.009848657283779491,0.001691053626732328
0,isotropic,response,18,0,0.008509888746080706,0.0012009150149278698,0.009171036010903471,0.32806804195020056,0.3245710937393744,0.03752887495473939,1.0495013388347862,0.9999999999999942,0.30926220075090294,0.03752887495470207,0.9043568911867083,0.9985915835446343,0.0358691409435361,0.0014818260599095486
0,isotropic,response,19,0,0.008509888746080706,0.0011966636024414014,0.009148446349110764,0.32806804195020056,0.32494131593129166,0.03725311502320485,1.0495013388347862,0.9999999999999942,0.30961496084583334,0.03725311502316781,0.9041385760204331,0.9986122054210707,0.027012914217101253,0.001418973704219883
0,isotropic,response,20,0,0.008509888746080706,0.001155260764942719,0.0089991288571108,0.32806804195020056,0.3244272865999814,0.03714778940130496,1.0495013388347862,0.9999999999999942,0.3091251764956004,0.037147789401268026,0.9044416252565639,0.998620041742599,0.04130591252264885,0.0013894704288517155
0,label,raw,0,0,0.008509888746080706,0.9999999999998911,0.9941112725359517,0.017643899909426657,0.998580648353852,0.9999999999999999,0.998580648353852,0.9999999999999999,0.9999999999989986,0.999999999999,2.0028423364237824e-12,1.999955756559757e-12,-0.9998451338680413,484.8505348546102
0,label,raw,1,0,0.008509888746080706,0.9523405415474137,0.9481153886037567,0.017643899909426657,0.9261640798329238,0.9255414443258247,0.998580648353852,0.9999999999999999,0.9274805008075878,0.9255414443248994,0.13977992062170608,0.14337303483697916,-0.9998186430507473,413.4397250627731
0,label,raw,2,0,0.008509888746080706,0.33969429452602756,0.33935830963704966,0.017643899909426657,0.8374762801001865,0.8362466267519532,0.998580648353852,0.9999999999999999,0.8386666429796305,0.836246626751117,0.296638261953277,0.3006915792473779,-0.9997788241353283,328.4435590308499
0,label,raw,3,0,0.008509888746080706,0.29419114359862525,0.29294121818617774,0.017643899909426657,0.8104797565169046,0.8090641613231682,0.998580648353852,0.9999999999999999,0.8116317473727926,0.8090641613223593,0.3412539066565873,0.3454151828637474,-0.9997641535116991,306.7862480329942
0,label,raw,4,0,0.008509888746080706,0.1038394369739613,0.10489145982661877,0.017643899909426657,0.7622975054763241,0.7602902170791966,0.998580648353852,0.9999999999999999,0.7633810115709722,0.7602902170784365,0.41724943117287927,0.42195878581482393,-0.9997349074229498,263.5007449202984
0,label,raw,5,0,0.008509888746080706,0.01608338610398036,0.02354738313911345,0.017643899909426657,0.03457116979909922,0.021742149190681768,0.998580648353852,0.9999999999999999,0.03462030819048492,0.021742149190660028,0.9988014342607958,0.9995272789485711,-0.9023992980121943,0.2567160197081315
0,label,raw,6,1,0.008509888746080706,0.0036522821834902484,0.01173794347675546,0.017643899909426657,0.01730034349849321,0.0019416463002454097,0.998580648353852,0.9999999999999999,0.01732493367160208,0.0019416463002434683,0.9996998466732746,0.9999962300096448,0.12258182580925069,0.0018356770883213268
0,label,raw,7,0,0.008509888746080706,0.00014222328378851146,0.008452249068979715,0.017643899909426657,0.017263505689634306,0.0017060591634851963,0.998580648353852,0.9999999999999999,0.017288043502621142,0.0017060591634834904,0.9997011235518515,0.9999970893621307,0.1760107901954731,0.001397786950966178
0,label,raw,8,0,0.008509888746080706,0.00014188678388488176,0.008447433169934158,0.017643899909426657,0.01729400347883696,0.001618344941760892,0.998580648353852,0.9999999999999999,0.017318584640438,0.001618344941759274,0.9997000666260519,0.9999973809596495,0.17160431221308858,0.0012514546339938237
0,label,raw,9,0,0.008509888746080706,0.0001642243203747698,0.008446091914890078,0.017643899909426657,0.01730475781055994,0.0016090436706479262,0.998580648353852,0.9999999999999999,0.017329354258035435,0.0016090436706463174,0.9996996934809995,0.999997410978466,0.16634647787042378,0.001209846568098108
