checkpoint,episode,d_x,d_model,n_layers,n_heads,n_ctx,n_tgt,sigma2,eps,rank_Q,k_remove,control,state_idx,state_label,agg_leverage_task,agg_leverage_iso,pred_drift,base_pointwise_F_T,surg_pointwise_F_T,krr_err_inflation,mse_model,mse_krr,mse_ratio,base_E_task_F_T,base_E_task_F_TQ,base_E_task_TQ_T,surg_E_task_F_T,surg_E_task_F_TQ,surg_E_task_damage,delta_E_task_F_T,base_E_iso_F_T,base_E_iso_F_TQ,base_E_iso_TQ_T,surg_E_iso_F_T,surg_E_iso_F_TQ,surg_E_iso_damage,delta_E_iso_F_T
/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,128,8,4,47,16,0.1,0.001,12,1,high_task,0,embedding,0.6800642059132459,0.24842347214683133,0.8554202457108406,0.20338147006688534,0.913490741927891,4.491514107098718,0.05985089313319907,0.059705853325577415,1.0024292393382397,0.17455288769374266,0.5926369855670658,0.5784612909991527,0.29999576274616563,0.5060708665761784,0.303324626563948,0.12544287505242296,0.32826152681260046,0.9592032925182111,0.8638556221892895,0.3927268764994022,0.7402468214962835,0.49421452431507457,0.06446534968680173
/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,128,8,4,47,16,0.1,0.001,12,1,high_task,1,after_layer_1,0.6800642059132459,0.24842347214683133,0.8060978278785055,0.20338147006688534,0.832378427432827,4.092695500524633,0.05985089313319907,0.059705853325577415,1.0024292393382397,0.17455288769374266,0.5926369855670658,0.5784612909991527,0.4116379058186217,0.4939662673758466,0.4043878347926634,0.23708501812487903,0.32826152681260046,0.9592032925182111,0.8638556221892895,0.48100130547041386,0.6347627647206465,0.5784399439049334,0.1527397786578134
/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,128,8,4,47,16,0.1,0.001,12,1,high_task,2,after_layer_2,0.6800642059132459,0.24842347214683133,0.8519496656251124,0.20338147006688534,0.9423040998473636,4.633185607014599,0.05985089313319907,0.059705853325577415,1.0024292393382397,0.17455288769374266,0.5926369855670658,0.5784612909991527,0.3970084432853335,0.6279260967635255,0.37232012343966536,0.22245555559159086,0.32826152681260046,0.9592032925182111,0.8638556221892895,0.3884703177709654,0.8580120091799354,0.44707290835088265,0.060208790958364955
/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,128,8,4,47,16,0.1,0.001,12,1,high_task,3,after_layer_3,0.6800642059132459,0.24842347214683133,0.701867758601616,0.20338147006688534,0.6843590497895646,3.364903644193849,0.05985089313319907,0.059705853325577415,1.0024292393382397,0.17455288769374266,0.5926369855670658,0.5784612909991527,0.5895026530263308,0.4607961327285846,0.5835259954465505,0.4149497653325881,0.32826152681260046,0.9592032925182111,0.8638556221892895,0.7306468351267683,0.4419642730131539,0.8184890721195174,0.40238530831416786
/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,128,8,4,47,16,0.1,0.001,12,1,high_task,4,after_layer_4,0.6800642059132459,0.24842347214683133,0.6533171280958874,0.20338147006688534,0.7270302000237449,3.5747120904605962,0.05985089313319907,0.059705853325577415,1.0024292393382397,0.17455288769374266,0.5926369855670658,0.5784612909991527,0.44897131660172335,0.32670844032695123,0.4571184412067751,0.2744184289079807,0.32826152681260046,0.9592032925182111,0.8638556221892895,0.6617133976584475,0.4461802019248079,0.7549128764117967,0.33345187084584704
/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,128,8,4,47,16,0.1,0.001,12,1,high_task,5,after_layer_5,0.6800642059132459,0.24842347214683133,0.4574168592977179,0.20338147006688534,0.5875731324194838,2.889019989019898,0.05985089313319907,0.059705853325577415,1.0024292393382397,0.17455288769374266,0.5926369855670658,0.5784612909991527,0.4641149705347183,0.7490443701996794,0.42752081818657645,0.2895620828409756,0.32826152681260046,0.9592032925182111,0.8638556221892895,0.5603537255091219,1.095405349025959,0.5255064926009672,0.23209219869652142
/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,128,8,4,47,16,0.1,0.001,12,1,high_task,6,after_layer_6,0.6800642059132459,0.24842347214683133,0.469788475257915,0.20338147006688534,0.6493984026213561,3.1930067297074345,0.05985089313319907,0.059705853325577415,1.0024292393382397,0.17455288769374266,0.5926369855670658,0.5784612909991527,0.2939318474832599,0.7091691253704093,0.2865706739498093,0.11937895978951724,0.32826152681260046,0.9592032925182111,0.8638556221892895,0.531462441630976,1.1352695694027093,0.32302813882561066,0.20320091481837554
/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,128,8,4,47,16,0.1,0.001,12,1,high_task,7,after_layer_7,0.6800642059132459,0.24842347214683133,0.199181927409782,0.20338147006688534,0.3557393101890973,1.7491235070338838,0.05985089313319907,0.059705853325577415,1.0024292393382397,0.17455288769374266,0.5926369855670658,0.5784612909991527,0.2321403115361165,0.608925302728912,0.21035219920757153,0.057587423842373836,0.32826152681260046,0.9592032925182111,0.8638556221892895,0.3623826790099716,0.968008208761155,0.10923609334146364,0.03412115219737116
/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,128,8,4,47,16,0.1,0.001,12,1,high_task,8,final,0.6800642059132459,0.24842347214683133,0.0,0.20338147006688534,0.20338147006688534,1.0,0.05985089313319907,0.059705853325577415,1.0024292393382397,0.17455288769374266,0.5926369855670658,0.5784612909991527,0.17455288769374266,0.5926369855670658,0.0,0.0,0.32826152681260046,0.9592032925182111,0.8638556221892895,0.32826152681260046,0.9592032925182111,0.0,0.0
/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt,0,40,128,8,4,47,16,0.1,0.001,12,1,low_task,0,embedding,0.08919043355647194,0.0918007186951202,0.23569174299402634,0.20338147006688534,0.34349568459171137,1.6889232066163509,0.05985089313319907,0.059705853325577415,1.0024292393382397,0.17455288769374266,0.5926369855670658,0.5784612909991527,0.1997889308939326,0.5595754172293678,0.12062373479571681,0.025236043200189934,0.32826152681260046,0.9592032925182111,0.8638556221892895,0.34497187627195763,0.9075659126218814,0.175496115458014,0.016710349459357177
