Experiment 3: Galerkin-Leverage Surgery

checkpoint=/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/dx40_scale_aware_gated_s122/minimal_scale_canonical_single_dx40_tau16_am2p0_2p0_inv_rank_bs16_ga1_150000_s122.best.pt
episodes=8, n_causal=32, eps=0.001
layer_rule=sweep, k_remove_list=[1, 2, 4]

Final-layer or layer-sweep summary by control:
control                    k    state      drift        rho  task_damage   delta_task
low_task                   2      2.0    0.51117      4.551      0.20517      0.09771
low_task                   2      3.0    0.34772      3.412      0.14998      0.04465
low_task                   2      4.0    0.26572      2.726      0.13087      0.04104
low_task                   2      5.0    0.25527      2.007      0.11861      0.03824
low_task                   2      6.0    0.16863      1.291      0.08302      0.02781
low_task                   2      7.0    0.10892      1.187      0.06257      0.02354
low_task                   2      8.0    0.00000      1.000      0.00000      0.00000
low_task                   4      0.0    0.53259      5.525      0.28219      0.14302
low_task                   4      1.0    0.53179      5.479      0.27664      0.13980
low_task                   4      2.0    0.54307      5.408      0.27433      0.15183
low_task                   4      3.0    0.44891      4.484      0.20959      0.09735
low_task                   4      4.0    0.35382      3.653      0.17142      0.05936
low_task                   4      5.0    0.25420      2.517      0.16227      0.06461
low_task                   4      6.0    0.12920      1.373      0.10087      0.03053
low_task                   4      7.0    0.10845      1.221      0.07564      0.02396
low_task                   4      8.0    0.00000      1.000      0.00000      0.00000
random_A                   1      0.0    2.65666     53.074      9.26841      9.19710
random_A                   1      1.0 832570.99321 19776967.320 23638936.77648 23638936.69150
random_A                   1      2.0 346945.16395 7113137.462 2754034.92080 2754034.83417
random_A                   1      3.0 38540.67838 797698.031  49007.65785  49007.58548
random_A                   1      4.0 2713.82608  54787.204   3373.36442   3373.30111
random_A                   1      5.0   24.11626    595.435     75.94531     75.88508
random_A                   1      6.0    0.09489      2.073      0.35680      0.30845
random_A                   1      7.0    0.03869      1.227      0.04423      0.01301
random_A                   1      8.0    0.00000      1.000      0.00000      0.00000
random_A                   2      0.0 183076.34580 3678112.974 1273475.62427 1273475.53319
random_A                   2      1.0 2441023.10353 49125430.542 72114813.38954 72114813.29564
random_A                   2      2.0 139333.95914 3417455.605 5235648.35158 5235648.24839
random_A                   2      3.0 97709.06846 2152582.555  83668.98682  83668.89182
random_A                   2      4.0 2661.29776  54459.169   3898.28669   3898.19562
random_A                   2      5.0  113.83557   2630.263    398.26552    398.17598
random_A                   2      6.0    0.37104      8.516      0.57306      0.50342
