episode,r_eff_T_task,r_eff_T_task_strict,rank_tau_task,krr_risk_total,krr_signal_total,E_F_T,F_T_excess_over_krr_risk
0,15,15,0.005431352676531179,0.722872204081682,1225.224075317745,0.018180475860202737,0.5169455053693832
1,15,15,0.004019740058802496,0.6718719275120861,2079.029062063437,0.017260648057203926,0.7191384117888115
2,15,15,0.006337033896839997,0.9945028930915747,1238.2376208003775,0.014704398093181968,0.2463953773441434
3,15,15,0.006871536753862497,0.7622271575959552,807.1359199494661,0.020397062329196348,0.4292912079417705
4,15,15,0.011407197118492297,0.7808038388025214,300.0226561339506,0.031265087922200126,0.35968847547834754
5,15,15,0.004416910720418031,0.810038230678316,2076.052246689447,0.01541638873560769,0.6161745606478672
6,15,15,0.004480568248549924,0.7733380475465808,1926.0749726546146,0.014129628831131806,0.5817324688061825
7,15,15,0.008846905559801617,0.8086687385955091,516.6041330850248,0.019031392040886684,0.2864841732148373
8,15,15,0.007032962646057518,0.780034232822377,788.5097095174899,0.018503600423381963,0.33614636311632945
9,15,15,0.0061489716183562625,0.7025093767950992,929.0030776582282,0.012629768546730218,0.21492237843894663
10,14,14,0.0056090895192351204,0.7532748359153061,1197.122852451113,0.012427394359191764,0.23649030663852633
11,15,15,0.004426081215104086,0.6997199705826915,1785.8933342515993,0.01668561475584287,0.5507739421851039
12,15,15,0.00705484411772757,0.6812095054120917,684.3461990237229,0.014979913775470272,0.2008805342762571
13,15,14,0.008146959553006893,0.8663809809340179,652.6611981823476,0.016331767428673597,0.18717418176733025
14,15,15,0.005920727304681251,0.9473111567208505,1351.1779167019345,0.017458927400561184,0.5644285938316649
15,15,14,0.004278139927033008,0.8169233842513819,2231.728511970667,0.01826012984328255,0.922950080039691
