Experiment 2 Layerwise Sufficiency

checkpoint=final/linear_sweep_dx15.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   15 14.9   14.8       15.0  0.69     0.130       0.128    0.536
    1   19 14.9   14.8       15.0  0.62     0.068       0.067    0.529
    2   24 14.9   14.8       14.9  1.00     0.017       0.016    0.445
    3   35 14.9   14.8       14.9  1.00     0.007       0.005    0.437
    4   41 14.9   14.8       14.9  1.00     0.003       0.002    0.436
    5   45 14.9   14.8       14.9  1.00     0.002       0.000    0.438
    6   46 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    7   47 14.9   14.8       14.9  1.00     0.002       0.000    0.438
    8   47 14.9   14.8       14.9  1.00     0.002       0.000    0.437

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 14.9   14.8       14.9  1.00     0.002       0.000    0.438
    1   16 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    2   16 14.9   14.8       14.9  1.00     0.004       0.003    0.427
    3   17 14.9   14.8       14.9  1.00     0.010       0.008    0.417
    4   17 14.9   14.8       14.9  1.00     0.011       0.009    0.416
    5   19 14.9   14.8       14.9  1.00     0.013       0.011    0.418
    6   20 14.9   14.8       14.9  1.00     0.014       0.013    0.420
    7   24 14.9   14.8       14.9  1.00     0.010       0.008    0.428
    8   24 14.9   14.8       14.9  1.00     0.010       0.008    0.428

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 14.9   14.8       14.9  1.00     0.004       0.002    0.440
    1   19 14.9   14.8       14.9  1.00     0.003       0.001    0.439
    2   23 14.9   14.8       14.9  1.00     0.004       0.003    0.431
    3   27 14.9   14.8       14.9  1.00     0.005       0.004    0.430
    4   29 14.9   14.8       14.9  1.00     0.005       0.004    0.431
    5   37 14.9   14.8       14.9  1.00     0.003       0.002    0.434
    6   39 14.9   14.8       14.9  1.00     0.003       0.001    0.435
    7   46 14.9   14.8       14.9  1.00     0.002       0.000    0.437
    8   45 14.9   14.8       14.9  1.00     0.002       0.000    0.437
