name,n,mse_ratio_mean,mse_ratio_median,mse_ratio_std,krr_input_ratio_mean,krr_input_ratio_median,krr_input_ratio_std,model_vs_input_krr_mean,model_vs_input_krr_median,model_vs_input_krr_std,pred_drift_mean,pred_drift_median,pred_drift_std,krr_drift_mean,krr_drift_median,krr_drift_std,rank_Q_mean,rank_Q_median,rank_Q_std,r_T_mean,r_T_median,r_T_std,rho_TQ_mean,rho_TQ_median,rho_TQ_std,q_label_energy_frac_mean,q_label_energy_frac_median,q_label_energy_frac_std
y,32,1.6184792256515146,1.0848190450452846,1.70633439647857,1.0,1.0,0.0,0.4935908213210679,0.13348554883794894,1.6028232671388565,0.0,0.0,0.0,0.0,0.0,0.0,11.8125,12.0,0.39655776945626603,5.0,5.0,0.0,0.0015536487934795311,0.0015086359021460286,0.0006055651204045691,0.9967178181542218,0.9982941013476668,0.0039523789268509635
y_Q,32,1.6014632063949539,1.090338820024048,1.6614042138373786,0.9987967861226179,0.9998461924526867,0.00634197481346352,0.4866473716181106,0.1279421218812734,1.5888286162796859,0.00034748840640866233,0.0002911181981238517,0.00026714181066663255,0.00010366244455734621,9.40833924143127e-05,6.166669779652118e-05,11.8125,12.0,0.39655776945626603,5.0,5.0,0.0,0.0015536487934795311,0.0015086359021460286,0.0006055651204045691,0.9967178181542218,0.9982941013476668,0.0039523789268509635
y_perp,32,5267.840688445481,1768.4732029559282,14345.659069706548,5267.535639928116,1772.5375698768003,14354.286859018246,5.15915794137317e-06,2.890000027516139e-06,5.9852841976443365e-06,1.0002368474595287,1.0001573765731098,0.0008725510028096855,0.9999740464958573,0.9999770818116578,4.939814555626639e-05,11.8125,12.0,0.39655776945626603,5.0,5.0,0.0,0.0015536487934795311,0.0015086359021460286,0.0006055651204045691,0.9967178181542218,0.9982941013476668,0.0039523789268509635
