episode,name,rank_Q,r_T,rho_TQ,q_label_energy_frac,base_krr_mse,mse,mse_ratio,krr_input_mse,krr_input_ratio,model_vs_input_krr,pred_drift,krr_drift
0,y,12,5,0.0018888662495831802,0.9965405414182269,0.003142781296048539,0.007799017524995122,2.481565463941424,0.003142781296048539,1.0,0.40795782956607507,0.0,0.0
0,y_Q,12,5,0.0018888662495831802,0.9965405414182269,0.003142781296048539,0.007797022167795875,2.4809305622377145,0.003090908044396162,0.9834944761451909,0.42978088926014407,0.00031130841357011104,0.00011012388560488701
0,y_perp,12,5,0.0018888662495831802,0.9965405414182269,0.003142781296048539,29.107333534485658,9261.647818472988,29.08651703715116,9255.024227655304,2.125496012524434e-06,1.0002932491647465,0.9999394502175109
1,y,12,5,0.0011735285219725239,0.9989060175398192,0.01361671784392303,0.015061502182992792,1.1061037142452468,0.01361671784392303,1.0,0.027765616811480705,0.0,0.0
1,y_Q,12,5,0.0011735285219725239,0.9989060175398192,0.01361671784392303,0.01509539528096826,1.108592794092825,0.013630102730237657,1.0009829744926821,0.02774186811921544,9.605400582964468e-05,2.9596313985188766e-05
1,y_perp,12,5,0.0011735285219725239,0.9989060175398192,0.01361671784392303,14.855618723420914,1090.9838107610337,14.854940462960391,1090.9339998985117,6.661318128807121e-07,1.0000456423900743,1.0000190678371343
2,y,12,5,0.0013831016533167946,0.9817613041747452,0.01498702636935443,0.02885879709271766,1.9255852616452531,0.01498702636935443,1.0,0.4394515339094452,0.0,0.0
2,y_Q,12,5,0.0013831016533167946,0.9817613041747452,0.01498702636935443,0.027798767153933035,1.8548554242071755,0.01504427358720703,1.0038197849554504,0.40638394230494757,0.0005027370152354486,7.958886181323355e-05
2,y_perp,12,5,0.0013831016533167946,0.9817613041747452,0.01498702636935443,136.14759895245874,9084.363742153297,136.21391487409122,9088.788630720122,1.178671035616842e-06,0.9997223151934058,0.9999704515238638
3,y,12,5,0.00259665932453738,0.9965458712216497,0.010897649125781414,0.012627558236631867,1.1587414946915362,0.010897649125781414,1.0,0.17050425918777076,0.0,0.0
3,y_Q,12,5,0.00259665932453738,0.9965458712216497,0.010897649125781414,0.012433285612355394,1.1409144732822243,0.010888656366944182,0.9991747982768177,0.17755374568186655,0.00042952632944438335,6.410393201055019e-05
3,y_perp,12,5,0.00259665932453738,0.9965458712216497,0.010897649125781414,25.966436759812314,2382.7558090837683,25.945499572247947,2380.834551817847,1.3068864362639002e-06,1.0003785848601046,0.9999749479027906
4,y,11,5,0.0036760481150145572,0.9864667985884675,0.013858001722178704,0.03657180105133717,2.639038570243985,0.013858001722178704,1.0,0.6308452902000892,0.0,0.0
4,y_Q,11,5,0.0036760481150145572,0.9864667985884675,0.013858001722178704,0.034580553403249725,2.495349192222001,0.013588823254085646,0.9805759536266865,0.591644166708588,0.0009764393405835647,0.0001864430393874705
4,y_perp,11,5,0.0036760481150145572,0.9864667985884675,0.013858001722178704,54.24627968889199,3914.437360912926,54.08058526225936,3902.4807722247137,4.524231916785694e-06,1.0016471455075875,1.0000960022131185
5,y,12,5,0.0007825479747832096,0.9981954016355662,0.010485720712131613,0.013489063240524794,1.2864221364315396,0.010485720712131613,1.0,0.04680023708396486,0.0,0.0
5,y_Q,12,5,0.0007825479747832096,0.9981954016355662,0.010485720712131613,0.013446768801545054,1.2823886093006094,0.010464685606173692,0.9979939284541898,0.04648486050757101,0.00042905373134663775,7.297572660209677e-05
5,y_perp,12,5,0.0007825479747832096,0.9981954016355662,0.010485720712131613,6.013459896422341,573.4903743397416,6.013585770352122,573.5023786581129,5.909149306454544e-06,0.9999363963129699,1.0000269259056092
6,y,11,5,0.0015159546981172412,0.9907390689147711,0.02056289836016326,0.016064202107444636,0.7812226577244578,0.02056289836016326,1.0,0.07556732762176553,0.0,0.0
6,y_Q,11,5,0.0015159546981172412,0.9907390689147711,0.02056289836016326,0.01563992607998456,0.7605895728339527,0.02051727346610834,0.9977812031526008,0.07138789679191627,0.0006515497529645502,0.00014807968944276944
6,y_perp,11,5,0.0015159546981172412,0.9907390689147711,0.02056289836016326,37.00576398486672,1799.6375480101779,37.18593723961863,1808.3996034167722,9.487424713167634e-06,0.9975192703794086,0.9999776601861284
7,y,12,5,0.001191116591522831,0.9978343717592602,0.004209592102481301,0.004174456423716808,0.9916534243914553,0.004209592102481301,1.0,0.04469658574575611,0.0,0.0
7,y_Q,12,5,0.001191116591522831,0.9978343717592602,0.004209592102481301,0.004184431924964194,0.9940231317180882,0.0041897321538169885,0.9952822154306574,0.04356475160743725,0.0003129522501213533,0.00018154770169007608
7,y_perp,12,5,0.001191116591522831,0.9978343717592602,0.004209592102481301,3.975115039151439,944.2993388381616,3.9745115898761703,944.1559878291854,3.4014045633001015e-06,1.0000065147828183,0.999973927522243
8,y,12,5,0.0016339762807583758,0.9947988912098371,0.005864306372343276,0.020901424637824798,3.5641767859193463,0.005864306372343276,1.0,1.1204598743055594,0.0,0.0
8,y_Q,12,5,0.0016339762807583758,0.9947988912098371,0.005864306372343276,0.02054251830188224,3.5029749466642897,0.0059193213341787775,1.0093813246345653,1.06900524295976,0.0003566521840128922,7.781522176803114e-05
8,y_perp,12,5,0.0016339762807583758,0.9947988912098371,0.005864306372343276,40.45159280390236,6897.933060707161,40.363359771787074,6882.887286064246,3.4744179904746446e-06,1.0010500085436893,0.999989222780637
9,y,12,5,0.0011335509583105287,0.9986055474377721,0.0036722652944246453,0.00867250380851909,2.361622353833197,0.0036722652944246453,1.0,0.5924265671592567,0.0,0.0
9,y_Q,12,5,0.0011335509583105287,0.9986055474377721,0.0036722652944246453,0.008657092068029271,2.3574255599596126,0.0036828766645250486,1.0028895979047356,0.588679868260501,0.00014839178684388066,8.263797163613155e-05
