episode,probe_kind,eps,additivity_defect
0,isotropic,0.1,0.050428060492175394
0,isotropic,0.3,0.1479977155888143
0,isotropic,1.0,0.4167475611601375
0,isotropic,3.0,1.1786028210947221
0,isotropic,10.0,2.9588880885230644
0,label,0.1,0.002245267434718912
0,label,0.3,0.0063106646310981404
0,label,1.0,0.016478947656897815
0,label,3.0,0.48539937087157825
0,label,10.0,40.240221795846
1,isotropic,0.1,0.04897910436906941
1,isotropic,0.3,0.13823887403838828
1,isotropic,1.0,0.3106221803375866
1,isotropic,3.0,1.6150342892928606
1,isotropic,10.0,4.21956282061124
1,label,0.1,0.0035828697212325167
1,label,0.3,0.009528796061039102
1,label,1.0,0.016592386808267492
1,label,3.0,0.4417760844091552
1,label,10.0,28.028556203108284
2,isotropic,0.1,0.03587535015777079
2,isotropic,0.3,0.10383562931628229
2,isotropic,1.0,0.2786278198122863
2,isotropic,3.0,0.5081480566886902
2,isotropic,10.0,2.547716562195255
2,label,0.1,0.0021541689185846503
2,label,0.3,0.004020915962310781
2,label,1.0,0.008633743016275232
2,label,3.0,0.0465831462202628
2,label,10.0,28.068421524864036
3,isotropic,0.1,0.03141763457476876
3,isotropic,0.3,0.09464806766820728
3,isotropic,1.0,0.3060236379594873
3,isotropic,3.0,0.5525205353761931
3,isotropic,10.0,2.814944182309302
3,label,0.1,0.002313202584828353
3,label,0.3,0.006330318235963035
3,label,1.0,0.015498761735172324
3,label,3.0,0.07744181554858987
3,label,10.0,23.368984027757488
