probe_kind,eps,n,additivity_defect_mean,additivity_defect_std,eps_mean,eps_std
isotropic,0.1,4,0.04167503739844609,0.00946600042903627,0.1,0.0
isotropic,0.3,4,0.12118007165292304,0.025916311983720654,0.3,0.0
isotropic,1.0,4,0.32800529981737436,0.06082403795858785,1.0,0.0
isotropic,10.0,4,3.1352779134097157,0.7426594488795513,10.0,0.0
isotropic,3.0,4,0.9635764256131166,0.53135538735816,3.0,0.0
label,0.1,4,0.002573877164841108,0.0006758097814781785,0.1,0.0
label,0.3,4,0.0065476737226027645,0.002263847160105126,0.3,0.0
label,1.0,4,0.014300959804153215,0.003809914451736255,1.0,0.0
label,10.0,4,29.92654588789395,7.220999914042952,10.0,0.0
label,3.0,4,0.26280010426239653,0.23287357307084264,3.0,0.0
