probe_kind,basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,is_selected_rank_mean,is_selected_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std,rho_operator_to_T_mean,rho_operator_to_T_std
isotropic,raw,0,4,0.32308148895927136,0.09301157414427463,1.0458552045649512,0.047315495712130534,1.0458552045649512,0.047315495712130534,0.9999999999999883,5.4461314991652965e-15,0.9999999999999883,5.4461314991652965e-15,0.9999999999989999,6.409875621278546e-17,0.9999999999990424,4.171154839750835e-14,2.0001222900134508e-12,1.1102230246251565e-16,1.915301250932089e-12,8.34228751663223e-14,-0.9495812510828687,0.024923459752560485,0.0,0.0,0.010451135401294463,0.008485950681648823,0.9914811381671973,0.009752880590227967,0.9999999999998229,9.986067819177242e-14,0.0,0.0,1342.4033405660634,1054.00588990826
isotropic,raw,1,4,0.32308148895927136,0.09301157414427463,1.0716676255192161,0.08438363780174012,1.0458552045649512,0.047315495712130534,1.0000346324295575,0.03301069368398164,0.9999999999999883,5.4461314991652965e-15,1.000034632428569,0.03301069368395054,1.0247080743474577,0.06805078901710566,-0.0008865454796646854,0.06508620645168184,-0.0534998200472632,0.14341614370772232,-0.9532603479349897,0.023759321634132805,0.0,0.0,0.010451135401294463,0.008485950681648823,1.0857662832021313,0.18747069731487495,1.0933892054816248,0.19179510934418323,1.0,0.0,1100.4974637114342,781.0476138414195
isotropic,raw,10,4,0.32308148895927136,0.09301157414427463,0.31604246557487553,0.09345322699121618,1.0458552045649512,0.047315495712130534,0.04548147107469973,0.012386740395860874,0.9999999999999883,5.4461314991652965e-15,0.045481471074654806,0.012386740395848788,0.2999212864944115,0.07556670058005718,0.9978163622856597,0.0011709583365967565,0.9057644772301201,0.04662954908438513,0.06962005608320297,0.07042667849741321,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010290350317967977,0.008579896041211421,0.00027871023643015057,0.0003349245998479181,10.0,0.0,0.002112664569715471,0.0011108364886245692
isotropic,raw,11,4,0.32308148895927136,0.09301157414427463,0.31528871235519934,0.09525058410833585,1.0458552045649512,0.047315495712130534,0.04299327922533217,0.01314418766869413,0.9999999999999883,5.4461314991652965e-15,0.0429932792252897,0.013144187668681282,0.2991693530060106,0.0774951728078882,0.9980220006893542,0.0012011813422587421,0.9059935718655716,0.04755254185814145,0.08990358125375211,0.09925335233425225,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010310184294125843,0.008538566856589812,0.0002351346414306872,0.00030981654357437944,11.0,0.0,0.001899698880996142,0.0011020867770039184
isotropic,raw,12,4,0.32308148895927136,0.09301157414427463,0.31765556067740336,0.09619184023685717,1.0458552045649512,0.047315495712130534,0.038898352823932066,0.013535902417800309,0.9999999999999883,5.4461314991652965e-15,0.038898352823893645,0.013535902417787045,0.30139034707042256,0.078111227511825,0.9983495026568899,0.0011204571552724993,0.9045878357952173,0.04845118123475896,0.04852885235729045,0.08106914627086,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010322345728036723,0.008507090361639102,0.00023502820246483648,0.0002986098088085749,12.0,0.0,0.0016101637478142532,0.001124180431093537
isotropic,raw,13,4,0.32308148895927136,0.09301157414427463,0.3199363428535413,0.09657474548970246,1.0458552045649512,0.047315495712130534,0.02939464524821197,0.007851952335182133,0.9999999999999883,5.4461314991652965e-15,0.02939464524818291,0.007851952335174339,0.3035733326037583,0.07836190096011993,0.999089714964128,0.00047029940901074284,0.9032377910902851,0.04892855491905046,0.03522387623296408,0.09623184566483096,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010450822396317571,0.008479791955152464,3.748663904609771e-05,1.4131001810252436e-05,13.0,0.0,0.0008583923607674092,0.00039931517242701263
isotropic,raw,14,4,0.32308148895927136,0.09301157414427463,0.3207737747428835,0.09557605162290352,1.0458552045649512,0.047315495712130534,0.026975798723286676,0.0072792558175931365,0.9999999999999883,5.4461314991652965e-15,0.026975798723259996,0.0072792558175858784,0.3044057929199155,0.07739027199865145,0.9992325656092986,0.0004077906041654098,0.9028451725867785,0.04841894357137597,0.02352790476279925,0.07890645611329018,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010428572887187315,0.008512804091981558,5.150743194562776e-05,2.383132863897331e-05,14.0,0.0,0.0007348113879146452,0.000352586994288438
isotropic,raw,15,4,0.32308148895927136,0.09301157414427463,0.320901983988814,0.09549722902020923,1.0458552045649512,0.047315495712130534,0.026097407065791726,0.007385639399047309,0.9999999999999883,5.4461314991652965e-15,0.02609740706576592,0.00738563939903995,0.3045284875519522,0.07730366856419003,0.9992780145924441,0.00040404349602453214,0.9027805073892089,0.04839683909204487,0.022752394673960785,0.08365287164487722,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010423880939313453,0.008509478315530115,4.2302500584010905e-05,3.0436822892950664e-05,15.0,0.0,0.000671479410499083,0.00035512013488554056
isotropic,raw,16,4,0.32308148895927136,0.09301157414427463,0.3213129846758672,0.09523761052669462,1.0458552045649512,0.047315495712130534,0.023354906075271596,0.0065468936815201466,0.9999999999999883,5.4461314991652965e-15,0.023354906075248504,0.006546893681513621,0.3049259417338731,0.0769930371694036,0.9994224019995586,0.00033282135160023516,0.9025742242282837,0.04829969928414807,0.01793081919349794,0.0739125099938469,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010439945460708075,0.008506828804860943,2.7187853316880866e-05,1.909854377919169e-05,16.0,0.0,0.0005306981033703314,0.0002646354696562824
isotropic,raw,17,4,0.32308148895927136,0.09301157414427463,0.32158998836446306,0.09491049339197422,1.0458552045649512,0.047315495712130534,0.021389694032232325,0.005657000286796213,0.9999999999999883,5.4461314991652965e-15,0.021389694032211172,0.005657000286790572,0.3052003908535581,0.07667645486379784,0.9995184797500248,0.0002536970087759378,0.9024432623749753,0.048135761929668404,0.017313815889432274,0.07711277467270716,0.0,0.0,0.010451135401294463,0.008485950681648823,0.01044610414495805,0.008497831289339017,2.6100688674323227e-05,1.6282995543571504e-05,17.0,0.0,0.0004369629097770756,0.00018872454500064317
