episode,probe_kind,basis,rank,is_selected_rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rho_operator_to_T
0,isotropic,raw,0,0,0.008509888746080706,0.9999999999998911,0.9941112725359517,0.34851286626565803,1.035669528551363,0.9999999999999942,1.035669528551363,0.9999999999999942,0.9999999999990343,0.9999999999989999,1.9313439736379223e-12,2.000177801164682e-12,-0.9419752636471967,484.8505348546102
0,isotropic,raw,1,0,0.008509888746080706,0.9523405415474137,0.9481153886037567,0.34851286626565803,1.1643630293533203,1.0217982381078128,1.035669528551363,0.9999999999999942,1.1242611636752915,1.0217982381067967,-0.2639631641485205,-0.04407163939815395,-0.9574965326840185,413.4397250627731
0,isotropic,raw,2,0,0.008509888746080706,0.33969429452602756,0.33935830963704966,0.34851286626565803,1.0993349290529235,0.950400922690055,1.035669528551363,0.9999999999999942,1.061472698332209,0.95040092268911,-0.1267242893046605,0.09673808615168833,-0.9524889782410898,328.4435590308499
0,isotropic,raw,3,0,0.008509888746080706,0.29419114359862525,0.29294121818617774,0.34851286626565803,1.0986939056075549,0.9482313712295392,1.035669528551363,0.9999999999999942,1.060853752396564,0.9482313712285964,-0.12541068397387023,0.10085726661793593,-0.9525721235893828,306.7862480329942
0,isotropic,raw,4,0,0.008509888746080706,0.1038394369739613,0.10489145982661877,0.34851286626565803,1.0684070798214458,0.9094945787313398,1.035669528551363,0.9999999999999942,1.0316100361809837,0.9094945787304355,-0.06421926674933043,0.17281961125994771,-0.9504955229979067,263.5007449202984
0,isotropic,raw,5,0,0.008509888746080706,0.01608338610398036,0.02354738313911345,0.34851286626565803,0.7262470479314586,0.46082530577540437,1.035669528551363,0.9999999999999942,0.701234349287645,0.4608253057749462,0.508270387379133,0.7876400375574273,-0.9237875269137887,0.2567160197081315
0,isotropic,raw,6,1,0.008509888746080706,0.0036522821834902484,0.01173794347675546,0.34851286626565803,0.3469065333450779,0.043705496521061774,1.035669528551363,0.9999999999999942,0.3349587139345275,0.043705496521018315,0.8878026599593274,0.9980898295738513,-0.026154527037690264,0.0018356770883213268
0,isotropic,raw,7,0,0.008509888746080706,0.00014222328378851146,0.008452249068979715,0.34851286626565803,0.34560597916595753,0.03646950242475131,1.035669528551363,0.9999999999999942,0.33370295218498724,0.03646950242471505,0.8886423397030241,0.9986699753928937,0.02728087310869622,0.001397786950966178
0,isotropic,raw,8,0,0.008509888746080706,0.00014188678388488176,0.008447433169934158,0.34851286626565803,0.34578495064727244,0.03424997289616827,1.035669528551363,0.9999999999999942,0.3338757597035835,0.03424997289613421,0.888526977082355,0.998826939356614,0.03043644324284316,0.0012514546339938237
0,isotropic,raw,9,0,0.008509888746080706,0.0001642243203747698,0.008446091914890078,0.34851286626565803,0.34617162315648636,0.034039297943474295,1.035669528551363,0.9999999999999942,0.33424911481209424,0.03403929794344045,0.8882775292473315,0.9988413261955177,0.01984783341353492,0.001209846568098108
