episode,probe_kind,method,operator_kind,rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rho_operator_to_T,basis_source,rank_selection,selection_alpha,tau_rank,nominal_rank,response_basis_probe_kind,control,actlr_fit_probe_kind
0,isotropic,raw,galerkin_main,6,0.008509888746080706,0.0036522821834902484,0.01173794347675546,0.34851286626565803,0.3469065333450779,0.043705496521061774,1.035669528551363,0.9999999999999942,0.3349587139345275,0.043705496521018315,0.8878026599593274,0.9980898295738513,-0.026154527037690264,0.0018356770883213268,raw,first_rho_le_alpha,0.05,10,6,,,
0,isotropic,resp,galerkin_main,6,0.008509888746080706,0.0007995596621164402,0.008894653069165212,0.34851286626565803,0.3493026702966001,0.053872280656470935,1.035669528551363,0.9999999999999942,0.3372723254539003,0.053872280656417366,0.8862473784829183,0.9970977773768762,-0.09175814175344263,0.002694946324847442,response,first_rho_le_alpha,0.05,20,6,label,,
0,isotropic,raw_euclidean,galerkin_control,6,0.008509888746080706,0.004212568197219528,0.012473531057708018,0.34851286626565803,0.3468051897102641,0.04593336518772232,1.035669528551363,0.9999999999999942,0.3348608606791985,0.04593336518767665,0.8878682039851864,0.9978901259625356,-0.028954795402820525,0.002013078387930903,raw,,,,6,,euclidean_svd,
0,isotropic,resp_euclidean,galerkin_control,6,0.008509888746080706,0.0007256111657172152,0.008989765845459826,0.34851286626565803,0.35316980377074036,0.0674413506116282,1.035669528551363,0.9999999999999942,0.34100627085591056,0.06744135061156115,0.8837147232369453,0.9954516642276885,-0.16407646630440326,0.004143507489278139,response,,,,6,label,euclidean_svd,
0,isotropic,raw_random,galerkin_control,6,0.008509888746080706,0.16797160705949984,0.1678797267738162,0.34851286626565803,7.4873342012346455,7.48479915625265,1.035669528551363,0.9999999999999942,7.229462675898442,7.484799156245208,-51.26513058220866,-55.02221840932897,-0.998916379312947,92.68253162044888,raw,,,,6,,random_A_orthonormal,
0,isotropic,resp_random,galerkin_control,6,0.008509888746080706,0.43884848646701186,0.4313160699886137,0.34851286626565803,7.472484443775655,7.459789178626364,1.035669528551363,0.9999999999999942,7.215124359428181,7.459789178618947,-51.058019522013915,-54.64845458944034,-0.9989119736729914,114.00577289436757,response,,,,6,label,random_A_orthonormal,
0,isotropic,raw_poly_y,galerkin_control,2,0.008509888746080706,0.35299224638620963,0.35181276852195303,0.34851286626565803,0.9720178958210226,0.9353870227756035,1.035669528551363,0.9999999999999942,0.938540595260815,0.9353870227746734,0.11914155104747504,0.12505111762473253,-0.9339431976256245,389.2774276626073,raw,,,,6,,single_seed_polynomial_y,
0,isotropic,resp_poly_y,galerkin_control,2,0.008509888746080706,0.35299224638620963,0.35181276852195303,0.34851286626565803,0.9720178958210226,0.9353870227756035,1.035669528551363,0.9999999999999942,0.938540595260815,0.9353870227746734,0.11914155104747504,0.12505111762473253,-0.9339431976256245,389.2774276626073,response,,,,6,label,single_seed_polynomial_y,
0,isotropic,raw_shuffled_labels,galerkin_control,6,0.008509888746080706,0.016644745884824518,0.02413119855624281,0.34851286626565803,0.7837453613586797,0.5296917640946006,1.035669528551363,0.9999999999999942,0.7567523613967694,0.5296917640940739,0.42732586352041335,0.719426635050908,-0.9314478093301778,0.33357299337869933,raw,,,,6,,shuffled_labels,
0,isotropic,resp_shuffled_labels,galerkin_control,6,0.008509888746080706,0.00226907101556597,0.009762495082157435,0.34851286626565803,0.3568664333172674,0.14022729833516154,1.035669528551363,0.9999999999999942,0.34457558466172866,0.1402272983350221,0.8812676664550279,0.9803363048016607,-0.25534467171796565,0.018055735427828876,response,,,,6,label,shuffled_labels,
0,isotropic,raw_shuffled_Kt,galerkin_control,6,0.008509888746080706,3.9493401366143015,3.952338385491236,0.34851286626565803,108.3879045533115,108.20741264276818,1.035669528551363,0.9999999999999942,104.65491314088753,108.20741264266059,-10951.650844526714,-11707.844150819023,-0.9999962107329298,14451.079103879289,raw,,,,6,,shuffled_Kt,
0,isotropic,resp_shuffled_Kt,galerkin_control,6,0.008509888746080706,4.05781746866173,4.060722198517879,0.34851286626565803,110.16177694957119,109.9878420310498,1.035669528551363,0.9999999999999942,106.36769153916596,109.98784203094043,-11313.085803371157,-12096.325394623105,-0.9999962361988869,14827.043505116399,response,,,,6,label,shuffled_Kt,
0,isotropic,raw_actLR,activation_low_rank,6,0.008509888746080706,0.010478471384574724,0.006962372826914453,0.34851286626565803,0.20063420934037188,0.27599227072531934,1.035669528551363,0.9999999999999942,0.1937241598879655,0.2759922707250449,0.962470949875702,0.9238282665000335,0.045467591099114746,0.11211482350119376,raw,,,,6,,,label
0,isotropic,resp_actLR,activation_low_rank,6,0.008509888746080706,0.01363823587366624,0.007758734023998291,0.34851286626565803,0.2060881037059452,0.2832961579330196,1.035669528551363,0.9999999999999942,0.19899021649696577,0.28329615793273794,0.9604028937384907,0.9197432869005492,-0.010857446658542356,0.11902542254532596,response,,,,6,,,label
0,isotropic,raw_best_rank,best_rank_control,6,0.008509888746080706,5.186358399151901e-16,0.008509888746080363,0.34851286626565803,0.348512866265658,4.301543590229354e-16,1.035669528551363,0.9999999999999942,0.33650972308975996,4.301543590225077e-16,0.886761206266053,1.0,2.6884212089893647e-05,5.438068589238512e-29,raw,,,,,,,
0,isotropic,resp_best_rank,best_rank_control,6,0.008509888746080706,5.186358399151901e-16,0.008509888746080363,0.34851286626565803,0.348512866265658,4.301543590229354e-16,1.035669528551363,0.9999999999999942,0.33650972308975996,4.301543590225077e-16,0.886761206266053,1.0,2.6884212089893647e-05,5.438068589238512e-29,response,,,,,,,
0,label,raw,galerkin_main,6,0.008509888746080706,0.0036522821834902484,0.01173794347675546,0.016758725570885116,0.016380983812731453,0.0019416463002454097,0.9992566021558489,0.9999999999999999,0.016393170460294045,0.0019416463002434683,0.9997312639622598,0.9999962300096448,0.13752500564626288,0.0018356770883213268,raw,first_rho_le_alpha,0.05,10,6,,,
0,label,resp,galerkin_main,6,0.008509888746080706,0.0007995596621164402,0.008894653069165212,0.016758725570885116,0.016735911744749303,0.0023499430785754454,0.9992566021558489,0.9999999999999999,0.01674836244126445,0.0023499430785730957,0.999719492355536,0.9999944777675275,-0.060491741398366466,0.002694946324847442,response,first_rho_le_alpha,0.05,20,6,label,,
0,label,raw_euclidean,galerkin_control,6,0.008509888746080706,0.004212568197219528,0.012473531057708018,0.016758725570885116,0.016375828808594457,0.002024249388122866,0.9992566021558489,0.9999999999999999,0.01638801162108711,0.002024249388120842,0.9997314330751071,0.9999959024144147,0.12956031585854635,0.002013078387930903,raw,,,,6,,euclidean_svd,
0,label,resp_euclidean,galerkin_control,6,0.008509888746080706,0.0007256111657172152,0.008989765845459826,0.016758725570885116,0.0168623433000237,0.002900625787960868,0.9992566021558489,0.9999999999999999,0.016874888055407506,0.002900625787957968,0.9997152381531175,0.9999915863700383,-0.12162176365254383,0.004143507489278139,response,,,,6,label,euclidean_svd,
0,label,raw_random,galerkin_control,6,0.008509888746080706,0.05291462704388223,0.05643394172137498,0.016758725570885116,0.14798380889784046,0.14703048327251336,0.9992566021558489,0.9999999999999999,0.1480939015848625,0.14703048327236634,0.978068196313373,0.9783820369886944,-0.9935668634911535,11.24892666038006,raw,,,,6,,random_A_orthonormal,
0,label,resp_random,galerkin_control,6,0.008509888746080706,0.14900751340114263,0.14615283964165157,0.016758725570885116,0.14253901841511332,0.13843867945812352,0.9992566021558489,0.9999999999999999,0.14264506044538458,0.1384386794579851,0.9796523867305326,0.9808347320299292,-0.9933096016597488,9.666984889131998,response,,,,6,label,random_A_orthonormal,
0,label,raw_poly_y,galerkin_control,2,0.008509888746080706,0.35299224638620963,0.35181276852195303,0.016758725570885116,0.9158657210743016,0.9157866635031157,0.9992566021558489,0.9999999999999999,0.9165470801968665,0.9157866635022,0.15994144978259883,0.16133478695150838,-0.9998325765839429,389.2774276626073,raw,,,,6,,single_seed_polynomial_y,
0,label,resp_poly_y,galerkin_control,2,0.008509888746080706,0.35299224638620963,0.35181276852195303,0.016758725570885116,0.9158657210743016,0.9157866635031157,0.9992566021558489,0.9999999999999999,0.9165470801968665,0.9157866635022,0.15994144978259883,0.16133478695150838,-0.9998325765839429,389.2774276626073,response,,,,6,label,single_seed_polynomial_y,
