probe_kind,basis,n,TQ_E_model_to_operator_mean,TQ_E_model_to_operator_std,TQ_E_operator_to_T_mean,TQ_E_operator_to_T_std,TQ_X_sub_mean,TQ_X_sub_std,TQ_X_use_mean,TQ_X_use_std,TQ_rho_operator_to_T_mean,TQ_rho_operator_to_T_std,actLR_E_model_to_operator_mean,actLR_E_model_to_operator_std,actLR_E_operator_to_T_mean,actLR_E_operator_to_T_std,actLR_KRR_cost_mean,actLR_KRR_cost_std,actLR_X_sub_mean,actLR_X_sub_std,actLR_X_use_mean,actLR_X_use_std,actLR_model_fit_gain_mean,actLR_model_fit_gain_std,actLR_rho_KRR_cost_mean,actLR_rho_KRR_cost_std,actLR_rho_operator_to_T_mean,actLR_rho_operator_to_T_std,rank_mean,rank_std
isotropic,raw,4,0.3147045232186602,0.09973118957991918,0.06663313446141965,0.01531087203658162,0.9953842082899651,0.001808582975971157,0.9059736152266424,0.05017673227412064,0.004394332135989904,0.0018164303047094694,0.22628133358607366,0.048116977155752715,0.21111360584271688,0.11080495411172839,0.14448047138129722,0.1168534691935873,0.9462227420364155,0.04676362144691966,0.9526035162633648,0.016148225129741345,0.08842318963258655,0.0727594202836786,0.10005993904839856,0.06461432551772632,0.10445427118438846,0.06471258430129491,6.0,0.0
isotropic,response,4,0.3266833112786443,0.0886776602172824,0.06133987890896772,0.016566884947141095,0.9960315729978022,0.002284863354293541,0.9001000343700188,0.044992224215183764,0.0036454383614746137,0.0014839445324965387,0.24032276463621116,0.0398459734495782,0.20767022411174638,0.10630641793478193,0.14633034520277863,0.12005106067882575,0.9483972871468856,0.04371934575505027,0.9467781435152088,0.014025452400593755,0.08636054664243312,0.07400725839210753,0.09707196005593802,0.05677870249133188,0.10071739841741263,0.05596352368042978,6.0,0.0
label,raw,4,0.012067245072224673,0.00524806238300679,0.002001182523411347,0.0005800331210447798,0.9999957429396918,2.264965561668731e-06,0.9998343627438953,0.00012553251352549028,0.004394332135989904,0.0018164303047094694,0.006975599395336825,0.0024460653932678713,0.009814686349303067,0.004496238972565414,0.00781350382589172,0.0044217753241328,0.9998885098081912,8.829435393451638e-05,0.9999470436982028,3.3685472642089244e-05,0.0050916456768878475,0.002806586204331202,0.10005993904839856,0.06461432551772632,0.10445427118438846,0.06471258430129491,6.0,0.0
label,response,4,0.012297325161748552,0.0051149487222571415,0.0018613683810580874,0.00042037866989053503,0.9999964027690805,1.5963715598578808e-06,0.9998297753454108,0.0001240484236822956,0.0036454383614746137,0.0014839445324965387,0.007483801177096361,0.002244318592961537,0.00969762045864503,0.004390036856962014,0.007836252077586944,0.004210732799898615,0.9998915018397361,8.641819577870768e-05,0.999940394383412,3.21365293240153e-05,0.004813523984652189,0.0030095239959200327,0.09707196005593802,0.05677870249133188,0.10071739841741263,0.05596352368042978,6.0,0.0
