episode,lambda,basis,operator_kind,rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rho_operator_to_T
0,0.0,matched_response,galerkin,6,0.008509888746080706,0.0003695467609919954,0.00838519313874021,0.016475178180430396,0.01626386371260868,0.0037983047081066256,1.0007540525346557,0.9999999999999998,0.016251609145524013,0.003798304708102828,0.9997358852001811,0.9999855728813444,-0.060775977795857604,0.0052232724881391265
0,0.0,matched_response,actLR,6,0.008509888746080706,0.010016817543869141,0.006800319698822741,0.016475178180430396,0.007409894894003133,0.014839060679941046,1.0007540525346557,0.9999999999999998,0.00740431165402563,0.014839060679926208,0.9999451761689301,0.9997798022781375,-0.0167010992381811,0.11167268349622764
0,0.1,matched_response,galerkin,6,0.008509888746080706,0.0017127753894252253,0.008674075948079625,0.021874590412399357,0.02208139989903705,0.00882778980785647,1.0010449160920722,0.9999999999999998,0.02205835077332737,0.008827789807847644,0.9995134291611608,0.9999220701271084,-0.22320937744577174,0.010925883755294756
0,0.1,matched_response,actLR,6,0.008509888746080706,0.010482439470426853,0.0052091629699444935,0.021874590412399357,0.01137767435634386,0.019888341838590267,1.0010449160920722,0.9999999999999998,0.011365798051049708,0.01988834183857038,0.9998708186346628,0.9996044538589122,-0.10274720886944523,0.13267008304269393
0,0.25,matched_response,galerkin,6,0.008509888746080706,0.002891353324452301,0.009079991678064548,0.030986577888087376,0.0333859667265203,0.017096151051153967,1.0008918426841593,0.9999999999999998,0.03335621822728971,0.017096151051136873,0.9988873627055734,0.9997077216192367,-0.39134147572102773,0.021012940657290785
0,0.25,matched_response,actLR,6,0.008509888746080706,0.011878555910950139,0.0051296038708371055,0.030986577888087376,0.01858327477145906,0.029249534073022682,1.0008918426841593,0.9999999999999998,0.018566716181445207,0.02924953407299344,0.9996552770502377,0.9991444647565128,-0.22141881416098988,0.20088929389871593
0,0.5,matched_response,galerkin,11,0.008509888746080706,0.00842328208585277,0.01129237257097547,0.050145201504468016,0.06514930158717365,0.03688792262879744,1.0007257407388035,0.9999999999999997,0.06510205437406948,0.03688792262876057,0.9957617225162757,0.9986392811641346,-0.6430135438234132,0.04883628452311847
0,0.5,matched_response,actLR,11,0.008509888746080706,0.01357655854101727,0.005696925109048787,0.050145201504468016,0.04265564907100842,0.05439180070450575,1.0007257407388035,0.9999999999999997,0.042624714579115854,0.054391800704451376,0.9981831337070489,0.9970415320161272,-0.4877837191382671,0.5644356315938354
0,0.75,matched_response,galerkin,20,0.008509888746080706,0.0021685689673916707,0.008417116739120028,0.08627609647422188,0.1535763339259749,0.09099614250155696,1.0020555243038751,0.9999999999999992,0.15326130159554843,0.09099614250146604,0.9765109734332383,0.9917197020498529,-0.8737988793122203,0.14776780459774858
0,0.75,matched_response,actLR,20,0.008509888746080706,0.016661676969033208,0.011371907969708023,0.08627609647422188,0.11945465731793198,0.10259957539389643,1.0020555243038751,0.9999999999999992,0.11920961904860267,0.10259957539379391,0.9857890667262871,0.9894733271290131,-0.7079196834710966,2.912915160507437
0,0.9,matched_response,galerkin,20,0.008509888746080706,0.013231349156835197,0.020551823022606584,0.1478537343906407,0.36531847437027065,0.2541118474804188,1.0081395402782423,0.9999999999999981,0.3623689576435836,0.2541118474801652,0.8686887385363027,0.9354271689702173,-0.948865486972873,0.4661282124610977
