checkpoint,probe_kind,n,B_nat_mean,B_nat_std,E_F_T_mean,E_F_T_std,E_F_TQ_mean,E_F_TQ_std,E_TQ_T_mean,E_TQ_T_std,E_pointwise_F_T_mean,E_pointwise_F_T_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,d_model_mean,d_model_std,d_x_mean,d_x_std,dim_R_nat_mean,dim_R_nat_std,dim_over_nctx_mean,dim_over_nctx_std,max_closure_mean,max_closure_std,max_refinement_mean,max_refinement_std,mean_closure_mean,mean_closure_std,mean_refinement_mean,mean_refinement_std,mse_krr_mean,mse_krr_std,mse_model_mean,mse_model_std,mse_ratio_mean,mse_ratio_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,r_eff_T_task_mean,r_eff_T_task_std,smax_mean,smax_std,sweep_val_mean,sweep_val_std,tau_sv_mean,tau_sv_std
dx10,task,16,90.0,0.0,0.01301938555707323,0.003764266142574597,0.43583023522962705,0.1544521621300224,0.43448076258707313,0.15781794354299108,0.012382326654410166,0.00426677265636003,0.7878766200945496,0.11233006383154631,0.7883142136819659,0.11168906318335917,128.0,0.0,10.0,0.0,8.0,0.8944271909999159,0.1702127659574468,0.01903036576595566,0.5423397335047759,0.03559875730740238,0.9999889775602012,2.4729442250844685e-06,0.1633455008713738,0.025010731186144823,0.8765141091775339,0.002453252435192437,0.031812066741225165,0.0276587154030894,0.045458241022315556,0.03946148833365693,1.4734011626207972,0.5249060761118656,4.0,0.0,8.0,0.0,10.0,0.0,2.0,0.0,10.0,0.0,0.001,0.0
dx15,task,16,90.0,0.0,0.01754819630465291,0.004108429333593599,0.6492182262777446,0.06455714417028734,0.6491785448448852,0.06428686207027903,0.014230289259515983,0.00592950878171091,0.5746927163187627,0.08217266715506522,0.5737442674495405,0.08272792114133695,128.0,0.0,15.0,0.0,8.875,0.806225774829855,0.18882978723404253,0.017153739889996918,0.5962427869457525,0.04245299562013411,0.9999779396793985,5.227393461257744e-06,0.2730818108613701,0.049867272720716685,0.8657308160112266,0.004421186755297942,0.05508295735521386,0.03646435115306637,0.06877855651872393,0.0330976999729419,1.558434328493776,1.0317253450691768,4.0,0.0,8.0,0.0,14.9375,0.25,2.0,0.0,15.0,0.0,0.001,0.0
dx3,task,16,90.0,0.0,0.006133264784292502,0.001110160278828578,0.006133264784299573,0.0011101602788408205,1.4266971247312647e-13,5.89861400160704e-14,0.007125100411530229,0.003315799962393303,1.0,0.0,0.999961233694379,1.3958827859395772e-05,128.0,0.0,3.0,0.0,3.0,0.0,0.06382978723404255,0.0,0.31718903873773785,0.07832214015433937,0.9999899750989076,9.391783523083801e-06,0.05008397268808091,0.011448532646160347,0.8887029054193534,0.0001708641220231465,0.005772163564191154,0.005682470424505045,0.005909723452650705,0.0054066775389188144,1.2530060078235072,0.7162130699737628,4.0,0.0,8.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.001,0.0
dx5,task,16,90.0,0.0,0.009013056350912926,0.0024818824874938677,0.009013056350900328,0.002481882487486954,1.0502377203371567e-12,1.1793135292154741e-12,0.010661722578436377,0.009424245375466428,1.0,0.0,0.9999133401340731,4.68046282543382e-05,128.0,0.0,5.0,0.0,5.0,0.0,0.10638297872340426,0.0,0.4314505918506259,0.07074132566642248,0.9999917749186633,3.4616228751608174e-06,0.06179261222245258,0.010507778832805174,0.8854868158182038,0.0014920966963066253,0.013996316662517338,0.010079803343826818,0.015073586125503318,0.01151318206686898,1.0645948415541913,0.1996233019376538,4.0,0.0,8.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,0.001,0.0
dx8,task,16,90.0,0.0,0.013099532384140015,0.00264389997867735,0.18288029580084483,0.18480055911176776,0.17677909603636416,0.19179020648385423,0.012009561741980996,0.0056083183341334225,0.9342646356080229,0.08129613742910943,0.9342996960520467,0.08078866154656672,128.0,0.0,8.0,0.0,7.4375,0.6291528696058958,0.15824468085106383,0.013386231268210551,0.4865046549336959,0.0639759958761711,0.9999834687333801,9.59272678932783e-06,0.09779470675626054,0.016398809580107525,0.8785172019577059,0.002832977298161387,0.021083931797096077,0.012465060293103321,0.023926616387140588,0.016338405301664395,1.1403804638780968,0.3036146610486949,4.0,0.0,8.0,0.0,8.0,0.0,2.0,0.0,8.0,0.0,0.001,0.0
