Experiment 2 Layerwise Sufficiency

checkpoint=model_dx8.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16  8.0    8.0        8.0  1.00     0.002       0.002    0.509
    1   41  8.0    8.0        8.0  1.00     0.001       0.001    0.511
    2   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    3   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    4   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    5   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    6   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    7   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    8   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   10  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    1   22  8.0    8.0        8.0  1.00     0.000       0.000    0.510
    2   34  8.0    8.0        8.0  1.00     0.000       0.000    0.508
    3   39  8.0    8.0        8.0  1.00     0.000       0.000    0.508
    4   41  8.0    8.0        8.0  1.00     0.000       0.000    0.508
    5   41  8.0    8.0        8.0  1.00     0.000       0.000    0.508
    6   41  8.0    8.0        8.0  1.00     0.000       0.000    0.508
    7   46  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    8   46  8.0    8.0        8.0  1.00     0.000       0.000    0.509

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   20  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    1   43  8.0    8.0        8.0  1.00     0.000       0.000    0.510
    2   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    3   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    4   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    5   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    6   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    7   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
    8   47  8.0    8.0        8.0  1.00     0.000       0.000    0.509
