episode,r_eff_T_task,r_eff_T_task_strict,rank_tau_task,krr_risk_total,krr_signal_total,E_F_T,F_T_excess_over_krr_risk
0,8,8,0.00397124279784422,0.2725451238467702,864.0831580096974,0.01262713904738124,0.5627722522471356
1,8,8,0.003548102372720702,0.319134038297225,1267.5084059611245,0.012943646459070202,0.5576246736521527
2,8,8,0.005052572139707244,0.2896752918883507,567.3569922248894,0.011334475095100303,0.2635740851080591
3,8,8,0.004116015652044531,0.32208361465367474,950.5710874920387,0.010092926288350184,0.3058347528163264
4,8,8,0.004351091734268431,0.40281176101289873,1063.8384120319192,0.01326389618204658,0.5520446995223988
5,8,8,0.005934759962248173,0.3283643864054486,466.1436114554672,0.011447592881451222,0.1513523069128016
6,8,8,0.0037229861220670997,0.4546573768035671,1640.1040897750422,0.02329704396247896,2.218368180850616
7,8,8,0.006749947928685408,0.3065502272206846,336.41147533293497,0.010343468890037294,0.14244313142180043
8,8,8,0.0037729760881084055,0.3464397982672054,1216.8293483367079,0.013809924500146162,0.6279871508454232
9,8,8,0.005360840575945437,0.3904375495344894,679.290902901643,0.011013043221757387,0.25217154422450205
10,8,8,0.004058725691426375,0.28778479299690574,873.4910201555097,0.010986501831795415,0.3913491987110681
11,8,8,0.0049602384073109745,0.37612027902221534,764.3489131636086,0.011504981206531593,0.20271883219332015
12,8,8,0.003971904301461518,0.3011858128460432,954.5682012360786,0.0173078805329927,0.9602553508974699
13,8,8,0.004161985695108789,0.2881133389003985,831.6339367323285,0.00861967270770443,0.21516011010140423
14,8,8,0.004989224280162515,0.29054175035299945,583.5962580180951,0.010000475151375483,0.31381856341747383
15,8,8,0.00405217688570301,0.34362797236411424,1046.3614330011585,0.01136303062282464,0.4326868207235665
