Experiment 2 Validated Native Rank

selection_mode=causal
episodes=16, n_build=16, n_val=16, n_eval=16, gamma=0.95, min_explainable_frac=0.001
n_causal=8, causal_damage_tau=0.05, causal_max_keep=0, max_candidate_rank=16
n_ctx=47, n_tgt=16, sigma2=0.1, tau_sv=0.001, tau_subspace=1e-09

name   probe L   H   B_nat    dim    rT    dim/rT  mean_s  E(TQ,T)    E(F,TQ)    E(F,T)     valClos  maxDmg  
H1     task    8   1     60.6    5.0   5.0   1.000    0.90    0.00000    0.01560    0.01560  0.04822 1967.65778
H2     task    8   2     61.2    5.0   5.0   1.000    0.98    0.00000    0.00904    0.00904  0.03302 767.16637
L2     task    2   4     37.5   20.6   5.0   4.112    5.42    0.00000    0.18535    0.18535  0.01672  0.90337
L4     task    4   4     29.2    5.1   5.0   1.025    1.21    0.00000    0.02528    0.02528  0.01555  0.62524
L6     task    6   4     41.6    5.0   5.0   1.000    0.88    0.00000    0.01255    0.01255  0.02851  4.10089
H8     task    8   8     57.2    5.0   5.0   1.000    0.79    0.00000    0.00982    0.00982  0.03199 130.28971
L8     task    8   4     58.3    5.0   5.0   1.000    0.83    0.00000    0.00952    0.00952  0.03626 193.00577
L12    task   12   4    109.8    5.0   5.0   1.000    0.93    0.00000    0.00944    0.00944  0.02912  1.22366
