step,elapsed_sec,train_loss,lr,n_tgt,eval_mse,krr_mse,mse_over_krr,pred_to_krr_mse
1,0.6103379726409912,0.07257043570280075,0.0001,64.0,0.07955009769648314,0.07337501086294651,1.0947768688201904,0.005117896944284439
1,0.6103379726409912,0.07257043570280075,0.0001,128.0,0.08718443661928177,0.07934933248907328,1.0979470014572144,0.007694867148529738
250,17.48380994796753,0.08948758244514465,9.601520304060812e-05,64.0,0.0846752105280757,0.07936665788292885,1.0761048644781113,0.003904387936927378
250,17.48380994796753,0.08948758244514465,9.601520304060812e-05,128.0,0.07944203075021505,0.07380004785954952,1.0817962437868118,0.004855223931372166
500,34.64449405670166,0.08356413245201111,9.201440288057611e-05,64.0,0.0808620061725378,0.07847459241747856,1.0386248230934143,0.0026755850994959474
500,34.64449405670166,0.08356413245201111,9.201440288057611e-05,128.0,0.07718721963465214,0.07429063878953457,1.0375886410474777,0.0030424133001361042
750,52.26880192756653,0.08038346469402313,8.801360272054411e-05,64.0,0.0737377954646945,0.0708618052303791,1.0454067289829254,0.0029475631308741868
750,52.26880192756653,0.08038346469402313,8.801360272054411e-05,128.0,0.07738851942121983,0.07493037264794111,1.0352315157651901,0.0034461038594599813
1000,70.0864040851593,0.06745032966136932,8.401280256051211e-05,64.0,0.08021181635558605,0.07716615032404661,1.0393991321325302,0.0024185705406125635
1000,70.0864040851593,0.06745032966136932,8.401280256051211e-05,128.0,0.0786828026175499,0.07656364608556032,1.0292025804519653,0.0026275912241544574
1250,88.09479403495789,0.08709416538476944,8.00120024004801e-05,64.0,0.08072575274854898,0.07777654007077217,1.038098230957985,0.003404864721233025
1250,88.09479403495789,0.08709416538476944,8.00120024004801e-05,128.0,0.08060130756348372,0.07630846370011568,1.0629986673593521,0.003968381002778187
1500,106.26032996177673,0.08489919453859329,7.601120224044809e-05,64.0,0.07941241655498743,0.0765041010454297,1.0454016774892807,0.0021428370528155938
1500,106.26032996177673,0.08489919453859329,7.601120224044809e-05,128.0,0.07461673533543944,0.07323499163612723,1.023026168346405,0.0022757537371944636
1750,125.59491991996765,0.0822550356388092,7.201040208041609e-05,64.0,0.08195715211331844,0.0792296789586544,1.0332640409469604,0.001963543734746054
1750,125.59491991996765,0.0822550356388092,7.201040208041609e-05,128.0,0.08307679742574692,0.07972054649144411,1.0416513830423355,0.0022422529000323266
2000,144.1861219406128,0.07740677893161774,6.800960192038408e-05,64.0,0.07486065337434411,0.07193684531375766,1.0474324822425842,0.0022363191237673163
2000,144.1861219406128,0.07740677893161774,6.800960192038408e-05,128.0,0.08077352959662676,0.0780933191999793,1.0380435585975647,0.002681061450857669
2250,163.33536410331726,0.0860159695148468,6.400880176035207e-05,64.0,0.07919987384229898,0.0763681884855032,1.0386898517608643,0.002146111073670909
2250,163.33536410331726,0.0860159695148468,6.400880176035207e-05,128.0,0.07555924635380507,0.07401442248374224,1.0232881605625153,0.0021700680372305214
2500,182.32479691505432,0.0656169205904007,6.000800160032006e-05,64.0,0.07526141591370106,0.07285295892506838,1.038823127746582,0.0019576904451241717
2500,182.32479691505432,0.0656169205904007,6.000800160032006e-05,128.0,0.07974056713283062,0.07644350547343493,1.046917274594307,0.002398862998234108
2750,201.49569702148438,0.08965899050235748,5.6007201440288055e-05,64.0,0.07738958485424519,0.0761377913877368,1.01503087580204,0.0020145213493378833
2750,201.49569702148438,0.08965899050235748,5.6007201440288055e-05,128.0,0.07810464780777693,0.07505745533853769,1.0412228778004646,0.002929634239990264
3000,220.5231750011444,0.06696602702140808,5.200640128025605e-05,64.0,0.07514208275824785,0.0735602118074894,1.0288514196872711,0.0017575759120518342
3000,220.5231750011444,0.06696602702140808,5.200640128025605e-05,128.0,0.0772940069437027,0.07464366313070059,1.041778713464737,0.0021686428954126313
3250,239.89444708824158,0.07935988157987595,4.8005601120224044e-05,64.0,0.0749552184715867,0.07453026389703155,1.0064707174897194,0.0015839468396734446
3250,239.89444708824158,0.07935988157987595,4.8005601120224044e-05,128.0,0.078178521245718,0.076188531704247,1.0269086956977844,0.0018962912145070732
3500,259.170774936676,0.07606057822704315,4.400480096019204e-05,64.0,0.07444451935589314,0.07350567914545536,1.0156567692756653,0.0017931907350430265
3500,259.170774936676,0.07606057822704315,4.400480096019204e-05,128.0,0.07925314549356699,0.07713166065514088,1.0281841158866882,0.002359840218559839
3750,278.62660813331604,0.07941664010286331,4.000400080016003e-05,64.0,0.07387512736022472,0.07188801653683186,1.0322824120521545,0.0021200915798544884
3750,278.62660813331604,0.07941664010286331,4.000400080016003e-05,128.0,0.07472392916679382,0.07163027115166187,1.044487938284874,0.002455232694046572
