checkpoint,episode,basis,rank,selected_rank,r_eff_T_task,kernel_lengthscale,kernel_signal_var,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res
rbf_elbow_scratch_nctx128_ntgt128,0,raw,0,25,50,3.0,1.0,0.05016234394160288,0.9999999999999157,0.9757487784826948,0.034950351901867564,0.9846793317104054,0.9999999999999999,0.9846793317104054,0.9999999999999999,0.9999999999989845,0.999999999999,2.0310420012492614e-12,1.999955756559757e-12,-0.9994989210246188
rbf_elbow_scratch_nctx128_ntgt128,0,raw,1,25,50,3.0,1.0,0.05016234394160288,0.6593468295263393,0.6407593655054353,0.034950351901867564,0.5771437567916226,0.5882446070143437,0.9846793317104054,0.9999999999999999,0.5861235614527701,0.5882446070137555,0.6564591707099208,0.6539682823192323,-0.9983824849557184
rbf_elbow_scratch_nctx128_ntgt128,0,raw,2,25,50,3.0,1.0,0.05016234394160288,0.6511101050388022,0.634152539609271,0.034950351901867564,0.5630158857544115,0.5740363969521216,0.9846793317104054,0.9999999999999999,0.5717758742593604,0.5740363969515476,0.6730723496149441,0.6704822149748852,-0.9982981064555567
rbf_elbow_scratch_nctx128_ntgt128,0,raw,3,25,50,3.0,1.0,0.05016234394160288,0.5991537569941463,0.588199069746249,0.034950351901867564,0.4995372694364426,0.5107894320135976,0.9846793317104054,0.9999999999999999,0.5073095914059963,0.5107894320130869,0.7426369784674811,0.7390941561437481,-0.997854438429045
rbf_elbow_scratch_nctx128_ntgt128,0,raw,4,25,50,3.0,1.0,0.05016234394160288,0.4884878145298382,0.4732929369971388,0.034950351901867564,0.4390721932291651,0.44981856901372574,0.9846793317104054,0.9999999999999999,0.44590373646417764,0.449818569013276,0.8011698578072852,0.7976632549708487,-0.997199932451826
rbf_elbow_scratch_nctx128_ntgt128,0,raw,5,25,50,3.0,1.0,0.05016234394160288,0.3128454052045461,0.2999092037583916,0.034950351901867564,0.3447245105757354,0.3563031125243235,0.9846793317104054,0.9999999999999999,0.350088094137807,0.35630311252396724,0.8774383263429579,0.8730480920057331,-0.9955731710259337
rbf_elbow_scratch_nctx128_ntgt128,0,raw,6,25,50,3.0,1.0,0.05016234394160288,0.31241391823282705,0.2994746701932496,0.034950351901867564,0.2607137829606192,0.26965615650844355,0.9846793317104054,0.9999999999999999,0.26477023998004506,0.2696561565081739,0.9298967200209094,0.9272855572572392,-0.9918811444135975
rbf_elbow_scratch_nctx128_ntgt128,0,raw,7,25,50,3.0,1.0,0.05016234394160288,0.24772566944604157,0.2304064567593135,0.034950351901867564,0.2537468219824253,0.26281411347968137,0.9846793317104054,0.9999999999999999,0.25769487975481814,0.2628141134794186,0.9335933489481498,0.9309287417560272,-0.9914579300690117
rbf_elbow_scratch_nctx128_ntgt128,0,raw,8,25,50,3.0,1.0,0.05016234394160288,0.33687124656008743,0.3528161309427264,0.034950351901867564,0.2512233907498123,0.2605761236451045,0.9846793317104054,0.9999999999999999,0.25513218634657203,0.260576123644844,0.934907567490018,0.932100083786227,-0.9913381860749465
rbf_elbow_scratch_nctx128_ntgt128,0,raw,9,25,50,3.0,1.0,0.05016234394160288,0.24940218957226767,0.26890805287391756,0.034950351901867564,0.24423520304066224,0.25370056896070525,0.9846793317104054,0.9999999999999999,0.24803526912276438,0.25370056896045157,0.9384785052711978,0.9356360213091431,-0.9908659920346918
rbf_elbow_scratch_nctx128_ntgt128,0,raw,10,25,50,3.0,1.0,0.05016234394160288,0.2464134790984028,0.2656967955699624,0.034950351901867564,0.23742417868072999,0.2472137235683033,0.9846793317104054,0.9999999999999999,0.2411182717403836,0.2472137235680561,0.9418619790329306,0.9388853748796168,-0.9904105868866089
