bank_index,base_mse,krr_mse,base_mse_ratio
0,0.1892729306859378,0.11015704004840621,1.7182100263656848
1,0.056696334780298785,0.04480215235769157,1.2654823886059403
2,0.1946560089524805,0.17286833055389986,1.1260362631418328
3,0.33645714260524934,0.31574311372734093,1.0656040558838473
4,0.08518782449448664,0.06988035208344115,1.2190525942509203
5,0.021261734159174116,0.01491968980829286,1.4250788342366298
6,0.2035422790145474,0.1641525940678727,1.2399577367043504
7,0.04267816745210874,0.04817308965238946,0.8859337808736925
8,0.028544465897858123,0.019748230798446224,1.4454188929219918
9,0.42000967314251414,0.20981657416761879,2.0017945427274766
10,0.13143559149650982,0.10969137828819867,1.19823083224628
11,0.016795937567743682,0.011682797430378665,1.4376640242061691
12,0.12949506187908816,0.10857294797867434,1.1927009838999978
13,0.0807550653096354,0.09264186196825505,0.871690870562459
14,0.21707705219679724,0.17954060279130268,1.2090694184040742
15,0.041165065232062946,0.04335604641986923,0.9494653832919091
16,0.22603894966652613,0.22748461114556612,0.9936450141758604
17,0.15283135285913518,0.10234077166770475,1.493357440721385
18,0.08905021680306302,0.087779024627105,1.0144817304744291
19,0.49529100882749083,0.43750172152559763,1.13208927978701
20,0.20252010441492235,0.20333705422264875,0.9959822875823122
21,0.045907205413484295,0.035638538512726116,1.2881337823965862
22,0.060289441821111955,0.04681420650667356,1.2878450009083768
23,0.5122247653112318,0.2416858197145641,2.1193827834673122
24,0.09173917033910314,0.0811751006334393,1.1301392868407738
25,0.0929433984652432,0.10996573938685505,0.845203233147663
26,0.10104252010389367,0.09798948834858176,1.0311567271833408
27,0.11048468945220943,0.11579645080995667,0.9541284614459833
28,0.08220463047729912,0.07223037613323695,1.1380894698051074
29,0.2126114192345377,0.14420491877607167,1.4743700911110453
30,0.1143445693827199,0.08864075929299145,1.2899773230142082
31,0.08195249400745576,0.08362228575148575,0.9800317376041072
32,0.06150772073743756,0.04738218890642396,1.2981190222957069
33,0.18673218782296513,0.1851523158993281,1.0085328229137358
34,0.14439600883056342,0.10193014213511895,1.4166173597516578
35,83.53132377554259,0.004991201080462135,16735.715998804928
36,0.09701748452870991,0.09865506957245794,0.9834009032597631
37,0.3514010203369754,0.29379057879508197,1.1960935635790981
38,0.2929570743071278,0.18057403707310937,1.622365424485236
39,0.22779034352569463,0.16803868785067136,1.3555827318059157
40,0.1370298563498692,0.1335264199263766,1.0262377769539865
41,0.4729394432903269,0.44292901228719134,1.067754493769031
42,0.30743493314799686,0.16024205814152023,1.9185658042190208
43,0.06087336354817343,0.04824565109029057,1.2617378390075078
44,0.09386786175450998,0.07473031318342764,1.2560881622977906
45,0.1506840387440455,0.14286775342774294,1.0547099336888206
46,0.18587326951742963,0.23798975645251302,0.7810137389443382
47,0.21419654079510386,0.14130495893285946,1.5158458868869462
48,0.2451806307651204,0.2191781014575663,1.1186365295375473
49,0.2634030200690196,0.09364292430083909,2.8128448789446803
50,0.04689072229134085,0.035946898797022994,1.3044441623772058
51,0.3015462396579651,0.16317561449976575,1.847985929652485
52,0.0458628540452647,0.04734330510870621,0.968729452664063
53,0.1740397088449031,0.09662098821557893,1.8012619417283229
54,0.23558695185026934,0.16849143553101867,1.3982132154539013
55,0.02059645303467402,0.018401599896126504,1.119275125583484
56,0.16028905179279276,0.11114721922740181,1.4421328118416454
57,0.01943476988976852,0.01819134751333205,1.068352406303337
58,0.057740807779099956,0.058114290667146296,0.9935733038507604
59,0.0501650012721007,0.04807558897175567,1.0434609818628027
60,0.08816106583410398,0.0804367184891603,1.0960301152263516
61,0.10611636151701682,0.09515061869183246,1.1152461536871294
62,0.30986462780277135,0.13289666634841643,2.3316207721147526
63,0.10513107728805046,0.10654472495731522,0.9867318849447394
64,0.12897004083117652,0.12550292454016948,1.0276257808629576
65,0.1951664917013203,0.24133705092994315,0.8086884750985645
66,0.44826110427382765,0.4436499227131529,1.0103937391276323
67,0.10111071026436258,0.1277834628740056,0.7912660057120041
68,0.1851069016941243,0.19035574430312166,0.9724261401818317
69,0.2563078490814837,0.2324011313408337,1.1028683363231524
70,0.020445172959287956,0.01360962775185658,1.5022580581969918
71,0.0727359262155535,0.053032537003866474,1.3715339737612495
72,0.03744432014828268,0.03775977042375692,0.9916458635226295
73,0.23714016929627785,0.20413479792402903,1.1616841994010847
74,0.16465933568554614,0.13248935170139955,1.2428118454126813
75,0.378411759751428,0.3574704132487462,1.058582041272629
76,0.10102885419487624,0.09053884013864608,1.115862032694105
77,0.07370758539056999,0.07801638593625264,0.9447705697466763
78,0.027739660160461987,0.02001750052190334,1.3857704227412901
79,0.10441902997854977,0.09821770706322008,1.0631385429445839
80,0.09869906104028561,0.06942767475058297,1.4216097744142995
81,0.1596659620287028,0.1129170447872339,1.4140111648295124
82,0.020491859104378816,0.016088707577881074,1.273679629341467
83,0.03403330493924613,0.032823459707361946,1.0368591624000205
84,0.12723535274818293,0.10724662668981581,1.1863809303408632
85,0.13514306673213553,0.11924017329644228,1.1333685870797685
86,0.16412326356794624,0.14866788783099416,1.103959072550501
87,0.04660181889235799,0.036321427892018567,1.2830392855397208
88,0.019054575673807722,0.019195431396705247,0.9926620183737208
89,0.20016589075406083,0.16099929988265158,1.2432718086349246
90,0.1275619534327228,0.12418667086448139,1.0271791050097856
91,0.04870636578029626,0.03339057085828656,1.4586862257315605
92,0.13152727725271027,0.12728349003210165,1.033341222962525
93,0.2519394568077309,0.22310987331015236,1.1292169775808243
94,0.29529065168987706,0.2677882936280376,1.1027018682901828
95,0.09823537246643696,0.09709991168130441,1.0116937365387035
96,0.181677163984503,0.16590204592433305,1.0950869410457114
97,0.08460088557849879,0.03722085189065649,2.2729432906863707
98,0.10401748796475771,0.11789602713753826,0.8822815364542372
99,0.1950384380690815,0.11528437900944881,1.691802824848421
100,0.09953312170937087,0.09217540496867468,1.0798229933808987
101,0.11985817958055316,0.10403764950602341,1.152065431597566
102,0.1916438932241898,0.1511498616766341,1.2679065074779063
103,0.3783982889388331,0.31300020509694837,1.208939428080018
104,0.17518474005636098,0.16941642032814117,1.0340481738254603
105,0.3012614262194685,0.27535156848126574,1.0940973675258567
106,0.13267055407781142,0.09212672476664974,1.4400876012238168
107,0.0841090697959898,0.07026501752239757,1.1970262409623582
108,0.1638401963942842,0.1542614605154146,1.0620941604394603
109,0.18617189807005757,0.1546843917221547,1.2035596869040348
110,0.13153448995960954,0.08710676698191541,1.5100375609958976
111,0.23963657575528008,0.2764490477870639,0.8668381304748106
112,0.10553735915851384,0.1107575011915533,0.9528687269315393
113,0.07957801353934035,0.049245136482172394,1.6159568075955886
114,0.09484404764076271,0.07864692454548874,1.2059473169342518
115,0.21011377026304104,0.1995945912774884,1.0527027256511587
116,0.10967662136814309,0.03979407822804244,2.7561040801004206
117,0.13271942442148008,0.1273629779031906,1.0420565426976822
118,0.5566813948044286,0.35254420282946947,1.5790399908340094
119,0.39001826124983846,0.12855373221679844,3.0338929451857157
120,0.01666962379788101,0.013842053342760115,1.2042739169618801
121,0.46330488555422483,0.30413322190345254,1.5233616461055397
122,0.17323978200757734,0.12013654646495966,1.4420239894119675
123,0.20672116792492473,0.1700349252744307,1.2157571016147632
124,0.16315291528363346,0.13684494767163025,1.1922465393105426
125,0.03856852198861214,0.03015191512186563,1.2791400424393917
126,0.19251490034385707,0.1756453503238042,1.096043248448955
127,0.0720043048881729,0.08359532691421606,0.8613436605381345
128,0.49522847784072976,0.29266340319979384,1.6921435082973115
129,0.1311913525581723,0.06785171495723936,1.9335009091641977
130,0.15289357837553266,0.1481514582642071,1.0320085955743254
131,0.03943524668281566,0.03736548470072377,1.0553923493477873
132,0.06559324023390856,0.06350622168450325,1.0328632139347471
133,0.27731654870251954,0.26881290804622704,1.0316340488189286
134,0.1703924474133851,0.12633739188700432,1.348709553587931
135,0.2884757466945236,0.21185601209745783,1.361659477295453
136,0.1319661168118317,0.10515350067186495,1.254985482828921
137,0.17516960734191148,0.1275183412859401,1.373681664734964
138,0.10425159479142825,0.09646569113157061,1.0807116350748822
139,0.22039585489670094,0.13216198313837194,1.667619156909512
140,0.16225047384018504,0.12870312035089984,1.260656877609655
141,0.31344961174653435,0.2868005585990863,1.092918414376941
142,0.06331262981226454,0.05637844102771204,1.1229936241256493
143,0.05951579054986663,0.04673097667245307,1.27358328003767
144,0.2586853619758867,0.2955693042860842,0.875210511459278
145,0.3066798692037551,0.22108422421480575,1.3871630610141794
146,0.18514750476252265,0.16315898173949953,1.1347674690574505
147,0.10586565789271285,0.10777731149557554,0.9822629310720822
148,0.2069838925742971,0.229880483587828,0.9003978473675733
149,0.13567303296004576,0.11721199051899855,1.1575013132982748
150,0.15851029157983618,0.14196262209543944,1.1165635661003217
151,0.09758081130221793,0.0804532220668428,1.212888791714831
152,0.13360225676914267,0.14482652724040657,0.9224985181572984
153,0.07097529019322386,0.06580100078707417,1.0786354211069404
154,0.1445887300674777,0.10284935169747134,1.4058302525112811
155,0.11941711121353382,0.12402780324692035,0.9628253350242175
156,0.1423615020731907,0.1360192173033155,1.0466278581483985
157,0.13752273203543136,0.11660198215469472,1.1794201907561166
158,0.036454509300485854,0.044488374993179716,0.8194165173727858
159,0.22556393429058205,0.13036981552507085,1.730185268592367
160,0.09208418763718709,0.0892121311272834,1.0321935646375937
161,0.03797103676559434,0.04166035269790976,0.9114429981169956
162,0.30438530244047773,0.2147905281053221,1.417126281710258
163,0.09245725030025712,0.05895935202311856,1.5681524156507638
164,0.27346734731026756,0.26072739983734444,1.0488630941008539
165,0.022293668499787804,0.018613242724396108,1.1977315736912308
166,0.08724014432977553,0.07367599825502999,1.1841053585428616
167,0.20931377572738352,0.07993555481283135,2.6185315935754816
168,0.06724409325508171,0.06518058903224035,1.031658262888982
