selection_rank,bank_index,name,replicate,state_idx,basis_layer,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
1,35,base,base,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,83.53132377554259,16735.715998804928,1.0,468.2770151932226,0.0,784.9560766433187,784.9568214216797,0.0
1,35,keep_Q,keep_Q,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.00586447103524436,1.174961886067986,14243.624578164878,1.3961964449733957,1.0014237852067973,0.3248884748862374,0.29782537780841406,784.9535287309537
1,35,remove_Q,remove_Q,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,200.11091381954688,40092.73731785188,0.41742512780121654,726.1860233222064,1.1991542518451115,1722.7896059852017,1722.7972850861822,1725.8934139709495
1,35,zero_context,zero_context,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.006044190298828131,1.2109691037068977,13820.101559631228,1.5005880608949282,1.0014675597314089,,,
1,35,keep_response_svd,keep_response_svd,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.006916497603460784,1.3857381203364352,12077.113094602435,1.7524165828001081,1.001504621356445,,,
1,35,keep_krr_oracle,keep_krr_oracle,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.00710591774861984,1.4236889346004677,11755.17740713599,1.3861653819053623,1.001130666745521,,,
1,35,keep_random_A,keep_random_A_00,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.0053384199247635865,1.069566190322531,15647.199911730773,1.4100585288290648,1.0009645755018137,,,
1,35,keep_random_A,keep_random_A_01,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.007454717840851247,1.4935719320210226,11205.162362792289,2.1289782341280827,1.0023728396601654,,,
1,35,keep_random_A,keep_random_A_02,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.005623518173993943,1.1266863593228067,14853.926170601642,1.657079487158564,1.001690851568257,,,
1,35,keep_random_A,keep_random_A_03,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.006283940160605872,1.2590036064073065,13292.826099650323,2.154882581810439,1.0026183646802738,,,
1,35,keep_random_A,keep_random_A_04,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.00856179069467675,1.71537683147881,9756.291265970536,3.2714139595736738,1.0040692569079515,,,
1,35,keep_random_A,keep_random_A_05,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.009528434387725118,1.9090463866550695,8766.531874654112,2.5171306894668524,1.0017441412448935,,,
1,35,keep_random_A,keep_random_A_06,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.009098750257076283,1.822958063679901,9180.527151031383,2.131446652734782,1.0014041699669893,,,
1,35,keep_random_A,keep_random_A_07,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.004924217220816691,0.9865796110864679,16963.37103538433,1.408762114995707,1.002285342666711,,,
1,35,keep_random_A,keep_random_A_08,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.00637278930925572,1.276804762324996,13107.49810200429,1.4321837012864718,1.000372531485593,,,
1,35,keep_random_A,keep_random_A_09,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.007883314797843162,1.5794424369521185,10595.96450447423,2.121941081844115,1.0015251941240764,,,
1,35,keep_random_A,keep_random_A_10,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.006146831168410538,1.231533466458018,13589.331069449612,1.5343204539963968,1.0009257753325729,,,
1,35,keep_random_A,keep_random_A_11,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.006473159714792254,1.296914231752992,12904.25811441969,1.1988458448715087,1.001314128064234,,,
1,35,keep_random_A,keep_random_A_12,1,8,47,40,2,4,41,4,40,0.04688699478833173,0.014289271428228974,1.0,0.004991201080462135,83.53132377554259,0.007026079638952196,1.407693163566484,11888.752770812554,2.0138760878721107,1.0009229227707122,,,
