basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,excess_risk_frac_mean,excess_risk_frac_std,kernel_lengthscale_mean,kernel_lengthscale_std,kernel_signal_var_mean,kernel_signal_var_std,krr_risk_over_signal_mean,krr_risk_over_signal_std,krr_risk_per_tgt_mean,krr_risk_per_tgt_std,krr_risk_total_mean,krr_risk_total_std,krr_signal_per_tgt_mean,krr_signal_per_tgt_std,krr_signal_total_mean,krr_signal_total_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_mean,rank_std,rank_tau_task_mean,rank_tau_task_std,selected_rank_mean,selected_rank_std
raw,0,8,0.034217680775058726,0.005854330490271511,0.9827963914672706,0.008641111935342862,0.9827963914672706,0.008641111935342862,0.9999999999999998,1.1102230246251565e-16,0.9999999999999998,1.1102230246251565e-16,0.9999999999989999,1.1102230246251565e-16,0.9999999999989825,8.952182791898426e-15,1.9999835121353726e-12,7.850462293418876e-17,2.0350665597135276e-12,1.7904340996896024e-14,-0.9995726714572244,0.00011856070411951414,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.9704683672808414,0.012732242527494315,0.9999999999999178,1.9155449733497965e-14,28.625,0.9161253813129043,51.25,0.8864052604279183,0.0,0.0,0.04326769123700365,0.0014421926437458755,26.25,1.164964745021435
raw,1,8,0.034217680775058726,0.005854330490271511,0.5624104979917427,0.050959931914165355,0.9827963914672706,0.008641111935342862,0.5713919004865212,0.04960484831862065,0.9999999999999998,1.1102230246251565e-16,0.5713919004859499,0.049604848318571045,0.5720724942809687,0.04874547934096526,0.6713582352044345,0.059360720271849056,0.670653954750493,0.058207147121586034,-0.9982713169457968,0.0005825581812158564,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.7335347223866666,0.16836967142998258,0.7506563372302714,0.1768831329290332,28.625,0.9161253813129043,51.25,0.8864052604279183,1.0,0.0,0.04326769123700365,0.0014421926437458755,26.25,1.164964745021435
raw,10,8,0.034217680775058726,0.005854330490271511,0.22582545674345442,0.029728264820385174,0.9827963914672706,0.008641111935342862,0.23219904445496392,0.02964648311221016,0.9999999999999998,1.1102230246251565e-16,0.23219904445473177,0.029646483112180523,0.22970045766382113,0.029192294900779053,0.9453145540385038,0.014486803305654383,0.9464920334276539,0.013989746384536704,-0.9888566379777122,0.0037805461205508086,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.24623873974682653,0.06559488341495934,0.22329224697784547,0.06421668607685206,28.625,0.9161253813129043,51.25,0.8864052604279183,10.0,0.0,0.04326769123700365,0.0014421926437458755,26.25,1.164964745021435
raw,100,8,0.034217680775058726,0.005854330490271511,0.03457712147519633,0.005812179125338022,0.9827963914672706,0.008641111935342862,0.004944490899441462,0.0005296595630431224,0.9999999999999998,1.1102230246251565e-16,0.004944490899436518,0.0005296595630425926,0.03521792894059461,0.006208622800337499,0.9999753065378992,5.375598410960686e-06,0.998725968858693,0.000503030594045281,-0.14510333088696667,0.031140564201391042,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.048781888648471786,0.008454087096426506,9.352865742786017e-05,5.155493407154911e-05,28.625,0.9161253813129043,51.25,0.8864052604279183,100.0,0.0,0.04326769123700365,0.0014421926437458755,26.25,1.164964745021435
raw,101,8,0.034217680775058726,0.005854330490271511,0.03455055540405229,0.005779805277216381,0.9827963914672706,0.008641111935342862,0.0048094625985105124,0.00046508780873302525,0.9999999999999998,1.1102230246251565e-16,0.004809462598505704,0.00046508780873256024,0.035190802403550187,0.00617564039438559,0.9999766798011774,4.575346499549072e-06,0.9987282362086985,0.000499627304422743,-0.13987129947929128,0.0352775682205054,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04877495677848352,0.008445391776523226,8.395872432967852e-05,4.9304718580879805e-05,28.625,0.9161253813129043,51.25,0.8864052604279183,101.0,0.0,0.04326769123700365,0.0014421926437458755,26.25,1.164964745021435
raw,102,8,0.034217680775058726,0.005854330490271511,0.03450625445938719,0.005781720223888683,0.9827963914672706,0.008641111935342862,0.004591914633095747,0.00046271498679007606,0.9999999999999998,1.1102230246251565e-16,0.004591914633091155,0.00046271498678961343,0.03514587489078157,0.006178239408155141,0.9999787269779883,4.344802246722986e-06,0.9987313681662501,0.0004994087346064181,-0.13090213977985715,0.03412111299510223,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04877041557750194,0.008445250509013857,7.520054355167979e-05,4.331022821075459e-05,28.625,0.9161253813129043,51.25,0.8864052604279183,102.0,0.0,0.04326769123700365,0.0014421926437458755,26.25,1.164964745021435
raw,103,8,0.034217680775058726,0.005854330490271511,0.034473610593827975,0.005774839632907079,0.9827963914672706,0.008641111935342862,0.004388880048940381,0.00047775925361449563,0.9999999999999998,1.1102230246251565e-16,0.004388880048935992,0.0004777592536140179,0.03511253361176668,0.006170114863521479,0.9999805380097497,4.293804774378509e-06,0.9987337984556122,0.0004977904837319775,-0.12361680045087049,0.039907453962057214,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04876927251838854,0.00844488961624397,6.561312479313788e-05,2.5884537924899223e-05,28.625,0.9161253813129043,51.25,0.8864052604279183,103.0,0.0,0.04326769123700365,0.0014421926437458755,26.25,1.164964745021435
raw,104,8,0.034217680775058726,0.005854330490271511,0.03445529995803819,0.005760510276072516,0.9827963914672706,0.008641111935342862,0.004166642930512407,0.0004268176278212362,0.9999999999999998,1.1102230246251565e-16,0.00416664293050824,0.00042681762782080946,0.035094071246757175,0.006156961640510107,0.9999824796850632,3.647337166947431e-06,0.9987352365087652,0.0004966142540476633,-0.11918228146520553,0.03616651446545833,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04876828125557347,0.008444274599199244,6.284490089130942e-05,2.265086359287424e-05,28.625,0.9161253813129043,51.25,0.8864052604279183,104.0,0.0,0.04326769123700365,0.0014421926437458755,26.25,1.164964745021435
raw,105,8,0.034217680775058726,0.005854330490271511,0.03441560606258523,0.0057615473048496625,0.9827963914672706,0.008641111935342862,0.004022221119973423,0.00046825200275373816,0.9999999999999998,1.1102230246251565e-16,0.0040222211199694,0.0004682520027532699,0.03505367534742626,0.00615779174178328,0.9999836298848161,3.8552286867129815e-06,0.998738061245394,0.0004962863620528063,-0.10893713128439722,0.0361502139029103,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.048764174540462744,0.008442933865297514,5.699311149240538e-05,2.068938691538933e-05,28.625,0.9161253813129043,51.25,0.8864052604279183,105.0,0.0,0.04326769123700365,0.0014421926437458755,26.25,1.164964745021435
raw,106,8,0.034217680775058726,0.005854330490271511,0.03440553323987534,0.005737855836780996,0.9827963914672706,0.008641111935342862,0.003852462450952422,0.00048613170870236144,0.9999999999999998,1.1102230246251565e-16,0.0038524624509485702,0.0004861317087018753,0.035043291151400396,0.0061333056795494535,0.9999849517495305,3.814876293527699e-06,0.9987390524865393,0.0004938407200849194,-0.10625284364236914,0.043472545387939744,0.05,0.0,3.0,0.0,1.0,0.0,0.03747826069299296,0.002480206081011561,0.036119557490275137,0.0023062677710390315,9.246606717510435,0.5904045493859921,0.9638804425097288,0.002306267771031688,246.75339328249058,0.5904045493841121,0.0487543216777163,0.00843995834375082,0.04876415147819946,0.008442919281581921,5.3893461918535655e-05,2.2182957811164415e-05,28.625,0.9161253813129043,51.25,0.8864052604279183,106.0,0.0,0.04326769123700365,0.0014421926437458755,26.25,1.164964745021435
