exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2a,L2,model_L2.pt,3,5,2,4,causal,0.95,0.001,8,0.01,0,1.0,16.0,12.0,16.0,5.806184120283407,10.308526759250215,16.048919507145687,0.9171738102693102,0.9555946407569605,0.351501952005957,0.28779539560369233,"[5.19438014441593, 3.297460302091773, 2.95533164066658, 2.5459891227298224, 2.0838201311079145, 1.8734071940972314, 1.4414443095137297, 1.4015541924190653]",0.5387637669614186,0.10046610341876658,0.023483974973047633,1.6074576547002655,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.5387637669614186, 0.17281227308529667, 0.14252433968736525, 0.13051310110914527, 0.03673956747993058, 0.049297935399675766, 0.03603216491134848, 0.06780768555848299, 0.04684979065312938, 0.04660466665734531, 0.04075411849289225, 0.023483974973047633, 0.03244790444556363, 0.1311563967012337, 0.044799611666983305, 0.06687035691740653]"
2a,L2,model_L2.pt,3,5,2,4,causal,0.95,0.001,8,0.01,0,2.0,0.0,14.0,16.0,9.713238072814761,13.317263778132892,35.237461005225455,0.9453837671611004,0.9523841873579109,0.31564449808433775,0.23370116139826724,"[9.925714397844613, 7.4276727821747315, 6.8962863225371835, 5.984101325428536, 5.683121819745243, 5.130684797066303, 5.002572494251241, 4.224238725113061]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L4,model_L4.pt,0,5,4,4,causal,0.95,0.001,8,0.01,0,0.0,6.0,4.0,8.0,2.7179079848621464,3.3142967055059476,968.671838386834,0.9999845303788905,0.9562708661613929,0.20915048885093418,0.003933143921791076,"[445.06355567124797, 305.28996923621327, 220.75782837887388, 167.06155227650157, 68.862005638756, 0.7709924502892992, 0.7120910309173464, 0.5857841777592613]",0.36662475768090247,0.1549622141082347,0.013842404393117196,1.2302294405374554,"[0, 1, 2, 3, 4, 7]","[0.25842187381939685, 0.24568966806586842, 0.36662475768090247, 0.2551886382110852, 0.09046209836708513, 0.006887920445851696, 0.0025803518825707563, 0.013842404393117196]"
2a,L4,model_L4.pt,0,5,4,4,causal,0.95,0.001,8,0.01,0,1.0,4.0,15.0,16.0,4.936195381828332,7.121988237951644,4.512056450211213,0.656701334877688,0.9669949013446681,0.6041300832328594,0.5859169438770848,"[1.3756525206296408, 1.1148318092832323, 0.7272319791688092, 0.687558714835265, 0.6027704148404545, 0.5302237862467661, 0.45932186891052357, 0.4195892775138122]",0.05940283925343807,0.01280514933549575,0.010221821416804317,0.14271446985210845,"[0, 1, 5, 8]","[0.05940283925343807, 0.053573517615435766, 0.005888759727782953, 0.0070974087804627555, 0.005930906755023738, 0.019516291566430304, 0.004145471485929728, 0.004866517615911732, 0.010221821416804317, 0.0038397359249336006, 0.0061951683788937836, 0.002582863468407398, 0.001955557469726503, 0.007711737737996281, 0.0063209551325792, 0.005632837038175877]"
2a,L4,model_L4.pt,0,5,4,4,causal,0.95,0.001,8,0.01,0,2.0,0.0,15.0,16.0,5.600087750650419,7.775218265139009,2.97279716318936,0.6706472856698128,0.9635972958469545,0.5947823879884526,0.5738925982534311,"[0.7919987253139692, 0.7050245928934048, 0.6256793752603484, 0.4433434652756473, 0.43090170261943783, 0.2790310497098877, 0.2507451599650531, 0.18813378398200054]",0.00622792977751985,0.002025133616168653,0.0,0.0,[],"[0.00622792977751985, 0.0023638220667565246, 0.002167857127107642, 0.0020027115833746857, 0.004423921519700789, 0.0013414914719059466, 0.0013433786513597325, 0.0016048572875770747, 0.0014112807255647446, 0.001844668597794725, 0.001748541402136246, 0.0013254947931663947, 0.0016121913907980647, 0.0009361349306390464, 0.000716295447196062, 0.0013315610861009209]"
2a,L4,model_L4.pt,0,5,4,4,causal,0.95,0.001,8,0.01,0,3.0,0.0,15.0,16.0,4.627493424699757,6.843790504296787,4.387060459191718,0.5419883311126208,0.970484200097991,0.6884830339359285,0.6767655937526134,"[1.1257669705098856, 1.0628127876231896, 0.8380489327809382, 0.4602470928783021, 0.41986849484558786, 0.3198932364975658, 0.2917456256645736, 0.23826835395194637]",0.002841926743191142,0.0012877317221240835,0.0,0.0,[],"[0.0017488133291543345, 0.001372369157846108, 0.002841926743191142, 0.0021015510938637784, 0.0016039984532827763, 0.0015388421049740187, 0.001360021033745913, 0.0013064498164265732, 0.0012256033773242203, 0.0009703336192759186, 0.0006722484139830978, 0.0010643523314963965, 0.0007614140016128892, 0.0006603940089026694, 0.0008220043782683909, 0.0005533856906371058]"
2a,L4,model_L4.pt,0,5,4,4,causal,0.95,0.001,8,0.01,0,4.0,0.0,15.0,16.0,7.5980740452900015,10.43442287593385,5.84256690825433,0.6824875884764501,0.9772080349935641,0.5771201302652456,0.5634823968177893,"[1.7605478005608612, 1.5889113342816001, 1.3613441682445808, 1.1835269105473136, 1.025643657049126, 0.9774874950143573, 0.7943383199784342, 0.6428151467582969]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2a,L4,model_L4.pt,1,5,4,4,causal,0.95,0.001,8,0.01,0,0.0,6.0,5.0,8.0,2.0800137111202908,2.80679324179,609.9905807122665,0.999960153797642,0.999997580603975,0.006501192350579065,0.006312384839183341,"[398.4162972587225, 203.93307217805048, 137.81158518864885, 122.57118924062466, 70.63593052477968, 0.7299524488851948, 0.6732768787485637, 0.5869230271401262]",0.4252209805484818,0.1781068592801849,0.012699878397795492,1.4157220048535981,"[0, 1, 2, 3, 4, 6]","[0.3792119804870273, 0.2800033177447963, 0.4252209805484818, 0.1812445406238084, 0.13734130705168918, 0.004113904551861003, 0.012699878397795492, 0.005018964836019715]"
2a,L4,model_L4.pt,1,5,4,4,causal,0.95,0.001,8,0.01,0,1.0,4.0,15.0,16.0,3.0420784138815344,5.136598638936771,4.286098267526049,0.6625075021641273,0.960654418679157,0.6029587387523572,0.5809410450603557,"[1.5285625026754799, 0.7049229375587722, 0.6839679427992151, 0.5675406342706847, 0.4973663065615559, 0.40925975346075744, 0.2654982945576726, 0.24121665008031323]",0.2209384056616943,0.01934332027888536,0.010224676856161631,0.2554558065491135,"[0, 2, 4, 12]","[0.2209384056616943, 0.0039405836037830055, 0.010224676856161631, 0.006977215865871024, 0.01311108889875402, 0.0035769622607494597, 0.003771857438623666, 0.006735322321303224, 0.0028168338761697617, 0.002588410800864864, 0.009259085528655078, 0.004434645788081672, 0.011181635132503543, 0.0025352744075131024, 0.005382276548465051, 0.00201884947297234]"
2a,L4,model_L4.pt,1,5,4,4,causal,0.95,0.001,8,0.01,0,2.0,0.0,16.0,16.0,4.758210602959045,7.1530225065331505,2.4189105434749125,0.5764478751653014,0.9999999999997035,0.650808823568433,0.650808823568433,"[0.6829215279584264, 0.6025651100925979, 0.4412155686852036, 0.3096084566289017, 0.24072915873694878, 0.22742289099560564, 0.17718775474599427, 0.16435268989056073]",0.0028094149257576126,0.0014652986471672107,0.0,0.0,[],"[0.0016118096226904717, 0.0014745079832828981, 0.002437521818567304, 0.0028094149257576126, 0.002050387250162898, 0.001185582013806047, 0.0013958267370482572, 0.0009862716925998112, 0.0010231894795261585, 0.0005936039031180209, 0.001074890267273275, 0.001747037549270113, 0.0021298795279958396, 0.000969093802451559, 0.001452808469953625, 0.0005029533111714806]"
