Experiment 2 Layerwise Sufficiency

checkpoint=model_dx5.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16  5.0    5.0        5.0  1.00     0.002       0.002    0.225
    1   35  5.0    5.0        5.0  1.00     0.001       0.001    0.226
    2   41  5.0    5.0        5.0  1.00     0.001       0.001    0.225
    3   46  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    4   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    5   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    6   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    7   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    8   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    7  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    1   17  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    2   22  5.0    5.0        5.0  1.00     0.000       0.000    0.223
    3   27  5.0    5.0        5.0  1.00     0.000       0.000    0.223
    4   30  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    5   32  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    6   33  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    7   34  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    8   33  5.0    5.0        5.0  1.00     0.000       0.000    0.224

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   21  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    1   37  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    2   42  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    3   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    4   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    5   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    6   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    7   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224
    8   47  5.0    5.0        5.0  1.00     0.000       0.000    0.224
