checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,causal_damage_tau_mean,causal_damage_tau_std,causal_max_damage_mean,causal_max_damage_std,causal_max_keep_mean,causal_max_keep_std,causal_mean_damage_mean,causal_mean_damage_std,causal_min_kept_damage_mean,causal_min_kept_damage_std,causal_sum_kept_damage_mean,causal_sum_kept_damage_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,hidden_s_mean,hidden_s_std,kernel_lengthscale_mean,kernel_lengthscale_std,kernel_signal_var_mean,kernel_signal_var_std,min_explainable_frac_mean,min_explainable_frac_std,n_causal_mean,n_causal_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
dx10,0.0,16,10.0,0.0,0.05,0.0,487.21178585944966,1490.7804642283186,0.0,0.0,59.41425660053112,157.8482884906665,0.32072500678174215,0.11897217570724486,594.1425660053111,1578.4828849066648,10.0,0.0,0.0,0.0,5.27000676108015,0.346429355393297,0.95,0.0,8.6875,0.704154339142587,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,4.0092024216059166,0.44572466868096267,10.0,0.0,0.9696842449983466,0.014507681102516006,0.9999985174111546,2.376353921251826e-06,0.0010381504011773624,0.0006571312115939017,0.1615216568680454,0.0671551397094239,5835.648666151583,1783.1046254807952
dx10,1.0,16,16.0,0.0,0.05,0.0,0.22603119267712266,0.07645061189396295,0.0,0.0,0.019686298337080733,0.005044903222457535,0.22603119267712266,0.07645061189396295,0.22603119267712266,0.07645061189396295,10.0,0.0,1.0,0.0,8.13232563866925,2.636093994311662,0.95,0.0,13.375,0.7187952884282609,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,4.232491082054789,1.638194392070018,1.0,0.0,0.9587991686262232,0.004009666031884955,0.8452302544176746,0.03831846761941204,0.39062074919874556,0.048278921586648246,0.4335926856495091,0.04140591978574042,8.715478815514613,1.4200531393686209
dx10,2.0,16,16.0,0.0,0.05,0.0,0.007780608140237715,0.0042472224071338546,0.0,0.0,0.0038446255565493274,0.0016558760263289999,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,15.479395507150738,1.6691332166846236,0.95,0.0,14.375,0.5,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,9.931178856910703,1.506398793479053,0.0,0.0,0.9614133242816736,0.008460130949919653,0.7895888491783047,0.04868770429067696,0.4559777395039141,0.051592783976785066,0.4884294902456946,0.048904821372255075,6.7264940536466895,1.3110452769649699
dx10,3.0,16,16.0,0.0,0.05,0.0,0.0096885702798583,0.00835622641932945,0.0,0.0,0.003052503855160391,0.0014457448363410584,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,16.854600173666256,1.3210027408141751,0.95,0.0,14.375,0.5,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,10.859427249187702,1.3611694417361655,0.0,0.0,0.9614416133353445,0.007286776555981521,0.7950986310892116,0.04140301688835783,0.45052781768121497,0.0453261296962162,0.48417521550790343,0.037331137355653445,6.3007600385189955,1.2819310239725095
dx10,4.0,16,16.0,0.0,0.05,0.0,0.008374738681127553,0.0078419578895231,0.0,0.0,0.0023702545233923043,0.001171123391017174,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,17.773521642277693,1.1761441733935487,0.95,0.0,14.375,0.5,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,11.42600445130422,1.3117993320513366,0.0,0.0,0.9605261890490973,0.00786511294697347,0.789220439457228,0.04885869023828628,0.4563840605597048,0.05156898095843818,0.4902620949692579,0.043420040870307,5.950422246010732,1.2925346656883385
dx10,5.0,16,16.0,0.0,0.05,0.0,0.0036008268320023534,0.0027800809837908017,0.0,0.0,0.0013994190257677634,0.0004883890885991532,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,18.634779049055084,1.2925409070578269,0.95,0.0,14.25,0.4472135954999579,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,12.181345056660646,1.5147894257113304,0.0,0.0,0.9573343886131074,0.005201460849036007,0.7707006519726278,0.061582418843301755,0.47516308877976177,0.061269999955278126,0.5092511886979267,0.05527367563826176,5.746485252287197,1.2159907229210667
dx10,6.0,16,16.0,0.0,0.05,0.0,0.0020336094842207213,0.0008426267624009812,0.0,0.0,0.0010277486554677473,0.00028168420917278324,0.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,20.291921974091913,1.174187574420137,0.95,0.0,15.0625,0.4425306015783918,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,14.119072896002693,1.5293742420200518,0.0,0.0,0.9722202135441464,0.012615433027978639,0.6861930197234856,0.0780147323793487,0.5564152817765843,0.06700459273387575,0.5741021796509362,0.061727784033516336,5.999145824699261,1.0066563017849517
dx10,7.0,16,16.0,0.0,0.05,0.0,0.0013208117946791643,0.000670473007575338,0.0,0.0,0.0007384758761108724,0.00017142972619662192,0.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,21.177318798357497,1.3476804033416667,0.95,0.0,15.3125,0.47871355387816905,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,15.69212291144634,1.0631269619887058,0.0,0.0,0.9744848901629312,0.018563074728250906,0.6161321042562912,0.07317010938493645,0.617056459264941,0.05758908992137741,0.6308449222770502,0.050832993949842906,6.648652007945279,0.8547268011581535
dx10,8.0,16,16.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,15.9952898056378,3.452042477054773,0.95,0.0,14.625,1.0878112581387147,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,10.172986421592851,3.5537523623882343,0.0,0.0,0.9720084168452132,0.01680247532650294,0.7137771199675698,0.1063205987410275,0.5261984033510998,0.09980311467776223,0.547880148354758,0.08708388722919622,10.345394600774622,3.6563388387732814
dx15,0.0,16,15.0,0.0,0.05,0.0,0.9173868792525925,0.48047777135877373,0.0,0.0,0.28959801316114075,0.08832168096563515,0.08656339738037708,0.026090135019738156,4.318086178045871,1.3352051504907465,15.0,0.0,0.0,0.0,6.587396933247173,0.4489759526262193,0.95,0.0,12.6875,0.7932002689527196,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,5.005706585099178,0.5386620209565149,14.125,0.806225774829855,0.9677007630633327,0.011987486589295571,0.9999304777440305,0.00021585105032382256,0.004316290970009278,0.007367813839970906,0.17604689845786647,0.03827646910989176,4245.808257899064,1928.818728879064
dx15,1.0,16,16.0,0.0,0.05,0.0,298718.7682343814,1194874.4819826544,0.0,0.0,18669.934224595323,74679.65719629091,0.13366193906053087,0.06756512212174595,298718.79712687305,1194874.52723543,15.0,0.0,1.0,0.0,4.63360262407434,4.333098415211104,0.95,0.0,6.1875,6.410603195747911,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,3.0592844957806395,2.465270864321216,1.375,0.5,0.9824156544182167,0.019490745806597536,0.9203819213751335,0.10973612705850296,0.1812719583065066,0.22332888932473988,0.21652752587609397,0.2246080594376497,220.89473241960843,238.75177137245387
dx15,2.0,16,16.0,0.0,0.05,0.0,0.043317879772573606,0.04105224078838079,0.0,0.0,0.007315233760146774,0.002331027307595775,0.02406570532650683,0.04962415923917126,0.02406570532650683,0.04962415923917126,15.0,0.0,2.0,0.0,7.8750554513958875,7.049909674356198,0.95,0.0,8.0625,7.047162549565606,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,5.498305757904504,4.740739776677084,0.25,0.4472135954999579,0.9845925532041988,0.016209109107425915,0.899912776011656,0.10673609779757195,0.2296447598801756,0.22473808933460335,0.25266733401786823,0.22788060603620622,109.53016581309132,139.6523139097341
dx15,3.0,16,16.0,0.0,0.05,0.0,0.06756342870480261,0.19466613577234587,0.0,0.0,0.0076703563666704645,0.012497752023794878,0.04980657140882652,0.1992262856353061,0.04980657140882652,0.1992262856353061,15.0,0.0,3.0,0.0,11.10300306867872,6.75934780995562,0.95,0.0,10.5625,6.397590692336191,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,7.495396032611488,4.32919356095594,0.0625,0.25,0.9766720791731369,0.015932244061025922,0.8659791391500671,0.09484008524074183,0.30853127940336844,0.20351395819025028,0.3363538736581156,0.2059963131086047,51.201608539151934,83.14587024349146
dx15,4.0,16,16.0,0.0,0.05,0.0,0.01621922459206113,0.011069124040590968,0.0,0.0,0.0032406297844684144,0.0010204299184947475,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,11.218458831682709,6.876141316001291,0.95,0.0,10.5,6.366579406033772,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,7.354382551817407,4.327206873645105,0.0,0.0,0.9767222766483963,0.016192820444174347,0.8630994271456331,0.09763124396140745,0.31325922502718506,0.20335645103039307,0.34115220567477145,0.20481192036616447,37.0018262963317,57.87525628520812
dx15,5.0,16,16.0,0.0,0.05,0.0,0.009160448146883774,0.004944556923630718,0.0,0.0,0.0021482971664313665,0.0005287835552122102,0.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,12.636932906936597,7.841493313538108,0.95,0.0,10.5,6.356099432828281,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,8.719462753254572,5.309646916152136,0.0,0.0,0.9740078046580244,0.017360137383585546,0.820599829497057,0.1330595468083918,0.3597529982874662,0.2308891814438922,0.38622556151749815,0.23018229069526253,32.209613200818126,48.61661029470973
dx15,6.0,16,16.0,0.0,0.05,0.0,0.0103447582714134,0.009525733305361815,0.0,0.0,0.002180705905019617,0.0006772624341462666,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,13.188983740986332,8.178940776196507,0.95,0.0,10.875,6.611858034370268,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,9.477658537442716,5.770971972058908,0.0,0.0,0.9792719344010894,0.01750442573365858,0.7893655470522466,0.15393689391875934,0.39228388151076754,0.24603047888059065,0.4141195213735377,0.2407670034389362,30.117569057002214,44.22001417808516
dx15,7.0,16,16.0,0.0,0.05,0.0,0.003634621458776282,0.001727732007148296,0.0,0.0,0.0010483784544692652,0.00018440224296809995,0.0,0.0,0.0,0.0,15.0,0.0,7.0,0.0,13.806552713729033,8.60886223605179,0.95,0.0,10.8125,6.564741680624862,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,10.469345369696704,6.406188160053564,0.0,0.0,0.9742048795598827,0.018198775883390462,0.7622177870511335,0.1702696897432529,0.4189004281881376,0.25779504875026354,0.44193496991464953,0.25333883541346747,30.413480348422887,44.06151148354051
dx15,8.0,16,16.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,13.810751129432438,8.598723009085475,0.95,0.0,10.875,6.611858034370268,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,10.427223971278195,6.36230342628889,0.0,0.0,0.9773102250586839,0.018049729521078355,0.7635361380315705,0.16926017413997244,0.41763657999871673,0.25725432088968075,0.4389183114342269,0.25177921069592113,31.104485298078927,45.19109268928256
dx3,0.0,16,5.0,3.8297084310253524,0.05,0.0,4.839337048175469,4.003653799020693,0.0,0.0,2.2773590407658713,1.9428463691841935,1.034521459962283,0.7273097697205837,7.778826181438978,5.23112524876364,3.0,0.0,0.0,0.0,2.4530756442940254,0.3193163238394003,0.95,0.0,2.9375,0.25,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,2.195966209400898,0.41316932511589455,3.0,0.0,0.9975441824734996,0.009820961631662933,0.9999947898760819,4.968228949948784e-06,0.0020527360644899554,0.0010309341098311497,0.014301744238339175,0.04906007565735353,4757.037645602699,2699.5468094546745
dx3,1.0,16,16.0,0.0,0.05,0.0,0.09896972774962243,0.021363116823105346,0.0,0.0,0.010295964896574607,0.002645657019945054,0.0937561225254696,0.02602740605911764,0.11108388797185935,0.031055565332853866,3.0,0.0,1.0,0.0,9.47353532341614,1.6321215552621167,0.95,0.0,12.75,1.6532795690182993,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,5.502835861175614,1.3672084350057863,1.1875,0.4031128874149275,0.9576940773471412,0.00598668467241036,0.7606337579734921,0.08333538760638731,0.48195239968912285,0.08695210304769582,0.5159090241180639,0.076625814684773,9.271190543432553,1.8963006810584229
dx3,2.0,16,16.0,0.0,0.05,0.0,0.042351763867072734,0.02899461935920948,0.0,0.0,0.004013648965039409,0.0018544383893838953,0.027406749742824952,0.03841471692433363,0.027406749742824952,0.03841471692433363,3.0,0.0,2.0,0.0,8.939383228475478,2.375019858257287,0.95,0.0,12.875,1.02469507659596,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,4.935097205308038,1.5597316782256037,0.375,0.5,0.9589105983296349,0.0051569724210631124,0.771145264731752,0.06745460350164151,0.4731502588312436,0.07290957201839027,0.506750933293985,0.06399590001776063,8.681158037988922,1.5520375226027787
dx3,3.0,16,16.0,0.0,0.05,0.0,0.019088631758598665,0.0162335620502003,0.0,0.0,0.00219987181193131,0.0011788239119238425,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,11.29790215575387,2.7249204332427444,0.95,0.0,13.625,1.02469507659596,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,6.6625431474615535,2.6126507102498477,0.0,0.0,0.9602435593761991,0.006748257897148923,0.7297419448899225,0.07494749684310295,0.5147214985140545,0.07532920869537835,0.5434112109596196,0.06628797555248653,7.536878930814972,1.3215992651925377
dx3,4.0,16,16.0,0.0,0.05,0.0,0.018667593285351593,0.01622305987377344,0.0,0.0,0.0019337046623168915,0.0011193473256790613,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,11.087923479085132,3.1902554438015436,0.95,0.0,13.1875,1.3275918047351754,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,6.476107444830012,2.9829839724447145,0.0,0.0,0.959645556734215,0.005805429102061534,0.7314760265174544,0.08145975760037412,0.5120050631695936,0.08246074635430278,0.5415755657122018,0.07214885370438344,7.5493088278824825,1.507601479499993
dx3,5.0,16,16.0,0.0,0.05,0.0,0.019850732009207818,0.019507346069921546,0.0,0.0,0.0018855124323781361,0.0012608891034080675,0.004424330527642476,0.017697322110569905,0.004424330527642476,0.017697322110569905,3.0,0.0,5.0,0.0,10.352530780717572,3.82937757294616,0.95,0.0,12.75,1.5275252316519468,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,5.985548822879862,3.4464300688030285,0.0625,0.25,0.9583578041882517,0.005870510755087598,0.7449226937216752,0.09130025830822172,0.4967931991693475,0.0939436627624113,0.5289687869054931,0.08281853612323795,7.860298114984994,1.8032836006641653
dx3,6.0,16,16.0,0.0,0.05,0.0,0.013120604070994638,0.012134868471390082,0.0,0.0,0.001419627931786414,0.0008042967200891901,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,10.707365251445147,4.188342704630867,0.95,0.0,12.9375,1.9822125684867067,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,6.497564987060079,3.9279104069081865,0.0,0.0,0.9593851323399014,0.008088672911878257,0.7269402439825585,0.10676601616763427,0.5122571010741228,0.10659540160968191,0.5432074858847505,0.09228016263756442,7.864488718922138,1.9606277419831588
dx3,7.0,16,16.0,0.0,0.05,0.0,0.004080309000091437,0.003311549096863802,0.0,0.0,0.0008223754724624256,0.00033259317583749214,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,13.366464259754888,2.6342125934591776,0.95,0.0,14.125,0.9574271077563381,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,8.5183330524446,3.111693683308514,0.0,0.0,0.9603041006609804,0.0067745443465523575,0.6494762072360145,0.09346878686926205,0.5866205372734764,0.0826245355840205,0.6091638552059317,0.07519464796706486,7.728117158150123,1.302744812124677
dx3,8.0,16,16.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,13.273575636583749,2.7628240709454026,0.95,0.0,14.0625,1.2365947867699696,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,8.44946473771487,3.1986696626922124,0.0,0.0,0.9625933655704634,0.01243773731155649,0.6549322398817539,0.09625646313231581,0.5815359147767022,0.08568929886081172,0.6034521129483446,0.07723684118722074,8.148375887970989,1.5235487128767449
