exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
2b,dx3,model_dx3.pt,1,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,1.0,1.0,15.0,16.0,5.604851902588398,9.955312832254247,7.444702135650264,0.6550755388058153,0.9525619249032281,0.6131883754590248,0.5873026998015305,"[4.536420191258047, 2.740312790184512, 2.0820407514141674, 1.9503024695613573, 1.774650416260481, 1.539147726800667, 1.4744644900608443, 1.2925171430720204]",0.11110210246962157,0.008176142078716978,0.11110210246962157,0.11110210246962157,[0],"[0.11110210246962157, 0.0013613018252445737, 0.006096131816174665, 0.0037435614419114947, 0.0009402671719071112, 0.0004524515785634471, 0.0006953259023377772, 0.0005551763578429033, 0.0005030443351528433, 0.0008284104562035158, 0.0009158725392545459, 0.000564241587532207, 0.0009893842865824822, 0.0007684765850256569, 0.0005461283202891612, 0.0007563965858276918]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,2.0,0.0,15.0,16.0,3.720426739664853,7.455116500917024,7.0013254487848995,0.6875114835568605,0.9741285046949547,0.5746959775064597,0.5590067230750619,"[5.248368898592186, 2.5927285502695794, 1.9094202137773868, 1.7444551574234965, 1.480420501135411, 1.4365203866935394, 1.2644356626819788, 1.1653684420997186]",0.011732471551647559,0.001390648920751201,0.0,0.0,[],"[0.011732471551647559, 0.000996587654846143, 0.0013440915834434333, 0.0007931489673758278, 0.0004968284674399187, 0.000514723168615281, 0.0002624109179241666, 0.0007687235026178163, 0.000528003987434264, 0.0007016331396590182, 0.000433268615398387, 0.0011428939271620035, 0.0006693116580748147, 0.0007223185068850421, 0.0006139013799920417, 0.0005300657035034991]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,3.0,0.0,14.0,16.0,3.496107386795958,7.222928337869413,7.034293086591857,0.7123413022153202,0.9664125800068198,0.5581974599374623,0.5363382307692223,"[5.446545416304333, 2.5342164210836353, 1.8831020077688922, 1.73256717167545, 1.4703156791042207, 1.4172549182306147, 1.2618484254634201, 1.1670523251871507]",0.01833712305943272,0.00173699669497629,0.0,0.0,[],"[0.01833712305943272, 0.001089140789913395, 0.0013614968181149502, 0.0006940321952499532, 0.00047667893671616424, 0.0004951934300639351, 0.00022783761788386782, 0.0004942125155469597, 0.0009656191475984759, 0.0004855548704667829, 0.00029796907303820594, 0.0008261302557252772, 0.00048463183582632066, 0.00045223106532706184, 0.0006926617403807493, 0.00041143376833582015]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,4.0,0.0,13.0,16.0,4.065272761077947,8.310220648874871,6.815813033080526,0.6963025846940986,0.9614443155156073,0.5749294200743182,0.5510874842580622,"[5.014902076081613, 2.4761272237192005, 1.8540804325398308, 1.7254649319898985, 1.486647852480704, 1.3943274915279253, 1.2951326980273068, 1.2075283504981125]",0.015763583390852362,0.0015236369228882362,0.0,0.0,[],"[0.015763583390852362, 0.0009069811936962263, 0.0012563613672128952, 0.0006518802189046696, 0.00019920530393029018, 0.0007428371306290667, 0.0003116477407783206, 0.0003327759350223619, 0.0010732281562958015, 0.0004167746358549615, 0.00032862074987227854, 0.0005019373475490389, 0.0003776562604315269, 0.0004629428718937661, 0.0005970788008805727, 0.0004546796624076411]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,5.0,0.0,13.0,16.0,3.5218808768260987,7.534848152401595,7.00492883803257,0.7134058637098262,0.966684452424507,0.5571011068766549,0.5353448760286713,"[5.482365348997281, 2.382269028021854, 1.8056616904182041, 1.7140670737637707, 1.512364600102026, 1.384180657579923, 1.3129298220198897, 1.2563494930356038]",0.014077755024181678,0.0013923027365024935,0.0,0.0,[],"[0.014077755024181678, 0.0011808796413335047, 0.0010395073941951397, 0.0005074396457557284, 0.00028291912705895555, 0.0006652299100246905, 0.00043923712888292824, 0.00018768052611105662, 0.0008820604208481766, 0.000486887111817463, 0.00041432963983699655, 0.0002979677862153434, 0.0004382844125437858, 0.0004906800274039818, 0.0005873523087181023, 0.0002986336791123661]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,6.0,0.0,13.0,16.0,3.5419643038385,7.620599534904849,7.2682554247207065,0.7181255468005129,0.9686738866407708,0.5516978661230085,0.530918499583004,"[5.614788434742101, 2.384807309051968, 1.8072685447934072, 1.7577411031256314, 1.5825234808100521, 1.4112369878810749, 1.3753690774067042, 1.31696630203766]",0.008694347888779446,0.0010632467854288811,0.0,0.0,[],"[0.008694347888779446, 0.0007843552563456221, 0.0011107375548535393, 0.0005165874024192086, 0.0004546981343773043, 0.0005648049154090072, 0.0006912747547368616, 0.00017044752419414472, 0.0010414826416988102, 0.0006205678260188344, 0.00021825719686763092, 0.0002799245181037354, 0.00045392653155457976, 0.0005413707805095176, 0.0006144089564317296, 0.0002547566845621285]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,7.0,0.0,14.0,16.0,6.848047204760062,12.00835864134982,7.120955077015076,0.6062128526432699,0.9635692396921967,0.6448813398500907,0.627524618924796,"[4.311733271871241, 2.4193484220682033, 2.027919351077224, 1.9332287019207184, 1.8240798718699984, 1.6299850315467201, 1.5440809140517764, 1.5111993752264004]",0.0048297691373068805,0.0008159205063507195,0.0,0.0,[],"[0.0048297691373068805, 0.0009484256405405472, 0.0004861777910177816, 0.0006383878087447069, 0.0006828880175733759, 0.0004667473662800448, 0.0005072815521912229, 0.00028748225318274266, 0.0011578607646990382, 0.0005439307290470452, 0.0003086800928197487, 0.0003206955562247047, 0.0004766641894604368, 0.0005409447785423895, 0.000607944348898067, 0.0002508480750827797]"
2b,dx3,model_dx3.pt,1,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,8.0,0.0,13.0,16.0,6.2821751462421975,11.48656584254081,7.353324995091909,0.614831970904121,0.9532856523886815,0.6433424465300032,0.6206190692331814,"[4.60302273038471, 2.435807165815556, 2.0802500862913864, 1.9578410972134, 1.8477545856061222, 1.6585726709564201, 1.581372131465165, 1.5088948082532558]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,0.0,3.0,3.0,4.0,1.9248159864918464,2.2822372626449114,3077.7821856617816,0.9999937139644356,0.9999998613734405,0.0025346915497638602,0.002507196754236164,"[2457.4477558232534, 1420.8601538895612, 925.0348610434336, 2.510965631015239, 2.24108980584483, 2.2117134207825604, 2.0068616868931386, 1.8379494307185709]",2.5594106238102006,1.2991511539457998,0.5810273103253604,5.193586841325023,"[0, 1, 2]","[2.053148907189462, 0.5810273103253604, 2.5594106238102006, 0.0030177744581764156]"
2b,dx3,model_dx3.pt,2,3,8,4,causal,seed,linear,nan,nan,0.95,0.001,8,0.05,0,1.0,1.0,14.0,16.0,6.625865676800969,11.162169795881088,8.191861964665405,0.7191532079227959,0.9581647260994723,0.5576134534846413,0.5299498014691479,"[3.940248658325128, 3.6767801668645768, 2.0858857912328386, 1.8447119256926763, 1.702114944445738, 1.4638071247092326, 1.4381995504228373, 1.2936591364088998]",0.14792226813193,0.011095934646707183,0.14792226813193,0.14792226813193,[0],"[0.14792226813193, 0.005176581223133255, 0.011575825136374918, 0.0010002044626603714, 0.00195039049089792, 0.0012130492704731642, 0.0016116700978227988, 0.0006256802920783605, 0.0007784784570396947, 0.000931528251444296, 0.0005954818302925667, 0.0005903377646095224, 0.0010963961304005763, 0.0006224631657648636, 0.0008334338689617057, 0.0010111657734309342]"
