basis,layer,n,best_model_excess_mean,best_model_excess_std,best_op_excess_mean,best_op_excess_std,best_op_signal_error_mean,best_op_signal_error_std,best_rank_mean,best_rank_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_at_oracle_mean,model_excess_at_oracle_std,model_excess_at_strict_mean,model_excess_at_strict_std,op_excess_at_oracle_mean,op_excess_at_oracle_std,op_excess_at_strict_mean,op_excess_at_strict_std,op_signal_error_at_oracle_mean,op_signal_error_at_oracle_std,op_signal_error_at_strict_mean,op_signal_error_at_strict_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_at_oracle_mean,rank_at_oracle_std,rank_at_strict_mean,rank_at_strict_std,reach_alpha_mean,reach_alpha_std,rank_to_alpha_mean,rank_to_alpha_std
combined,0,8,0.6713322179429928,0.10116475621278491,0.6957642064143146,0.07120291150132713,0.16398755157110156,0.003210483347409143,23.0,0.0,23.0,0.0,0.0,0.0,0.6716100628272672,0.10184328022626021,0.6713322179429928,0.10116475621278491,0.6958778020939758,0.07141555148986949,0.6957642064143146,0.07120291150132713,0.1639992337490786,0.0032235402426332416,0.16398755157110156,0.003210483347409143,24.75,1.4880476182856899,47.125,0.8345229603962802,22.875,0.3535533905932738,23.0,0.0,0.0,0.0,,
combined,1,8,0.07453643707806255,0.012773831220666906,0.05864672456446435,0.007548241939320837,0.04772862870564662,0.0045926587518728985,48.625,2.1339098923270936,48.625,2.1339098923270936,1.0,0.0,0.10183602260712227,0.011597629654411069,0.07465408801465742,0.012678573649630596,0.0833570549911492,0.005931258887261561,0.0586950390514587,0.007504726199787098,0.05694881822273254,0.004142104119665746,0.04774854059250832,0.0045695245187587765,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,46.75,1.0350983390135313,0.125,0.3535533905932738,35.0,0.0
combined,2,8,0.040139457949740595,0.003350424961458733,0.02074418187977848,0.002792137497109388,0.028383555429675234,0.0028358814424262174,69.75,3.1959796173138706,69.75,3.1959796173138706,2.0,0.0,0.08258959053251043,0.004910106736060161,0.04149227169666238,0.003280915965001282,0.06027200338003189,0.002535723711044278,0.021763702935279128,0.002661523514017328,0.048426941033467785,0.002962006016734702,0.029072344382538313,0.0026483025217753507,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,1.0,0.0,27.5,1.927248223318863
combined,3,8,0.032617322442360625,0.0025296523160853747,0.0120434900403278,0.0013303921653352148,0.02165564559392278,0.002134721042578221,82.25,3.770183777256185,82.25,3.770183777256185,3.0,0.0,0.0788881824604685,0.005448415643412229,0.034576356546328464,0.0023706207357365168,0.05502869526624091,0.002091384055422713,0.013522875293893928,0.001120077309890645,0.046274801953178575,0.0028137833968252405,0.022943803433089896,0.0018773607348344663,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,1.0,0.0,26.25,1.6690459207925603
combined,4,8,0.02841414911762767,0.001718194167813516,0.007888976673136382,0.0009500670165390097,0.017515664981479974,0.0016704132658100395,90.375,3.2043497223082786,90.375,3.2043497223082786,4.0,0.0,0.07629855108790962,0.0055355366295120395,0.030659378687598944,0.0019617905925310044,0.05235910395156239,0.0020201666743566507,0.009602307683182987,0.0008678898860688216,0.04513375071563445,0.0026657778515849872,0.01931986161837551,0.0014304454643585434,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,1.0,0.0,25.75,1.5811388300841898
combined,5,8,0.026661025640220538,0.0017954843208101087,0.006431147263102619,0.0006861899656661239,0.015823166698804587,0.0015063279612820518,92.5,3.585685828003181,92.5,3.585685828003181,5.0,0.0,0.0750809038473586,0.00544253775830918,0.02899057250306523,0.001743519414191663,0.05150480155113032,0.001886094268676348,0.008223505677449906,0.0005890639190239276,0.04476517876850941,0.0026432462810461544,0.017885150854858423,0.0012514237302975473,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,1.0,0.0,25.5,1.5118578920369088
combined,6,8,0.026473019453362716,0.0018391254928233705,0.00629678909862685,0.0015787669913992924,0.01560934472082512,0.002623183310904577,91.375,5.7802001942592165,91.375,5.7802001942592165,6.0,0.0,0.07522677976644651,0.0053281039867434715,0.028792122643939183,0.0016980809638268085,0.051423609508423784,0.0023382448397419914,0.008084286290744674,0.0013361680234169862,0.04473416592742461,0.0028578766043802274,0.017722840181123457,0.0021531037186947417,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,1.0,0.0,25.5,1.5118578920369088
combined,7,8,0.020559428272373642,0.0021030509518841648,0.00013179068433104762,0.0001527033807424579,0.0018841196892301969,0.001523347875695348,125.125,3.226563851175781,125.125,3.226563851175781,7.0,0.0,0.07205766984660814,0.005368168111648372,0.02355557551045508,0.002130401156742343,0.04785225893043662,0.001996201765466332,0.0023840393650296464,0.00019201371971445464,0.04314449760540519,0.002545808846843596,0.009611714907594309,0.00036281943191461503,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,1.0,0.0,24.875,1.4577379737113252
combined,8,8,0.02131610131030885,0.002174038458122443,0.000657103321720997,0.000575442540287688,0.00473687766925256,0.002354280792122654,118.25,5.922113522335465,118.25,5.922113522335465,8.0,0.0,0.07241584754505292,0.005549647393147227,0.024240286482754884,0.0021219833498720415,0.04814531030494574,0.002030061705885127,0.0028656624471928424,0.0003836910045245157,0.0432799358458695,0.0026307424364580894,0.010553039791421243,0.0010838061396587807,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,1.0,0.0,24.875,1.4577379737113252
raw,0,8,1.7716382276730243,0.2686347579292835,1.8133540475619192,0.12708640542541355,0.265177587925128,0.009978741959202531,7.0,0.0,7.0,0.0,0.0,0.0,1.7716382276730243,0.2686347579292835,1.7716382276730243,0.2686347579292835,1.8133540475619192,0.12708640542541355,1.8133540475619192,0.12708640542541355,0.265177587925128,0.009978741959202531,0.265177587925128,0.009978741959202531,24.75,1.4880476182856899,47.125,0.8345229603962802,7.0,0.0,7.0,0.0,0.0,0.0,,
raw,1,8,0.11392357002729452,0.009252426157546406,0.09503846955515437,0.0052896736737978655,0.06078966855389765,0.0036503198742359588,30.375,1.1877349391654208,30.375,1.1877349391654208,1.0,0.0,0.12487526655855405,0.009594604238116713,0.11392357002729452,0.009252426157546406,0.10500461623343685,0.005121646102605449,0.09503846955515437,0.0052896736737978655,0.0639076733920381,0.0038654475414827217,0.06078966855389765,0.0036503198742359588,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,30.375,1.1877349391654208,0.0,0.0,,
raw,2,8,0.08645262648102782,0.011003606425131977,0.067443286687796,0.005807018089615388,0.05117850555801967,0.0033364388020112453,35.375,1.9955307206712847,35.375,1.9955307206712847,2.0,0.0,0.1086216422089596,0.008829225328694016,0.08645262648102782,0.011003606425131977,0.08720890621314059,0.004189548605611164,0.067443286687796,0.005807018089615388,0.0582252607355984,0.003153608915636708,0.05117850555801967,0.0033364388020112453,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,35.375,1.9955307206712847,0.0,0.0,,
raw,3,8,0.0831396399257924,0.008427377805562885,0.06632896517860168,0.0047458971272073425,0.050759192841833556,0.002992041170662803,36.625,1.685018016012207,36.625,1.685018016012207,3.0,0.0,0.10530986073725127,0.007521263343993631,0.0831396399257924,0.008427377805562885,0.08655306478660703,0.0044510293336609535,0.06632896517860168,0.0047458971272073425,0.058003498255495445,0.003172039003561285,0.050759192841833556,0.002992041170662803,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,36.625,1.685018016012207,0.0,0.0,,
raw,4,8,0.07863776936751296,0.008717122853336545,0.06030314828173741,0.006077564620672627,0.04834986869841973,0.002943741318785926,38.375,1.1877349391654208,38.375,1.1877349391654208,4.0,0.0,0.10249581673802804,0.008714333665840249,0.07863776936751296,0.008717122853336545,0.08266144427241714,0.005205775231157251,0.06030314828173741,0.006077564620672627,0.05666804157800216,0.0030799797593704797,0.04834986869841973,0.002943741318785926,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,38.375,1.1877349391654208,0.0,0.0,,
