eps,E_task_F_T,point_rel_model_KRR,raw_rank,raw_rho,E_task_F_TQ_raw,resp_rank,resp_rho,E_task_F_TQ_resp,E_iso_F_T,additivity_label,additivity_iso
0.003,0.012843994213230838,0.010451135401294463,6.0,0.004394332135989904,0.012516695633712991,6.0,0.006980850869730476,0.012794168772316594,0.29180644036646447,0.00014103496475979983,0.0017926708470409245
0.01,0.01284420945106439,0.010451135401294463,6.0,0.004394332135989904,0.012516550205645682,6.0,0.006979678771704233,0.01279527329740662,0.29181341885699624,0.0002769481216947046,0.004210240226415213
0.03,0.012843423206711686,0.010451135401294463,6.0,0.004394332135989904,0.012515952335455334,6.0,0.006973570889557231,0.012794152481950333,0.29181558416766945,0.0008133944421113559,0.01255851527417131
0.1,0.01283753831803269,0.010451135401294463,6.0,0.004394332135989904,0.012510167850098924,6.0,0.006901273780999091,0.01278632320365053,0.2918632463490134,0.002573877164841108,0.04167503739844609
0.3,0.01275697966682452,0.010451135401294463,6.0,0.004394332135989904,0.012431968287021504,6.0,0.006316128571547175,0.012694879276113704,0.29254911091635744,0.0065476737226027645,0.12118007165292304
1.0,0.01236770384777343,0.010451135401294463,6.0,0.004394332135989904,0.012067245072224673,6.0,0.0036454383614746137,0.012297325161748552,0.32308148895927136,0.014300959804153215,0.32800529981737436
