checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,causal_damage_tau_mean,causal_damage_tau_std,causal_max_damage_mean,causal_max_damage_std,causal_max_keep_mean,causal_max_keep_std,causal_mean_damage_mean,causal_mean_damage_std,causal_min_kept_damage_mean,causal_min_kept_damage_std,causal_sum_kept_damage_mean,causal_sum_kept_damage_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,excess_risk_frac_mean,excess_risk_frac_std,gamma_mean,gamma_std,hidden_s_mean,hidden_s_std,kernel_lengthscale_mean,kernel_lengthscale_std,kernel_signal_var_mean,kernel_signal_var_std,min_explainable_frac_mean,min_explainable_frac_std,n_causal_mean,n_causal_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
dx40,0.0,16,15.9375,0.25,0.05,0.0,0.890891832441567,1.642046298594979,0.0,0.0,0.2378076216907788,0.31351804250570453,0.12098543630899924,0.1458607090769347,3.7349833878920333,5.049232236887596,40.0,0.0,0.0,0.0,4.459337314487679,2.1727076732176744,0.05,0.0,0.95,0.0,8.125,4.080441152620633,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,3.0611097719953206,1.452362198559766,13.5625,4.3813049806345745,0.9671302877247929,0.01674659544777606,0.908033725682061,0.11368926218472664,0.23586636442984849,0.1968643050728696,0.30357878149588396,0.17545160945185082,519.4884257036865,566.8065540943554
dx40,1.0,16,32.9375,3.129829601325499,0.05,0.0,0.2566528900745084,0.3784052083389282,0.0,0.0,0.14189845972921428,0.2722715622222638,0.10316721571229237,0.14723547112527086,3.9773104201808027,8.609659439423542,40.0,0.0,1.0,0.0,5.225846007220609,2.812130286420499,0.05,0.0,0.95,0.0,23.875,8.155775050028456,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,3.4198904503018706,2.2897466022687167,13.625,11.447707194019246,0.9580623220172912,0.0061886151087995845,0.9957657095018041,0.01383299868615638,0.021765683581559097,0.0633344183746152,0.21205932752229295,0.03273239875738319,46.94843797686381,16.998018611001346
dx40,2.0,16,24.4375,13.210948742110336,0.05,0.0,0.48340128232811264,1.211285159220136,0.0,0.0,0.15731139156448493,0.3654412501251183,0.10698397553683424,0.20771469979411147,5.349887793988445,14.964083320318867,40.0,0.0,2.0,0.0,6.372579480041819,3.300174725759761,0.05,0.0,0.95,0.0,13.6875,11.115867037707854,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,3.6896646819224976,2.7052098456493123,6.3125,13.204639336233308,0.8490291180124772,0.3318661315837521,0.8710582298636744,0.34028253898286104,0.02068354270677042,0.061222751304123156,0.1406324689895313,0.10330381771013902,18.9356294159436,12.660821108127985
dx40,3.0,16,23.125,13.63757065365138,0.05,0.0,0.5315803899488349,1.3319144574955935,0.0,0.0,0.15249124777331466,0.35300172241611816,0.07454736395434755,0.1932710095193035,5.211095057759158,14.455125783778254,40.0,0.0,3.0,0.0,6.906368556758057,3.730343570829409,0.05,0.0,0.95,0.0,13.5,11.349008767288886,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,3.8703116132007445,2.8592762142697947,5.25,13.576941236277534,0.8508932353370022,0.3327686509475822,0.8708076675749012,0.34022896625535287,0.021125463522136515,0.06321221161404442,0.12410323291238737,0.11645744767702496,14.254299589077759,9.8105995920431
dx40,4.0,16,22.875,13.850992744204294,0.05,0.0,2.7073220531850506,8.485725341901361,0.0,0.0,0.25182404977536993,0.6300800154284348,0.0838732934032057,0.20824742267481225,9.305605886870321,25.499205087354355,40.0,0.0,4.0,0.0,7.5836518653243585,4.110390751095199,0.05,0.0,0.95,0.0,13.75,11.795479360048633,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,4.425929138353045,3.153160554698294,5.3125,13.553443596862508,0.8501586013472773,0.3325084707761218,0.8706572698096987,0.34016078433494945,0.02205530588067102,0.06413563687730058,0.12644746046489297,0.11780950936285238,12.526937348882004,8.606515572147257
dx40,5.0,16,22.625,13.860615666941591,0.05,0.0,1.9282523172897512,7.039037895045739,0.0,0.0,0.16937203698827596,0.4881890649241292,0.07789982663227651,0.20779226948461382,6.084321584571099,19.75135340200297,40.0,0.0,5.0,0.0,7.236002369436148,3.971058340595355,0.05,0.0,0.95,0.0,13.75,12.201092847227525,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,4.546662886670424,3.405486101083544,5.1875,13.595189100070167,0.8486681855415954,0.33181571237784485,0.8706571671855992,0.3401489506175306,0.022244886416417857,0.0640666140218661,0.13676641809320353,0.11219932327929436,12.463439579075878,8.574412891267988
dx40,6.0,16,22.5,13.817862835233722,0.05,0.0,0.14273291849506317,0.346548524780958,0.0,0.0,0.07134142015601355,0.17322374673824437,0.019216359277828256,0.06199790493176895,2.3107154218703165,7.112689728556862,40.0,0.0,6.0,0.0,7.888877830136416,4.766602155823148,0.05,0.0,0.95,0.0,14.8125,12.03449902017806,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,5.748517514718153,3.9364997842202656,5.0,13.662601021279464,0.8510382169449975,0.33282372130102383,0.870519149014246,0.3400956127440316,0.02284973857650882,0.06498197028085219,0.12407257649031286,0.11699491345366159,13.072580441291782,8.061569947920422
dx40,7.0,16,22.5,13.817862835233722,0.05,0.0,0.10806116072182223,0.27453191008220146,0.0,0.0,0.0512794801902941,0.13035883592505915,0.010515465075153232,0.03127613141617063,1.7060266826524326,5.317960311009745,40.0,0.0,7.0,0.0,8.160877609545729,5.36476741313482,0.05,0.0,0.95,0.0,15.75,12.380091545165032,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,6.156550478765091,4.250640688217139,4.6875,12.841177256518709,0.856298396916869,0.33471446912259306,0.8700105462966987,0.33991344430036563,0.024684294107547383,0.06835311709223237,0.111816622553125,0.10842990337250503,18.32163735114971,11.118092718033102
dx40,8.0,16,22.5,13.817862835233722,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,8.0,0.0,8.20348880246907,5.207655228090931,0.05,0.0,0.95,0.0,15.5625,12.350269902583776,nan,nan,nan,nan,0.001,0.0,8.0,0.0,4.0,0.0,8.0,0.0,6.099029221166092,4.171989246669614,0.0,0.0,0.8544318009077709,0.3340497641115285,0.8704562075871739,0.34003136820961777,0.023621538421326693,0.06520380631370916,0.11575327673593128,0.11092813505220793,22.65546049512065,15.913839139021642
