exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,selection_mode,span_mode,kernel_family,kernel_lengthscale,kernel_signal_var,gamma,min_explainable_frac,n_causal,causal_damage_tau,causal_max_keep,ell,s,hidden_s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json,causal_max_damage,causal_mean_damage,causal_min_kept_damage,causal_sum_kept_damage,causal_selected_indices_json,causal_damages_json
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.0,14.0,1.0,16.0,1.0922864442014975,1.282139164375361,292.21825803565844,0.9983165513994574,0.960455826130145,0.20288186682460504,0.04102985011601317,"[286.14812717197833, 36.04252980229478, 32.3221660941444, 24.450160534644272, 21.336654338097972, 13.866656722791138, 6.601741589029884, 5.203723130531982]",0.7386933269397007,0.13503901878441832,0.051659053350499994,2.0819406867891335,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 15]","[0.7386933269397007, 0.14290346281702296, 0.22608035665735834, 0.1610676724542307, 0.1593843556717587, 0.13108162319129998, 0.08545141030812878, 0.0668883421232537, 0.048129881062477, 0.06734863677088315, 0.060586888147244035, 0.07351109766123125, 0.056086144571876224, 0.051659053350499994, 0.030553732699081907, 0.06119831612464536]"
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,1.0,7.0,27.0,33.0,1.908000126323868,2.4969502391209653,13.514966540438044,0.9999999999999946,0.9502623318341542,0.22301943450255693,3.497488493569407e-13,"[4.033802312842675, 2.226600939919494, 1.3904531159791704, 0.3826609576696417, 0.3320604030891994, 0.21218163504978854, 0.20009882067432208, 0.18140758007113905]",0.10389645698680088,0.027662670875555097,0.050864573852431434,0.48276498623387515,"[0, 1, 2, 3, 4, 7, 8]","[0.055477179735191874, 0.10389645698680088, 0.10226767214359274, 0.052043187504211476, 0.050864573852431434, 0.04617674690406159, 0.04594974357116478, 0.06359439507556015, 0.054621520936086555, 0.03287622328776242, 0.029837421750331657, 0.026055770600780844, 0.02138942723262615, 0.024127225576987262, 0.02067697485523708, 0.017918073682579295, 0.017416212631066498, 0.006764367801650949, 0.010161425053948842, 0.02124687482880995, 0.014223221483739371, 0.013904385428776367, 0.0075624744533335725, 0.008534932837078893, 0.011197907859208243, 0.0066861105410492595, 0.006729079515462747, 0.007881662591759023, 0.003982369148067112, 0.007005165552698855, 0.01062930501785549, 0.006068609667916309, 0.005101440785490462]"
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,2.0,0.0,25.0,26.0,4.7200750301364875,6.775158933923688,8.51788059614929,0.9999999999999863,0.9755987985839966,0.1562088391096668,2.6447161987864514e-13,"[1.0251656655139232, 0.9176635826787235, 0.6494180872343079, 0.5148132083834406, 0.42873113365661447, 0.3287621918685425, 0.2681630950848367, 0.22937571483069005]",0.04700431190798329,0.015801686065677546,0.0,0.0,[],"[0.03546824526386571, 0.04700431190798329, 0.031795864743321835, 0.022889186316630866, 0.03585180973179164, 0.01886318651024695, 0.01884103059354985, 0.022174560518114783, 0.013166717486296891, 0.01732331967327189, 0.015713287636813164, 0.019791390762854737, 0.010887978383044464, 0.0091593351528785, 0.01350330079570214, 0.006581189350619797, 0.009979888327031424, 0.005723023199950974, 0.0075657648458227564, 0.007109906901628088, 0.0067600946567243836, 0.004581800768368379, 0.008188468552562313, 0.011650695828965475, 0.006870680932432005, 0.0033987988671439037]"
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,3.0,0.0,25.0,26.0,4.197484197751427,6.007421783561262,9.01065587884515,0.9999999999999878,0.9710886025777608,0.17003351852569273,1.6885884536817502e-13,"[2.588953791476211, 1.894839126470388, 1.4699917133434879, 1.1875899846909241, 1.0643288445176335, 0.7860252617377039, 0.5581384838313733, 0.4573234654267365]",0.03365952170121612,0.013660435358961588,0.0,0.0,[],"[0.03280140853755599, 0.03365952170121612, 0.03149190174998147, 0.02183959719370409, 0.027951750952235836, 0.013471058080695134, 0.015441695035723891, 0.019215650637303124, 0.012242859408399896, 0.016649118752366694, 0.014232932816796414, 0.007676202689868293, 0.009488951091127426, 0.01052560618344952, 0.01310511096751768, 0.007088131307174248, 0.00636977600308259, 0.007670686610355166, 0.005858800916821571, 0.009090868428852926, 0.007306264450534331, 0.005617699520412911, 0.005271557512481889, 0.011047995873775543, 0.006306962534847219, 0.0037492103767213718]"
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,4.0,0.0,25.0,26.0,5.163426354034312,7.156834393465519,9.150635338476533,0.9999999999999881,0.9678997817588428,0.17916533772229876,8.905456974540768e-13,"[3.025587251991601, 2.1824239606597606, 2.1096352181830085, 1.5893859416055272, 1.442850800545199, 1.1429645464378801, 0.8593909612411688, 0.6972945061424952]",0.026001250837993813,0.0097237814830613,0.0,0.0,[],"[0.023894288000236397, 0.026001250837993813, 0.022360741510978322, 0.016893209644357886, 0.012746551099750678, 0.00937575392448542, 0.010129990345388773, 0.01050732473567549, 0.012563818451095556, 0.009866937670158253, 0.008342523256304664, 0.006538828613006781, 0.006616023276165691, 0.007915466490983371, 0.005916483490529581, 0.010290317683881842, 0.006599209353897609, 0.009393487471369356, 0.004640986883589643, 0.0034302088320917043, 0.006272894496431647, 0.004285821221710115, 0.003184303726369083, 0.007206383466140604, 0.004777964148281219, 0.0030675499287203156]"
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,5.0,0.0,25.0,26.0,7.271906826261327,9.279531609794587,8.990701285344525,0.9999999999999877,0.9658127649125767,0.1848979044970791,3.9505214749483984e-13,"[2.9763528104632595, 2.8286194736424144, 2.381061907123983, 2.113510966233594, 1.8909015551472368, 1.6708931415233625, 1.4042324655980873, 1.1980236897326006]",0.016710751025361202,0.006470327310278016,0.0,0.0,[],"[0.016710751025361202, 0.013209193462899416, 0.012564283016751842, 0.015504355850465092, 0.009967287777922707, 0.006827041764445603, 0.006529302307688682, 0.006472039180176497, 0.006053394906396255, 0.007410655773060166, 0.005470100557896525, 0.004842187097279308, 0.0029656564250989453, 0.00703787187498907, 0.005043652877671835, 0.007210704071430908, 0.005740625975579248, 0.005645136569594723, 0.0048109853834396405, 0.0028351722459030036, 0.0021293573931559376, 0.002207979679046979, 0.005164972235831686, 0.002136107727796998, 0.001919772104749936, 0.001819922782596186]"
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,6.0,0.0,25.0,26.0,8.567738836416284,10.815049561022217,8.915847325696971,0.9999999999999875,0.9686651881911206,0.17701641677784247,6.518523562265617e-13,"[2.795072360794075, 2.699411142565606, 2.36586151254083, 2.0232827325535974, 1.9204849337874934, 1.7231500001173432, 1.5582769429306884, 1.3829968560704227]",0.011074134737967077,0.004344239350588503,0.0,0.0,[],"[0.011074134737967077, 0.0072844264005272955, 0.008309772407089633, 0.009207662533203665, 0.006908573684190319, 0.004188382875114881, 0.0056306778476620635, 0.005370062178834261, 0.0034636222242015757, 0.0057594701476357145, 0.0037083437232175087, 0.003112493175128491, 0.002276701298899645, 0.0046720228984178476, 0.004490445918447189, 0.0035873445241627307, 0.0045266579934998, 0.003440262415338431, 0.0021573325185304474, 0.0033606342353384062, 0.002181653050741104, 0.0026076667772664706, 0.0010647456844539473, 0.0020881653670003423, 0.0012619746633670988, 0.0012169938350651529]"
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,7.0,0.0,25.0,26.0,8.792218012859282,11.298029140304351,8.661937585711486,0.9999999999999868,0.9626241490424206,0.1933283501133917,5.233697040895213e-13,"[2.865774731723094, 2.4391617010908706, 2.362941544203056, 1.9146203029477977, 1.8741500071681503, 1.6551215225991904, 1.527940862039004, 1.3255450608616786]",0.0034887083870746433,0.0017118995464020991,0.0,0.0,[],"[0.0032228125803198684, 0.0034887083870746433, 0.0032159207966603177, 0.0027814125200197994, 0.0026477594412094236, 0.0017435032544830162, 0.0020874077992199857, 0.0026534070951380645, 0.0017016203533155533, 0.0020906875744948995, 0.0011475869927269266, 0.001234812132729769, 0.0010062485317982506, 0.0016625752267803, 0.0032101133633081484, 0.001407620717458356, 0.0011781679313667248, 0.0012925167739441716, 0.0007753945034690824, 0.001747431135271974, 0.001215335293576997, 0.0007682692429506784, 0.000754004600221119, 0.0005007804222247, 0.00045973865442758873, 0.0005155528822642131]"
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,0,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,8.0,0.0,25.0,26.0,9.016203489872376,11.5592054777815,8.599971251239714,0.9999999999999866,0.9567526698657001,0.20795992434670302,3.921483655507559e-13,"[2.7565608991673183, 2.4226788391012595, 2.3106585452345856, 1.8837271118265198, 1.8222626237720783, 1.6503302523993635, 1.4925303123780822, 1.3163907257276235]",0.0,0.0,0.0,0.0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
rbf,rbf_elbow_nctx47_ntgt64,/Users/fernandoruizmazo/Documents/GitHub/mech-ICL-KRR/experiments/rbf_elbow_training/results/nctx47_ntgt64_finetune_seed42/checkpoint_final.pt,1,5,8,4,causal,seed,rbf,3.0,1.0,0.95,0.001,8,0.05,0,0.0,13.0,2.0,16.0,1.0429898359698975,1.144295363940498,278.2288369860415,0.9980880318922137,0.9504295409090755,0.2266884427178428,0.04372605753765361,"[405.5875316905845, 34.313714040180905, 31.81771379265489, 25.095629872986695, 21.020233574259407, 11.010498907129207, 6.795915936205148, 4.924111023303873]",0.9951755812908598,0.15853817209812412,0.055777996099865564,2.4203019804317907,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[0.9951755812908598, 0.19689159702907275, 0.1932821427425769, 0.19313359057712176, 0.17705890888820566, 0.16515848715624892, 0.09853969235307784, 0.09826857924021404, 0.057286303777501345, 0.06161241733109887, 0.06062689647243689, 0.055777996099865564, 0.0674897874735107, 0.033371259656563436, 0.04863676220343851, 0.03430075127819294]"
