selection_rank,bank_index,bank_batch_index,bank_batch_member,bank_batch_size,name,replicate,state_idx,basis_layer,certificate,sampling_mode,profile,tau_actual,log10_lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
3,2,2,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_step,5.835660934448242,-0.19413000345230103,,47,40,28,28,47,28,47,0.041919570641251694,8.959176088590475e-28,1.0,0.17286833055389986,0.1946560089524805,1.3771478446866108,7.966455395699098,0.1413472124314853,0.8352414223177353,0.83743426776374,,,
3,2,2,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_step,5.835660934448242,-0.19413000345230103,,47,40,28,28,47,28,47,0.041919570641251694,8.959176088590475e-28,1.0,0.17286833055389986,0.1946560089524805,0.2705439149694596,1.56502879447375,0.7194987511526706,0.1676537836488199,0.15883249045948808,,,
3,2,2,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_step,5.835660934448242,-0.19413000345230103,,47,40,28,28,47,28,47,0.041919570641251694,8.959176088590475e-28,1.0,0.17286833055389986,0.1946560089524805,0.22964532420451253,1.3284406893309457,0.8476375890811868,0.12244924850279738,0.11601711277798447,,,
4,3,3,0,1,base,base,1,8,certified,fixed_target_rich,minimal_step,14.49149227142334,0.15958523750305176,,47,40,32,32,47,32,47,0.04402861277902704,6.448365537770452e-27,1.0,0.31574311372734093,0.33645714260524934,0.33645714260524934,1.0656040558838473,1.0,0.1086330637705362,0.0,0.11150660214297545,0.13159415753143816,0.0
4,3,3,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_step,14.49149227142334,0.15958523750305176,,47,40,32,32,47,32,47,0.04402861277902704,6.448365537770452e-27,1.0,0.31574311372734093,0.33645714260524934,767271888.9239253,2430051062.2901525,4.3851097304909723e-10,11041.272436710113,10878.467762213097,1219165.6013242844,1219165.5956720787,1219165.5870474793
4,3,3,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_step,14.49149227142334,0.15958523750305176,,47,40,32,32,47,32,47,0.04402861277902704,6.448365537770452e-27,1.0,0.31574311372734093,0.33645714260524934,1.6983862935309841,5.379012937072702,0.19810401431452157,0.5814258471179334,0.5776620869256918,0.640684432220025,0.6412377668496968,0.6280614103292825
4,3,3,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_step,14.49149227142334,0.15958523750305176,,47,40,32,32,47,32,47,0.04402861277902704,6.448365537770452e-27,1.0,0.31574311372734093,0.33645714260524934,4.469053014476705,14.154079123752302,0.07528600388390025,0.8491512755051234,0.8501629943439235,,,
4,3,3,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_step,14.49149227142334,0.15958523750305176,,47,40,32,32,47,32,47,0.04402861277902704,6.448365537770452e-27,1.0,0.31574311372734093,0.33645714260524934,0.35453737004238184,1.1228665159378315,0.9490033238668997,0.22918872563655723,0.19975023802067224,,,
4,3,3,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_step,14.49149227142334,0.15958523750305176,,47,40,32,32,47,32,47,0.04402861277902704,6.448365537770452e-27,1.0,0.31574311372734093,0.33645714260524934,767271888.9239253,2430051062.2901525,4.3851097304909723e-10,11041.272436710113,10878.467762213097,,,
5,4,4,0,1,base,base,1,8,certified,fixed_target_rich,minimal_smooth,8.616469383239746,0.036555707454681396,,47,40,18,18,47,18,47,0.04180363999271921,2.545036126631333e-26,1.0,0.06988035208344115,0.08518782449448664,0.08518782449448664,1.2190525942509203,1.0,0.037560098438494324,0.0,0.06018905743891595,0.06365335438680593,0.0
5,4,4,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_smooth,8.616469383239746,0.036555707454681396,,47,40,18,18,47,18,47,0.04180363999271921,2.545036126631333e-26,1.0,0.06988035208344115,0.08518782449448664,0.10363983311666929,1.4831040489452225,0.8219602630832985,0.08482312676180385,0.08926448040946387,0.09678562490569256,0.09485325198523084,0.08216135993930794
5,4,4,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_smooth,8.616469383239746,0.036555707454681396,,47,40,18,18,47,18,47,0.04180363999271921,2.545036126631333e-26,1.0,0.06988035208344115,0.08518782449448664,1.8946371671620799,27.1125875968652,0.04496260601816807,0.5830742082714617,0.580315592669488,0.525262196317569,0.5253934056590491,0.5321098612603959
5,4,4,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_smooth,8.616469383239746,0.036555707454681396,,47,40,18,18,47,18,47,0.04180363999271921,2.545036126631333e-26,1.0,0.06988035208344115,0.08518782449448664,4.377566471452465,62.643738059954245,0.019460087025525288,0.9109665866867407,0.9121589230065602,,,
5,4,4,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_smooth,8.616469383239746,0.036555707454681396,,47,40,18,18,47,18,47,0.04180363999271921,2.545036126631333e-26,1.0,0.06988035208344115,0.08518782449448664,0.09709059743272257,1.3893833465061942,0.8774055031798134,0.07630081456508131,0.06169002326837924,,,
5,4,4,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_smooth,8.616469383239746,0.036555707454681396,,47,40,18,18,47,18,47,0.04180363999271921,2.545036126631333e-26,1.0,0.06988035208344115,0.08518782449448664,0.10363983311666929,1.4831040489452225,0.8219602630832985,0.08482312676180385,0.08926448040946387,,,
6,5,5,0,1,base,base,1,8,certified,fixed_target_rich,minimal_smooth,1.9766324758529663,-0.9762278199195862,,47,40,10,10,47,10,47,0.039649927824207586,3.3771284206749994e-28,1.0,0.01491968980829286,0.021261734159174116,0.021261734159174116,1.4250788342366298,1.0,0.12158011979123491,0.0,0.10159346204301975,0.11036337461602981,0.0
