bank_index,base_mse,krr_mse,base_mse_ratio,sampling_mode,profile,tau_actual,log10_lambda1,lambda1,gamma,n_ctx_actual,n_tgt_actual,spectrum_batch_size,bank_batch_index,bank_batch_member,bank_batch_size
0,0.1892729306859378,0.11015704004840621,1.7182100263656848,fixed_target_rich,minimal_step,8.290973663330078,0.8110215663909912,6.471747526460006,,47,40,1,0,0,1
1,0.056696334780298785,0.04480215235769157,1.2654823886059403,fixed_target_rich,minimal_step,1.7953152656555176,-0.45126551389694214,0.3537809844598032,,47,40,1,1,0,1
2,0.1946560089524805,0.17286833055389986,1.1260362631418328,fixed_target_rich,minimal_step,5.835660934448242,-0.19413000345230103,0.6395433633502704,,47,40,1,2,0,1
3,0.33645714260524934,0.31574311372734093,1.0656040558838473,fixed_target_rich,minimal_step,14.49149227142334,0.15958523750305176,1.4440599972310129,,47,40,1,3,0,1
4,0.08518782449448664,0.06988035208344115,1.2190525942509203,fixed_target_rich,minimal_smooth,8.616469383239746,0.036555707454681396,1.0878166641818288,,47,40,1,4,0,1
5,0.021261734159174116,0.01491968980829286,1.4250788342366298,fixed_target_rich,minimal_smooth,1.9766324758529663,-0.9762278199195862,0.10562632748135951,,47,40,1,5,0,1
6,0.2035422790145474,0.1641525940678727,1.2399577367043504,fixed_target_rich,minimal_smooth,12.899203300476074,0.3828449845314026,2.414598822625375,,47,40,1,6,0,1
7,0.04267816745210874,0.04817308965238946,0.8859337808736925,fixed_target_rich,minimal_smooth,1.5501453876495361,-1.8268457055091858,0.014898903062523953,,47,40,1,7,0,1
8,0.028544465897858123,0.019748230798446224,1.4454188929219918,fixed_target_rich,minimal_step,0.5763994455337524,-1.8229717016220093,0.01503239913144749,,47,40,1,8,0,1
9,0.42000967314251414,0.20981657416761879,2.0017945427274766,fixed_target_rich,minimal_step,14.602849960327148,0.44650256633758545,2.7957772483687595,,47,40,1,9,0,1
10,0.13143559149650982,0.10969137828819867,1.19823083224628,fixed_target_rich,minimal_step,8.949390411376953,0.40214061737060547,2.5242979661095464,,47,40,1,10,0,1
11,0.016795937567743682,0.011682797430378665,1.4376640242061691,fixed_target_rich,minimal_step,2.596475601196289,-1.0478297472000122,0.08957158366503441,,47,40,1,11,0,1
12,0.12949506187908816,0.10857294797867434,1.1927009838999978,fixed_target_rich,minimal_step,2.319181442260742,-1.0161939859390259,0.09633986070851676,,47,40,1,12,0,1
13,0.0807550653096354,0.09264186196825505,0.871690870562459,fixed_target_rich,minimal_step,3.5378060340881348,-1.0310525298118591,0.09309952607198162,,47,40,1,13,0,1
14,0.21707705219679724,0.17954060279130268,1.2090694184040742,fixed_target_rich,minimal_step,6.515750885009766,-0.4833717346191406,0.3285702705601057,,47,40,1,14,0,1
15,0.041165065232062946,0.04335604641986923,0.9494653832919091,fixed_target_rich,minimal_smooth,7.961815357208252,-0.298816978931427,0.5025543321455969,,47,40,1,15,0,1
16,0.22603894966652613,0.22748461114556612,0.9936450141758604,fixed_target_rich,minimal_smooth,12.2171630859375,-1.031690001487732,0.0929629717799408,,47,40,1,16,0,1
17,0.15283135285913518,0.10234077166770475,1.493357440721385,fixed_target_rich,minimal_smooth,10.687694549560547,0.2292271852493286,1.6952243630675785,,47,40,1,17,0,1
18,0.08905021680306302,0.087779024627105,1.0144817304744291,fixed_target_rich,minimal_step,1.6362669467926025,-1.28641277551651,0.0517115105866112,,47,40,1,18,0,1
19,0.49529100882749083,0.43750172152559763,1.13208927978701,fixed_target_rich,minimal_step,11.95218563079834,0.3090590238571167,2.0373189457210157,,47,40,1,19,0,1
20,0.20252010441492235,0.20333705422264875,0.9959822875823122,fixed_target_rich,minimal_step,11.398333549499512,-0.5583012104034424,0.27650232635477123,,47,40,1,20,0,1
21,0.045907205413484295,0.035638538512726116,1.2881337823965862,fixed_target_rich,minimal_step,3.5942907333374023,-0.3681038022041321,0.4284461037951065,,47,40,1,21,0,1
22,0.060289441821111955,0.04681420650667356,1.2878450009083768,fixed_target_rich,minimal_smooth,7.677505016326904,0.14558625221252441,1.398254585386439,,47,40,1,22,0,1
23,0.5122247653112318,0.2416858197145641,2.1193827834673122,fixed_target_rich,minimal_step,15.371700286865234,-0.26878875494003296,0.5385316658598818,,47,40,1,23,0,1
24,0.09173917033910314,0.0811751006334393,1.1301392868407738,fixed_target_rich,minimal_smooth,2.7498202323913574,-1.795834720134735,0.016001668897895772,,47,40,1,24,0,1
25,0.0929433984652432,0.10996573938685505,0.845203233147663,fixed_target_rich,minimal_step,13.581661224365234,-0.4025208353996277,0.39580307561660877,,47,40,1,25,0,1
26,0.10104252010389367,0.09798948834858176,1.0311567271833408,fixed_target_rich,minimal_step,5.739579200744629,0.34604310989379883,2.2184166182193885,,47,40,1,26,0,1
27,0.11048468945220943,0.11579645080995667,0.9541284614459833,fixed_target_rich,minimal_step,4.373374938964844,-0.432866632938385,0.3690909249346086,,47,40,1,27,0,1
28,0.08220463047729912,0.07223037613323695,1.1380894698051074,fixed_target_rich,minimal_smooth,2.246321439743042,-1.8073181509971619,0.015584104402214902,,47,40,1,28,0,1
29,0.2126114192345377,0.14420491877607167,1.4743700911110453,fixed_target_rich,minimal_smooth,11.263565063476562,-0.7348747849464417,0.184130280626878,,47,40,1,29,0,1
30,0.1143445693827199,0.08864075929299145,1.2899773230142082,fixed_target_rich,minimal_smooth,15.329106330871582,0.7617894411087036,5.778158371679343,,47,40,1,30,0,1
31,0.08195249400745576,0.08362228575148575,0.9800317376041072,fixed_target_rich,minimal_step,6.056159496307373,0.733847975730896,5.418111968347109,,47,40,1,31,0,1
32,0.06150772073743756,0.04738218890642396,1.2981190222957069,fixed_target_rich,minimal_smooth,11.89334487915039,0.5472606420516968,3.5258241006920827,,47,40,1,32,0,1
33,0.18673218782296513,0.1851523158993281,1.0085328229137358,fixed_target_rich,minimal_step,15.044174194335938,0.6919459700584412,4.919783255697835,,47,40,1,33,0,1
