certificate,name,n,mse_mean,mse_std,mse_median,mse_ratio_mean,mse_ratio_std,mse_ratio_median,mse_ratio_frac_le_2,mse_repair_factor_mean,mse_repair_factor_std,mse_repair_factor_median,point_err_mean,point_err_std,point_err_median,point_drift_mean,point_drift_std,point_drift_median,E_F_T_mean,E_F_T_std,E_F_T_median,damage_vs_base_mean,damage_vs_base_std,damage_vs_base_median,rank_Q_mean,rank_Q_std,rank_Q_median,r_T_mean,r_T_std,r_T_median,rho_TQ_mean,rho_TQ_std,rho_TQ_median,base_mse_mean,base_mse_std,base_mse_median,krr_mse_mean,krr_mse_std,krr_mse_median
certified,base,196,0.5879656748525425,5.956037975612623,0.13316084059531136,86.65644608801941,1195.317225774855,1.136428469431279,0.9489795918367347,1.0,0.0,1.0,2.5308963810384952,33.43867181172789,0.1040385413156039,0.0,0.0,0.0,3.4186103901464873,45.35851086972996,0.09978334248769957,0.0,0.0,0.0,23.510204081632654,6.615048730109767,25.0,23.306122448979593,6.642378571913955,25.0,0.04295845299894463,0.0054754226417741475,0.04396193201558654,0.5879656748525425,5.956037975612623,0.13316084059531136,0.13219412088674634,0.09201041412244265,0.11203213200731785
certified,keep_Q,196,174636267784.75702,1805946643982.5369,0.16279653084498774,1001941657431.923,12260290781408.943,1.391192677556662,0.7397959183673469,73.81730105868112,1021.9095122129542,0.8285186807904372,16754.457133392243,140011.7204694592,0.21285314051973142,16791.177982315894,140046.48488871782,0.22077984014907856,162986.38404078232,1177868.6551526876,0.22049630603554757,162989.68473015376,1177868.1960558093,0.21701184760315928,23.510204081632654,6.615048730109767,25.0,23.306122448979593,6.642378571913955,25.0,0.04295845299894463,0.0054754226417741475,0.04396193201558654,0.5879656748525425,5.956037975612623,0.13316084059531136,0.13219412088674634,0.09201041412244265,0.11203213200731785
certified,keep_krr_oracle,196,174634987506.9107,1805946768331.1194,0.16279653084498774,1001930035134.8292,12260291734989.895,1.3963328364751408,0.7397959183673469,60.79428524203424,839.5969207641069,0.8286274436581942,16716.67007969403,140015.1894179671,0.21395754745310025,16752.442115807804,140050.02251441425,0.22004600024463308,,,,,,,23.510204081632654,6.615048730109767,25.0,23.306122448979593,6.642378571913955,25.0,0.04295845299894463,0.0054754226417741475,0.04396193201558654,0.5879656748525425,5.956037975612623,0.13316084059531136,0.13219412088674634,0.09201041412244265,0.11203213200731785
certified,keep_response_svd,196,0.24497059928553483,0.19676409356758895,0.18826234954651155,1.9145466996230567,1.1746490279954973,1.6425618197987064,0.673469387755102,65.92950140971068,912.3814069973604,0.7096619950847649,0.3065936430584815,0.21022285393179813,0.2823298751805432,0.29256854522041126,0.2168071281346409,0.24645702155321764,,,,,,,23.510204081632654,6.615048730109767,25.0,23.306122448979593,6.642378571913955,25.0,0.04295845299894463,0.0054754226417741475,0.04396193201558654,0.5879656748525425,5.956037975612623,0.13316084059531136,0.13219412088674634,0.09201041412244265,0.11203213200731785
certified,remove_Q,196,2.067699344716958,10.48253188811842,0.8255563495990367,162.3875535066473,2083.349157253702,5.414289107781663,0.07653061224489796,0.2632683267400186,0.20964929833449092,0.22494672887947925,3.8718540501334338,44.17731415749321,0.7437497571989964,0.6980615696900766,0.2663447811752301,0.7214506652769925,9.716946013763312,125.4375931391894,0.7013868599923037,10.14389133730356,131.16021350255645,0.6864571915539105,23.510204081632654,6.615048730109767,25.0,23.306122448979593,6.642378571913955,25.0,0.04295845299894463,0.0054754226417741475,0.04396193201558654,0.5879656748525425,5.956037975612623,0.13316084059531136,0.13219412088674634,0.09201041412244265,0.11203213200731785
certified,zero_context,196,3.953915157947999,7.425817726811255,1.3514478578506772,42.423651076310435,101.8328540828433,8.621729028326545,0.09183673469387756,70.725887872133,987.134724585257,0.13257736925291455,0.9133136628235832,0.10914641796611806,0.9394241263089469,0.9109817493912166,0.09862869659212772,0.936834462819319,,,,,,,23.510204081632654,6.615048730109767,25.0,23.306122448979593,6.642378571913955,25.0,0.04295845299894463,0.0054754226417741475,0.04396193201558654,0.5879656748525425,5.956037975612623,0.13316084059531136,0.13219412088674634,0.09201041412244265,0.11203213200731785
not_certified,base,4,0.16381083969536642,0.15209067062823742,0.1021758669917269,1.605642668604764,0.9576766086245152,1.1884919963473186,0.75,1.0,0.0,1.0,0.07490601429911113,0.052497632913217004,0.05139355157856678,0.0,0.0,0.0,0.049547601592070736,0.03487206265962306,0.0350473701594225,0.0,0.0,0.0,36.0,4.760952285695233,36.0,22.25,5.315072906367325,22.5,0.1219170664442427,0.08231085176883246,0.10809671232806842,0.16381083969536642,0.15209067062823742,0.1021758669917269,0.09226247842005647,0.03309722196350447,0.09612526518656844
not_certified,keep_Q,4,0.16494529286139958,0.13799321489259475,0.11435460279149542,1.635416432738471,0.8233786259008827,1.259265438961863,0.75,0.9548294392283259,0.0801657461467001,0.9429102736515053,0.09531517746224272,0.0909849911170097,0.05218767014665419,0.05061713218279984,0.08223114853320872,0.012392031169753258,0.08423350670694936,0.060835138914619724,0.06006570200058349,0.059163206989145525,0.03748861527635293,0.05108411134182712,36.0,4.760952285695233,36.0,22.25,5.315072906367325,22.5,0.1219170664442427,0.08231085176883246,0.10809671232806842,0.16381083969536642,0.15209067062823742,0.1021758669917269,0.09226247842005647,0.03309722196350447,0.09612526518656844
not_certified,keep_krr_oracle,4,0.17436434160731218,0.1418693040965697,0.1130804818025096,1.85177287290138,0.9906860509373624,1.7633136519850683,0.5,0.9098905739878428,0.2625020607584356,0.9718088526515556,0.09755343859877216,0.07712050223258439,0.06727809322567545,0.060260923960193134,0.07796479059437816,0.029944786826607988,,,,,,,36.0,4.760952285695233,36.0,22.25,5.315072906367325,22.5,0.1219170664442427,0.08231085176883246,0.10809671232806842,0.16381083969536642,0.15209067062823742,0.1021758669917269,0.09226247842005647,0.03309722196350447,0.09612526518656844
not_certified,keep_response_svd,4,0.16496779504932146,0.1380601687346184,0.11436125660212833,1.6354642233175127,0.8239310160441766,1.2588125751739643,0.75,0.9548819235506296,0.0801141809133285,0.9432514946697126,0.09532437043901983,0.0909960156802144,0.05218919557089228,0.050609668179790235,0.08224321758320934,0.012378805519150124,,,,,,,36.0,4.760952285695233,36.0,22.25,5.315072906367325,22.5,0.1219170664442427,0.08231085176883246,0.10809671232806842,0.16381083969536642,0.15209067062823742,0.1021758669917269,0.09226247842005647,0.03309722196350447,0.09612526518656844
