basis,operator_kind,lambda,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,lambda_mean,lambda_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
raw,actLR,0.0,4,0.013279794003841135,0.007650316044732731,0.008220503315643331,0.004281907878784612,1.0017891699481436,0.007443838075885801,0.012468957834048713,0.0069558368286813934,0.9999999999999991,4.796711693331816e-16,0.012468957834036256,0.0069558368286744485,0.008219192276367996,0.004329812005289827,0.9998082373410426,0.00016975885845633631,0.9999183844243231,8.413511990713539e-05,-0.24529130827613105,0.18375651161895248,0.0,0.0,0.010451160942870154,0.008485790314267435,0.01290319030414361,0.0060546261932251716,0.015739288170615505,0.003967516813994563,8.5,1.0
raw,actLR,0.1,4,0.0179699892508183,0.013871798726429812,0.011243822375306162,0.006775131861935254,1.0010246736804906,0.007456784177051771,0.01621457277280376,0.011062045323179271,0.9999999999999991,5.362886707379033e-16,0.016214572772787563,0.011062045323168228,0.011258648305843002,0.006865148832525639,0.9996453109947471,0.00044179264849536997,0.9998378951369559,0.0001924437891416434,-0.23941119753294826,0.23477726079638989,0.1,0.0,0.010451160942870154,0.008485790314267435,0.01290319030414361,0.0060546261932251716,0.015739288170615505,0.003967516813994563,8.5,1.0
raw,actLR,0.25,4,0.023621916516002144,0.02048898464239276,0.01488774459031996,0.009494456912484411,1.0005512894285074,0.007527980475165707,0.020782773450502282,0.015547034511565767,0.9999999999999989,6.214604987563197e-16,0.020782773450481525,0.015547034511550253,0.014920997900995414,0.009631395343955582,0.9993867936161285,0.0008434447887227502,0.9997077909894349,0.00036194693158980826,-0.23820525131751066,0.28288479973580394,0.25,0.0,0.010451160942870154,0.008485790314267435,0.01290319030414361,0.0060546261932251716,0.015739288170615505,0.003967516813994563,8.5,1.0
raw,actLR,0.5,4,0.03511985486501087,0.031926041275830264,0.0220710161556521,0.014317643755211277,0.9999430432479772,0.007876309917433778,0.03027565134197937,0.023441543668227396,0.9999999999999982,8.996689157468666e-16,0.030275651341949154,0.023441543668204022,0.022144945609975986,0.014548353527079316,0.9986712554586594,0.0018753904926145733,0.9993508604411695,0.000806992058472603,-0.22927369933550198,0.3234775572098184,0.5,0.0,0.010451160942870154,0.008485790314267435,0.01290319030414361,0.0060546261932251716,0.015739288170615505,0.003967516813994563,8.5,1.0
raw,actLR,0.75,4,0.056292168895844666,0.05054699007427168,0.03506552017688183,0.022400288003645935,0.9992286547802667,0.00863686711380776,0.04809022092556281,0.03621936349340575,0.9999999999999967,1.787884259778666e-15,0.04809022092551492,0.03621936349336973,0.0352239303691372,0.022786604745739576,0.9967034489324365,0.004477189034214276,0.9983698527124714,0.0019676671294460153,-0.21759171142894834,0.3472785776797863,0.75,0.0,0.010451160942870154,0.008485790314267435,0.01290319030414361,0.0060546261932251716,0.015739288170615505,0.003967516813994563,8.5,1.0
raw,actLR,0.9,4,0.09172177050989448,0.07735315857024254,0.056979939400036525,0.03394729389713733,0.9990981205077295,0.010466025554846,0.07836995341791805,0.05475781777790333,0.999999999999992,4.5478507955696394e-15,0.07836995341784044,0.05475781777784921,0.057239516770311055,0.03443200454147729,0.9916093364454415,0.010344223140982208,0.995834465517343,0.004568760046014872,-0.20838097412249168,0.35628340361269306,0.9,0.0,0.010451160942870154,0.008485790314267435,0.01290319030414361,0.0060546261932251716,0.015739288170615505,0.003967516813994563,8.5,1.0
raw,actLR,1.0,4,0.2885175685760225,0.11516660249467846,0.1983584695933773,0.07587365653087602,1.0295593627397626,0.04847043396945706,0.25932113721878347,0.07362169603623342,0.9999999999999,4.532566231534966e-14,0.25932113721854816,0.07362169603615945,0.1941726718747312,0.08067570341313303,0.9286874321962484,0.03516566643592893,0.9574155466561252,0.03227232027738807,-0.18954164381006158,0.36348665500929617,1.0,0.0,0.010451160942870154,0.008485790314267435,0.01290319030414361,0.0060546261932251716,0.015739288170615505,0.003967516813994563,8.5,1.0
raw,galerkin,0.0,4,0.013279794003841135,0.007650316044732731,0.013124606952721503,0.007677777195588782,1.0017891699481436,0.007443838075885801,0.00144416197377529,0.0005081411248411551,0.9999999999999991,4.796711693331816e-16,0.0014441619737738474,0.000508141124840648,0.013101504839395633,0.007679182128571889,0.9999977207406414,1.5536653220746666e-06,0.9997841231923205,0.00020364889504176102,0.01886643217625631,0.21151955291559882,0.0,0.0,0.010451160942870154,0.008485790314267435,0.010230939060793847,0.008613914384894018,0.0003085236069861766,0.0002859627364268769,8.5,1.0
raw,galerkin,0.1,4,0.0179699892508183,0.013871798726429812,0.017560791476595318,0.013727017207185313,1.0010246736804906,0.007456784177051771,0.002262160273778083,0.0006210452648750377,0.9999999999999991,5.362886707379033e-16,0.0022621602737758232,0.0006210452648744184,0.01758846112285995,0.013872357442458124,0.9999945933579799,2.6648057456747336e-06,0.9995463143095712,0.0006353498160664925,0.08468475079437898,0.12664026660205563,0.1,0.0,0.010451160942870154,0.008485790314267435,0.010230939060793847,0.008613914384894018,0.0003085236069861766,0.0002859627364268769,8.5,1.0
raw,galerkin,0.25,4,0.023621916516002144,0.02048898464239276,0.022948328188012544,0.020298368091823827,1.0005512894285074,0.007527980475165707,0.0033378076038971505,0.0009186463190203859,0.9999999999999989,6.214604987563197e-16,0.003337807603893817,0.00091864631901947,0.023019666986963193,0.020546333369738063,0.9999882261071048,5.837859595983817e-06,0.999153481070604,0.001314253131450445,0.08795751037281041,0.10538237216050347,0.25,0.0,0.010451160942870154,0.008485790314267435,0.010230939060793847,0.008613914384894018,0.0003085236069861766,0.0002859627364268769,8.5,1.0
