probe_kind,method,operator_kind,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,nominal_rank_mean,nominal_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
isotropic,raw,galerkin_main,4,0.3024859041535572,0.07550166544546093,0.29151294482672596,0.0749418152686321,1.0602612924418569,0.007946804536188515,0.05253808452207168,0.014345463731974251,0.9999999999999463,3.4252314598261905e-14,0.052538084522022264,0.01434546373196195,0.27491078935131946,0.07076407276449398,0.9970854054274931,0.0013782683126057332,0.9206683924025705,0.041694117043194694,0.10928600746285733,0.17634856524052225,8.5,1.0,0.010451160942870154,0.008485790314267435,0.010230939060793847,0.008613914384894018,0.0003085236069861766,0.0002859627364268769,8.5,1.0
isotropic,raw_actLR,activation_low_rank,4,0.3024859041535572,0.07550166544546093,0.20073687316996605,0.05914570881413254,1.0602612924418569,0.007946804536188515,0.2687432040937418,0.058709449561872386,0.9999999999999463,3.4252314598261905e-14,0.26874320409348773,0.05870944956181983,0.18919247831482433,0.05541562882292588,0.9251919906526771,0.03103199539691741,0.9619030372107145,0.019130761222856174,-0.13816817225725436,0.3296160291699026,8.5,1.0,0.010451160942870154,0.008485790314267435,0.01290319030414361,0.0060546261932251716,0.015739288170615505,0.003967516813994563,8.5,1.0
isotropic,raw_best_rank,best_rank_control,4,0.3024859041535572,0.07550166544546093,0.30248590415355714,0.07550166544546086,1.0602612924418569,0.007946804536188515,5.666509998466973e-16,1.1063358290161151e-16,0.9999999999999463,3.4252314598261905e-14,5.666509998461606e-16,1.1063358290150604e-16,0.28530017117520795,0.07145391989729329,1.0,0.0,0.9147745653258804,0.04409605387247306,6.627659207845037e-05,0.00019892852014228145,,,0.010451160942870154,0.008485790314267435,0.010451160942870318,0.008485790314267303,5.210407215947668e-16,3.5264760150798987e-16,8.5,1.0
isotropic,raw_euclidean,galerkin_control,4,0.3024859041535572,0.07550166544546093,0.2914778503485304,0.07494214730110971,1.0602612924418569,0.007946804536188515,0.05315260569804381,0.014566520673637102,0.9999999999999463,3.4252314598261905e-14,0.05315260569799381,0.014566520673624569,0.2748771478958961,0.07076253879292871,0.9970156628641123,0.0014061671499419354,0.9206870508923021,0.04167818141201045,0.10731344191426904,0.17877667566777347,8.5,1.0,0.010451160942870154,0.008485790314267435,0.010225379886206974,0.008617905975832183,0.0003148300173941034,0.00028775651022011216,8.5,1.0
isotropic,raw_poly_y,galerkin_control,4,0.3024859041535572,0.07550166544546093,0.9187343191068913,0.12103919407224838,1.0602612924418569,0.007946804536188515,0.8509862244387404,0.12489775182846537,0.9999999999999463,3.4252314598261905e-14,0.8509862244379341,0.12489775182834131,0.8665295689695616,0.11451598479146194,0.26412285950803965,0.21311851299854623,0.23929107302185726,0.20001794216461447,-0.9343650971310353,0.051766035562733334,8.5,1.0,0.010451160942870154,0.008485790314267435,0.6822522254104364,0.18542387400367064,0.689046805912588,0.17881343105719158,2.0,0.0
isotropic,raw_random,galerkin_control,4,0.3024859041535572,0.07550166544546093,3.0215416619078317,0.8738245804642383,1.0602612924418569,0.007946804536188515,3.0307282194582283,0.8618916001102738,0.9999999999999463,3.4252314598261905e-14,3.0307282194553817,0.861891600109557,2.853318968143511,0.8405536553789728,-8.742456387957747,5.205948647354953,-7.671326969645765,4.763836716433815,-0.9946918630850219,0.0023584993777278655,8.5,1.0,0.010451160942870154,0.008485790314267435,0.10210802632224765,0.1002609045735226,0.10108606913681932,0.10534750520045272,8.5,1.0
isotropic,raw_shuffled_Kt,galerkin_control,4,0.3024859041535572,0.07550166544546093,431.06572911963696,396.19932779784506,1.0602612924418569,0.007946804536188515,431.0119559094575,396.26035531270435,0.9999999999999463,3.4252314598261905e-14,431.01195590904604,396.2603553123167,406.7055857510567,373.19229337481397,-303537.008030724,488920.491623711,-269862.79935687507,433795.67698547815,-0.9999992088103972,7.313248240831819e-07,8.5,1.0,0.010451160942870154,0.008485790314267435,48.00942851993098,35.838779989363545,48.00974041658971,35.84046328068356,8.5,1.0
isotropic,raw_shuffled_labels,galerkin_control,4,0.3024859041535572,0.07550166544546093,0.2857351473895218,0.076484309506923,1.0602612924418569,0.007946804536188515,0.06476062136075456,0.019015353035994022,0.9999999999999463,3.4252314598261905e-14,0.0647606213606936,0.019015353035977248,0.2694300012774798,0.0720790856991664,0.9955348741826647,0.0022327463218025424,0.9235109284651964,0.04103028531563291,0.12425612022579023,0.17764692589680536,8.5,1.0,0.010451160942870154,0.008485790314267435,0.009605829118467666,0.008414355551528864,0.00210256545774504,0.00158093090347204,8.5,1.0
isotropic,resp,galerkin_main,4,0.3024859041535572,0.07550166544546093,0.31930906685384425,0.06961029757357196,1.0602612924418569,0.007946804536188515,0.12784734310682178,0.039408927776669454,0.9999999999999463,3.4252314598261905e-14,0.12784734310670018,0.039408927776629174,0.3010616487238148,0.06527888042791351,0.98249025916918,0.011514352915425692,0.9061658844952569,0.04014460784000454,-0.31295785882811555,0.21494408119453573,9.0,0.0,0.010451160942870154,0.008485790314267435,0.013250164622052652,0.01022977377317184,0.005732482950075675,0.003567759179177069,9.0,0.0
isotropic,resp_actLR,activation_low_rank,4,0.3024859041535572,0.07550166544546093,0.24183151144625556,0.04923608822929479,1.0602612924418569,0.007946804536188515,0.29288680643763354,0.07184198778379573,0.9999999999999463,3.4252314598261905e-14,0.2928868064373581,0.07184198778373828,0.22803917317426464,0.046330292048488764,0.9103463652083864,0.04645018946908053,0.946388263527024,0.02169990288711714,-0.3844024536515359,0.1308091541204409,9.0,0.0,0.010451160942870154,0.008485790314267435,0.008730814175057378,0.00390869252821521,0.01410999919430552,0.00678086753210302,9.0,0.0
