probe_kind,basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,is_predeclared_rank_mean,is_predeclared_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
isotropic,raw,0,4,0.30580114129568836,0.07301522688839376,1.0455610837082185,0.021621853313894362,1.0455610837082185,0.021621853313894362,0.9999999999999519,2.837664317101119e-14,0.9999999999999519,2.837664317101119e-14,0.9999999999989999,1.1102230246251565e-16,0.9999999999990432,1.97098203433318e-14,2.0000112677109882e-12,1.1102230246251565e-16,1.913635916395151e-12,3.9419588572372446e-14,-0.9547164145152055,0.020162116899876698,0.0,0.0,0.010451135401294463,0.008485950681648823,0.9914811381671973,0.009752880590227967,0.9999999999998229,9.986067819177242e-14,0.0,0.0
isotropic,raw,1,4,0.30580114129568836,0.07301522688839376,1.040321549177387,0.09401769230404736,1.0455610837082185,0.021621853313894362,0.9715032340842917,0.051423181984482175,0.9999999999999519,2.837664317101119e-14,0.9715032340833677,0.05142318198445069,0.9942442506508791,0.07479576772857903,0.054198208431502914,0.09742797399868447,0.007282564895091159,0.1469632152254051,-0.9566918092821436,0.017406260575278183,0.0,0.0,0.010451135401294463,0.008485950681648823,1.0857662832021313,0.18747069731487495,1.0933892054816248,0.19179510934418323,1.0,0.0
isotropic,raw,10,4,0.30580114129568836,0.07301522688839376,0.29831141044026926,0.07129989441859674,1.0455610837082185,0.021621853313894362,0.04479523638697461,0.010101495009000382,0.9999999999999519,2.837664317101119e-14,0.04479523638693211,0.010101495008991835,0.2847140063187909,0.06459108619705982,0.9979168566459763,0.0009891445585122943,0.9158089282938164,0.03677533550947234,0.10022328987282406,0.10182045394297878,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010290350317967977,0.008579896041211421,0.00027871023643015057,0.0003349245998479181,10.0,0.0
isotropic,raw,11,4,0.30580114129568836,0.07301522688839376,0.29857828061600944,0.0730618121732892,1.0455610837082185,0.021621853313894362,0.043167495492104496,0.008992591061161381,0.9999999999999519,2.837664317101119e-14,0.043167495492063536,0.008992591061153871,0.2849459324562249,0.06622554468026919,0.9980759173124478,0.000846975834207942,0.9155164485005038,0.03750405590334626,0.10229406464690528,0.08969315669811792,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010310184294125843,0.008538566856589812,0.0002351346414306872,0.00030981654357437944,11.0,0.0
isotropic,raw,12,4,0.30580114129568836,0.07301522688839376,0.30101592830096663,0.0753212523031282,1.0455610837082185,0.021621853313894362,0.04050381973892241,0.010496384286193351,0.9999999999999519,2.837664317101119e-14,0.040503819738884034,0.010496384286184502,0.2872625250841815,0.06840240714869011,0.9982768100242475,0.000952753699966242,0.9139710747044587,0.03935734619870405,0.05043638626182637,0.06912234423350139,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010322345728036723,0.008507090361639102,0.00023502820246483648,0.0002986098088085749,12.0,0.0
isotropic,raw,13,4,0.30580114129568836,0.07301522688839376,0.3031399671946774,0.07624689704338436,1.0455610837082185,0.021621853313894362,0.02989444805137953,0.004584512203209975,0.9999999999999519,2.837664317101119e-14,0.029894448051351014,0.004584512203205115,0.2892923890881678,0.06929230639005216,0.999090558661599,0.0002593739944111708,0.9127088458220204,0.0398348707429879,0.029094588472717703,0.11091891511039952,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010450822396317571,0.008479791955152464,3.748663904609771e-05,1.4131001810252436e-05,13.0,0.0
isotropic,raw,14,4,0.30580114129568836,0.07301522688839376,0.30309549028683963,0.07593093327606586,1.0455610837082185,0.021621853313894362,0.028384293878387982,0.0054670076876048145,0.9999999999999519,2.837664317101119e-14,0.028384293878360906,0.005467007687599253,0.2892505239259168,0.06897290254989484,0.9991719157312346,0.0002855814019763659,0.9127661884439646,0.039490665904144316,0.04098106746735088,0.13027768985814625,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010428572887187315,0.008512804091981558,5.150743194562776e-05,2.383132863897331e-05,14.0,0.0
isotropic,raw,15,4,0.30580114129568836,0.07301522688839376,0.30277057093351917,0.07541929930868957,1.0455610837082185,0.021621853313894362,0.026805881834212814,0.0065852382506873496,0.9999999999999519,2.837664317101119e-14,0.026805881834187237,0.0065852382506807906,0.2889448521621548,0.06849099462659988,0.9992489206769779,0.0003138300295623756,0.9129926101502848,0.03922834773864645,0.06417936437265147,0.1188754894021323,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010423880939313453,0.008509478315530115,4.2302500584010905e-05,3.0436822892950664e-05,15.0,0.0
isotropic,raw,16,4,0.30580114129568836,0.07301522688839376,0.302958947832502,0.07566703639156426,1.0455610837082185,0.021621853313894362,0.023686106777311314,0.005096802432886894,0.9999999999999519,2.837664317101119e-14,0.023686106777288756,0.005096802432882031,0.2891181246659178,0.06869946552990754,0.9994194852994549,0.00022582014316339886,0.9128709975665916,0.03942325525380744,0.07247468131508093,0.12399167548722119,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010439945460708075,0.008506828804860943,2.7187853316880866e-05,1.909854377919169e-05,16.0,0.0
isotropic,raw,17,4,0.30580114129568836,0.07301522688839376,0.3039661579525983,0.07537401521123512,1.0455610837082185,0.021621853313894362,0.021883272773595263,0.005045527067507425,0.9999999999999519,2.837664317101119e-14,0.02188327277357443,0.005045527067502688,0.2900859610111757,0.06841892466890652,0.9995020293651757,0.00020243319833485022,0.9123392732845856,0.039504239332189266,0.03827565723720912,0.1184463108022756,0.0,0.0,0.010451135401294463,0.008485950681648823,0.01044610414495805,0.008497831289339017,2.6100688674323227e-05,1.6282995543571504e-05,17.0,0.0
isotropic,raw,18,4,0.30580114129568836,0.07301522688839376,0.305105127218508,0.07520827029639852,1.0455610837082185,0.021621853313894362,0.020098101806903655,0.004859103089827898,0.9999999999999519,2.837664317101119e-14,0.020098101806884545,0.004859103089823444,0.29116190854317664,0.068150770413082,0.999578358141632,0.00019098932730567158,0.9117413473825724,0.03938650296365101,-0.008147218888225113,0.14505454918369065,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010449775747680167,0.00849319276460406,1.8385826755474e-05,1.0135777702643484e-05,18.0,0.0
isotropic,raw,19,4,0.30580114129568836,0.07301522688839376,0.30568286983203596,0.07437148118634032,1.0455610837082185,0.021621853313894362,0.017150811122931035,0.0024234483624128262,0.9999999999999519,2.837664317101119e-14,0.017150811122914677,0.002423448362410178,0.29172563549353286,0.06736153527709225,0.9997014448513522,8.227874793913058e-05,0.9114929712697292,0.03901521549217839,-0.0268384938958036,0.13919224706326427,0.0,0.0,0.010451135401294463,0.008485950681648823,0.01045334911312743,0.008491706078975998,2.1337631304791093e-05,5.9990915599931235e-06,19.0,0.0
isotropic,raw,2,4,0.30580114129568836,0.07301522688839376,0.9945884788768279,0.09147046294165324,1.0455610837082185,0.021621853313894362,0.9196856416773977,0.06720646851548655,0.9999999999999519,2.837664317101119e-14,0.9196856416765236,0.0672064685154448,0.9506362326979108,0.07552428940706071,0.15079078843630306,0.12213221260707909,0.09201281436409262,0.13903768572699968,-0.9534973439980506,0.016387462180120122,0.0,0.0,0.010451135401294463,0.008485950681648823,0.7477234915410647,0.33207696949151844,0.7543461285815303,0.34088572571767844,2.0,0.0
isotropic,raw,20,4,0.30580114129568836,0.07301522688839376,0.3062592028195309,0.07376376587651098,1.0455610837082185,0.021621853313894362,0.016718548276066128,0.0023121629906305737,0.9999999999999519,2.837664317101119e-14,0.016718548276050182,0.0023121629906280618,0.2922802513782419,0.0667586601869812,0.9997164805702698,7.552682595702946e-05,0.9112297156218011,0.03879035263156898,-0.05652413816109851,0.1143721085641818,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010453567835727385,0.008491994687481004,1.8598373279767326e-05,7.709950310441204e-06,20.0,0.0
