checkpoint,episode,basis,rank,selected_rank,r_eff_T_task,r_eff_T_task_strict,excess_risk_frac,kernel_lengthscale,kernel_signal_var,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rank_tau_task,krr_risk_total,krr_signal_total,krr_risk_per_tgt,krr_signal_per_tgt,krr_risk_over_signal
rbf_elbow_scratch_nctx47_ntgt64,0,raw,0,24,18.0,27,0.05,3.0,1.0,0.025452939104991086,0.999999999999882,0.9888410496176525,0.026685494883216854,0.9946194303430376,0.9999999999999998,0.9946194303430376,0.9999999999999998,0.9999999999989946,0.9999999999989999,2.0108359422010835e-12,2.000177801164682e-12,-0.9996565695951198,0.05646690038287007,3.8366310781780433,60.163368921822034,0.059947360596531926,0.9400526394034693,0.06377021677697944
rbf_elbow_scratch_nctx47_ntgt64,0,raw,1,24,18.0,27,0.05,3.0,1.0,0.025452939104991086,0.3109863545217669,0.32396623920444617,0.026685494883216854,0.49313629660113745,0.4957181098260252,0.9946194303430376,0.9999999999999998,0.4958040045835041,0.49571810982552955,0.7541783890389606,0.7542635555910042,-0.9985571060501055,0.05646690038287007,3.8366310781780433,60.163368921822034,0.059947360596531926,0.9400526394034693,0.06377021677697944
rbf_elbow_scratch_nctx47_ntgt64,0,raw,2,24,18.0,27,0.05,3.0,1.0,0.025452939104991086,0.31002132524708476,0.32286869918869066,0.026685494883216854,0.4368414786423276,0.4402059817183841,0.9946194303430376,0.9999999999999998,0.43920464985409013,0.44020598171794395,0.807099275546546,0.8062186936597412,-0.9981778603461176,0.05646690038287007,3.8366310781780433,60.163368921822034,0.059947360596531926,0.9400526394034693,0.06377021677697944
rbf_elbow_scratch_nctx47_ntgt64,0,raw,3,24,18.0,27,0.05,3.0,1.0,0.025452939104991086,0.27151557599497067,0.28381827022569306,0.026685494883216854,0.3835694156156471,0.3864619723589425,0.9946194303430376,0.9999999999999998,0.3856444021840303,0.38646197235855606,0.8512783950641218,0.8506471439207346,-0.9976262394630854,0.05646690038287007,3.8366310781780433,60.163368921822034,0.059947360596531926,0.9400526394034693,0.06377021677697944
rbf_elbow_scratch_nctx47_ntgt64,0,raw,4,24,18.0,27,0.05,3.0,1.0,0.025452939104991086,0.2671453528419798,0.27838842014474185,0.026685494883216854,0.32258055325740576,0.3260681507513416,0.9946194303430376,0.9999999999999998,0.3243256097921047,0.3260681507510156,0.8948128988329794,0.893679561065813,-0.9966727005597856,0.05646690038287007,3.8366310781780433,60.163368921822034,0.059947360596531926,0.9400526394034693,0.06377021677697944
rbf_elbow_scratch_nctx47_ntgt64,0,raw,5,24,18.0,27,0.05,3.0,1.0,0.025452939104991086,0.24255160143247806,0.25320290856983635,0.026685494883216854,0.25453700098298215,0.25907970874801345,0.9946194303430376,0.9999999999999998,0.25591396389163457,0.2590797087477544,0.9345080430852711,0.9328777045151788,-0.9947571799088282,0.05646690038287007,3.8366310781780433,60.163368921822034,0.059947360596531926,0.9400526394034693,0.06377021677697944
rbf_elbow_scratch_nctx47_ntgt64,0,raw,6,24,18.0,27,0.05,3.0,1.0,0.025452939104991086,0.2358383166002122,0.24575708403531055,0.026685494883216854,0.17703520631343372,0.1808440790865926,0.9946194303430376,0.9999999999999998,0.17799290956159733,0.18084407908641179,0.968318524145797,0.9672954190593877,-0.9891052417233346,0.05646690038287007,3.8366310781780433,60.163368921822034,0.059947360596531926,0.9400526394034693,0.06377021677697944
rbf_elbow_scratch_nctx47_ntgt64,0,raw,7,24,18.0,27,0.05,3.0,1.0,0.025452939104991086,0.09678539139845899,0.10037203342030641,0.026685494883216854,0.17239260198804252,0.1764844533740381,0.9946194303430376,0.9999999999999998,0.17332519024730106,0.17648445337386162,0.9699583784257368,0.9688532377173292,-0.9885722069229584,0.05646690038287007,3.8366310781780433,60.163368921822034,0.059947360596531926,0.9400526394034693,0.06377021677697944
rbf_elbow_scratch_nctx47_ntgt64,0,raw,8,24,18.0,27,0.05,3.0,1.0,0.025452939104991086,0.0992340208402712,0.09883082570321687,0.026685494883216854,0.16646759821480808,0.17046706617777305,0.9946194303430376,0.9999999999999998,0.16736813411862178,0.1704670661776026,0.971987907681651,0.9709409793488009,-0.9877345397651771,0.05646690038287007,3.8366310781780433,60.163368921822034,0.059947360596531926,0.9400526394034693,0.06377021677697944
rbf_elbow_scratch_nctx47_ntgt64,0,raw,9,24,18.0,27,0.05,3.0,1.0,0.025452939104991086,0.03636196093387856,0.0478698096554591,0.026685494883216854,0.16436389737188478,0.1684651825271379,0.9946194303430376,0.9999999999999998,0.16525305293405693,0.16846518252696946,0.9726914284959738,0.9716194822761549,-0.9874448303945758,0.05646690038287007,3.8366310781780433,60.163368921822034,0.059947360596531926,0.9400526394034693,0.06377021677697944
