step,elapsed_sec,train_loss,lr,n_tgt,eval_mse,krr_mse,mse_over_krr,pred_to_krr_mse
1,0.6536898612976074,1.261907935142517,0.0003,64.0,0.8220933079719543,0.07337501086294651,12.740535616874695,0.7412663623690605
1,0.6536898612976074,1.261907935142517,0.0003,128.0,1.02594855427742,0.07934933248907328,14.225998878479004,0.9348061382770538
500,33.238914012908936,0.10074926912784576,0.00029326316315815787,64.0,0.09147432912141085,0.07486353674903512,1.2571762204170227,0.017687103478237987
500,33.238914012908936,0.10074926912784576,0.00029326316315815787,128.0,0.10918471775949001,0.0798272117972374,1.410147801041603,0.02932656602934003
1000,66.45775365829468,0.09204483032226562,0.00028651282564128207,64.0,0.08884470164775848,0.07827830500900745,1.1597496718168259,0.013324812054634094
1000,66.45775365829468,0.09204483032226562,0.00028651282564128207,128.0,0.09517984744161367,0.07647123374044895,1.2606476545333862,0.016633635270409286
1500,100.04363584518433,0.0825931578874588,0.0002797624881244062,64.0,0.08260639104992151,0.07346593774855137,1.1522027999162674,0.009495356935076416
1500,100.04363584518433,0.0825931578874588,0.0002797624881244062,128.0,0.08700629230588675,0.07596115581691265,1.1624264121055603,0.011980875860899687
2000,133.81928086280823,0.0715399831533432,0.00027301215060753035,64.0,0.08206375036388636,0.07372943870723248,1.124475583434105,0.007306991668883711
2000,133.81928086280823,0.0715399831533432,0.00027301215060753035,128.0,0.0837559150531888,0.07170410454273224,1.2028202265501022,0.011215765262022614
2500,167.95085287094116,0.08285225927829742,0.00026626181309065454,64.0,0.08623711112886667,0.07793296314775944,1.1184813231229782,0.006325898692011833
2500,167.95085287094116,0.08285225927829742,0.00026626181309065454,128.0,0.08270558062940836,0.07525699120014906,1.1031485944986343,0.00798412470612675
3000,202.04405975341797,0.07857216894626617,0.0002595114755737787,64.0,0.08170823194086552,0.07562608830630779,1.0939580202102661,0.005352276028133929
