Experiment 2 Layerwise Sufficiency

checkpoint=model_rbf_fixed_l3.pt
episodes=16, n_ctx=47, n_tgt=128, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   16 18.3   30.6        nan  0.00     0.384       0.384    0.385
    1   20 18.3   30.6        nan  0.00     0.251       0.247    0.287
    2   27 18.3   30.6        nan  0.00     0.151       0.133    0.220
    3   30 18.3   30.6        nan  0.00     0.118       0.095    0.202
    4   31 18.3   30.6       24.0  0.06     0.105       0.081    0.192
    5   36 18.3   30.6       20.6  0.88     0.068       0.036    0.174
    6   38 18.3   30.6       19.6  1.00     0.060       0.025    0.165
    7   38 18.3   30.6       19.5  1.00     0.058       0.022    0.164
    8   39 18.3   30.6       19.3  1.00     0.057       0.021    0.163

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0    7 18.3   30.6        nan  0.00     0.666       0.666    0.630
    1   11 18.3   30.6        nan  0.00     0.427       0.427    0.439
    2   12 18.3   30.6        nan  0.00     0.401       0.401    0.413
    3   12 18.3   30.6        nan  0.00     0.361       0.361    0.373
    4   12 18.3   30.6        nan  0.00     0.357       0.357    0.372
    5   14 18.3   30.6        nan  0.00     0.299       0.299    0.325
    6   15 18.3   30.6        nan  0.00     0.273       0.273    0.306
    7   17 18.3   30.6        nan  0.00     0.199       0.199    0.251
    8   17 18.3   30.6        nan  0.00     0.178       0.178    0.239

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   23 18.3   30.6        nan  0.00     0.205       0.197    0.259
    1   24 18.3   30.6        nan  0.00     0.175       0.163    0.243
    2   26 18.3   30.6        nan  0.00     0.149       0.132    0.220
    3   29 18.3   30.6        nan  0.00     0.115       0.093    0.200
    4   31 18.3   30.6        nan  0.00     0.105       0.082    0.193
    5   34 18.3   30.6       20.6  0.62     0.074       0.044    0.178
    6   36 18.3   30.6       20.2  0.94     0.067       0.034    0.170
    7   38 18.3   30.6       19.7  1.00     0.060       0.025    0.165
    8   38 18.3   30.6       19.5  1.00     0.058       0.023    0.164
