Experiment 2 Layerwise Sufficiency

checkpoint=final/linear_sweep_dx10.pt
episodes=16, n_ctx=47, n_tgt=16, alpha=0.05, curve_r_max=47

response basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   10 10.0   10.0       10.0  1.00     0.006       0.006    0.355
    1   15 10.0   10.0       10.0  1.00     0.006       0.006    0.356
    2   18 10.0   10.0       10.0  1.00     0.006       0.006    0.357
    3   27 10.0   10.0       10.0  1.00     0.006       0.006    0.354
    4   35 10.0   10.0       10.0  1.00     0.002       0.002    0.353
    5   41 10.0   10.0       10.0  1.00     0.001       0.001    0.350
    6   44 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    7   45 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    8   40 10.0   10.0       10.0  1.00     0.002       0.002    0.349

raw basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   11 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    1   11 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    2   12 10.0   10.0       10.0  1.00     0.001       0.001    0.346
    3   13 10.0   10.0       10.0  1.00     0.003       0.003    0.342
    4   14 10.0   10.0       10.0  1.00     0.006       0.006    0.338
    5   15 10.0   10.0       10.0  1.00     0.008       0.008    0.340
    6   16 10.0   10.0       10.0  1.00     0.006       0.006    0.343
    7   22 10.0   10.0       10.0  1.00     0.004       0.004    0.346
    8   21 10.0   10.0       10.0  1.00     0.004       0.004    0.345

combined basis
layer cand  rT  strict  rank_alpha reach  excess@rT  best_excess  model@rT
    0   11 10.0   10.0       10.0  1.00     0.002       0.002    0.351
    1   15 10.0   10.0       10.0  1.00     0.001       0.001    0.350
    2   18 10.0   10.0       10.0  1.00     0.002       0.002    0.349
    3   25 10.0   10.0       10.0  1.00     0.002       0.002    0.347
    4   30 10.0   10.0       10.0  1.00     0.002       0.002    0.348
    5   35 10.0   10.0       10.0  1.00     0.001       0.001    0.349
    6   39 10.0   10.0       10.0  1.00     0.001       0.001    0.349
    7   44 10.0   10.0       10.0  1.00     0.000       0.000    0.349
    8   41 10.0   10.0       10.0  1.00     0.001       0.001    0.348
