checkpoint,probe_kind,n,B_nat_mean,B_nat_std,E_F_T_mean,E_F_T_std,E_F_TQ_mean,E_F_TQ_std,E_TQ_T_mean,E_TQ_T_std,E_pointwise_F_T_mean,E_pointwise_F_T_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,causal_damage_tau_mean,causal_damage_tau_std,causal_max_keep_mean,causal_max_keep_std,d_model_mean,d_model_std,d_x_mean,d_x_std,dim_R_nat_mean,dim_R_nat_std,dim_over_nctx_mean,dim_over_nctx_std,dim_over_rT_mean,dim_over_rT_std,gamma_mean,gamma_std,kernel_lengthscale_mean,kernel_lengthscale_std,kernel_signal_var_mean,kernel_signal_var_std,max_build_closure_mean,max_build_closure_std,max_build_refinement_mean,max_build_refinement_std,max_causal_damage_mean,max_causal_damage_std,max_val_closure_mean,max_val_closure_std,max_val_refinement_mean,max_val_refinement_std,mean_build_closure_mean,mean_build_closure_std,mean_build_refinement_mean,mean_build_refinement_std,mean_candidate_rank_mean,mean_candidate_rank_std,mean_causal_damage_mean,mean_causal_damage_std,mean_hidden_s_mean,mean_hidden_s_std,mean_s_mean,mean_s_std,mean_val_closure_mean,mean_val_closure_std,mean_val_refinement_mean,mean_val_refinement_std,min_explainable_frac_mean,min_explainable_frac_std,mse_krr_mean,mse_krr_std,mse_model_mean,mse_model_std,mse_ratio_mean,mse_ratio_std,n_build_mean,n_build_std,n_causal_mean,n_causal_std,n_eval_mean,n_eval_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,n_val_mean,n_val_std,r_eff_T_task_mean,r_eff_T_task_std,sum_candidate_rank_mean,sum_candidate_rank_std,sum_kept_causal_damage_mean,sum_kept_causal_damage_std,sweep_val_mean,sweep_val_std,tau_sv_mean,tau_sv_std
H1,task,16,6.1875,0.4031128874149275,0.015591129312662325,0.002585141012952118,0.015578931983027714,0.0025604814379141844,0.0008545631503597506,0.00038412940714323973,0.015951299721493624,0.008191907245752349,0.9999991313886332,8.391433519312879e-07,0.9997500596697001,8.40672604771187e-05,0.05,0.0,0.0,0.0,128.0,0.0,5.0,0.0,6.1875,0.4031128874149275,0.13164893617021275,0.008576869944998459,1.2375,0.08062257748298547,0.95,0.0,nan,nan,nan,nan,0.01052829886074121,0.002957843311813817,0.9999933497528247,2.585545266787835e-06,1769.3523748507644,7068.322938758607,0.010758592341809682,0.002998136168072268,0.9999925992604343,2.7512097890951615e-06,0.006009734465189764,0.0013752214120227068,0.8888683828182484,8.581163379396834e-06,14.791666666666668,0.037951669503553935,12.366656615005548,49.08723036832098,12.125,0.96085952605289,0.6875,0.044790320823880854,0.006259811472643119,0.0015352062176254334,0.8888637418536742,1.187251440489916e-05,0.001,0.0,0.012656668110040101,0.010930022560057531,0.016450866550389555,0.012483513758816555,1.7745733695471628,1.4449666513832304,16.0,0.0,8.0,0.0,16.0,0.0,1.0,0.0,8.0,0.0,16.0,0.0,5.0,0.0,133.125,0.3415650255319866,1772.725800378884,7068.438509569973,1.0,0.0,0.001,0.0
H2,task,16,6.0625,0.25,0.00903651239247336,0.0026002769458657823,0.009078502376749488,0.002634795458196436,0.0010823309190802566,0.0009224322064770507,0.009640955302863227,0.005676804724533113,0.9999980308586796,3.369955149638562e-06,0.9999109077669692,4.923874848633723e-05,0.05,0.0,0.0,0.0,128.0,0.0,5.0,0.0,6.0625,0.25,0.12898936170212766,0.0053191489361702135,1.2125,0.04999999999999999,0.95,0.0,nan,nan,nan,nan,0.01732791808441777,0.008492364252634645,0.9999928938490366,4.735979450341431e-06,1010.263229405476,3298.9650334408716,0.01671553166858411,0.008486642460475523,0.999992656534336,5.684704028867782e-06,0.01011999206481943,0.004131282510156314,0.8888303815826605,5.0298525456511044e-05,14.9375,0.3605408602837636,8.14713299678834,23.154765066170643,12.583333333333332,0.8349367290781894,0.6736111111111112,0.02777777777777779,0.010004652998615686,0.004351858269210764,0.8888215323064241,6.740739657878916e-05,0.001,0.0,0.015938400148970737,0.015865173205872066,0.01805736286082442,0.0160732842871538,1.3544057041272994,0.5851271511771395,16.0,0.0,8.0,0.0,16.0,0.0,2.0,0.0,8.0,0.0,16.0,0.0,5.0,0.0,134.4375,3.244867742553873,1033.6423668163313,3315.3445187274483,2.0,0.0,0.001,0.0
H8,task,16,6.0,0.0,0.00982167673042259,0.002827389831425402,0.009964606513510109,0.003117531643314607,0.0016444166568159546,0.0015170120930063239,0.01036925183242146,0.0045184080611818415,0.9999951384010242,9.06538602908778e-06,0.9998914277878287,7.380279682746356e-05,0.05,0.0,0.0,0.0,128.0,0.0,5.0,0.0,6.0,0.0,0.1276595744680851,0.0,1.2,0.0,0.95,0.0,nan,nan,nan,nan,0.01533173403962863,0.008251371096497992,0.9999948704653263,3.5002029469541892e-06,129.47079441590265,181.82621001678586,0.01554568328481384,0.008172266212699812,0.9999942403939637,4.5917954602507606e-06,0.008052575391640318,0.003577642956369616,0.8888506306201616,3.648123981287076e-05,14.958333333333334,0.39309890482064846,3.4377303758822593,4.697478287633223,13.04861111111111,0.9643597419708874,0.6666666666666666,0.0,0.008375364251585724,0.003751003157251798,0.8888406003144476,4.781865880854348e-05,0.001,0.0,0.009165728781800922,0.006019594025080068,0.01074237731219621,0.005954738321223186,1.6253959336905905,1.535722483101178,16.0,0.0,8.0,0.0,16.0,0.0,8.0,0.0,8.0,0.0,16.0,0.0,5.0,0.0,134.625,3.5378901433858383,165.0689751380897,211.9843570209916,8.0,0.0,0.001,0.0
L12,task,16,6.125,0.5,0.00943382905485035,0.0025442593122922243,0.009526841812641348,0.0025224987553520684,0.0010963660251575337,0.0007692988025829162,0.009184553755687531,0.004359061908365406,0.9999982431496817,2.6758448957695614e-06,0.9999029419626749,5.701296066538268e-05,0.05,0.0,0.0,0.0,128.0,0.0,5.0,0.0,6.125,0.5,0.1303191489361702,0.010638297872340427,1.225,0.10000000000000003,0.95,0.0,nan,nan,nan,nan,0.01393814336541108,0.004236985297249916,0.9999967670186496,2.049728186084965e-06,0.6810714222428609,0.1725681886794902,0.014402833673614106,0.005150444118103397,0.9999962581204951,2.7113651964424718e-06,0.00804442975875,0.002301071518277459,0.9230405636156711,2.1448580483779055e-05,15.216346153846153,0.17590285556425986,0.0382511323851947,0.01107284238829712,12.211538461538462,1.153162190446489,0.47115384615384615,0.038461538461538464,0.008466146990559215,0.0028694820597003085,0.9230322657432648,3.280768389156165e-05,0.001,0.0,0.009240878541032182,0.004347645156707016,0.010372664461390176,0.004465499487382514,1.2165065704195208,0.500749999478399,16.0,0.0,8.0,0.0,16.0,0.0,4.0,0.0,12.0,0.0,16.0,0.0,5.0,0.0,197.8125,2.286737122335374,2.5974435014771475,0.4604694598024573,12.0,0.0,0.001,0.0
L2,task,16,16.3125,4.094203219186854,0.18535209940009917,0.1578943464647882,0.18537107017885635,0.15787439115727905,0.0009476690260527602,0.0005525062353344014,0.10387803731649826,0.04649494490050093,0.9999988157392232,1.418852901859892e-06,0.9553409761190919,0.08337374372710579,0.05,0.0,0.0,0.0,128.0,0.0,5.0,0.0,16.3125,4.094203219186854,0.34707446808510634,0.08711070679120966,3.2625,0.8188406438373709,0.95,0.0,nan,nan,nan,nan,0.01762378504270999,0.004552316057944959,0.9999577964350779,1.7492496840710197e-05,0.9032966505563863,0.3333723178236536,0.018216632583657223,0.0044829772438477735,0.9999547585651151,1.853776553265206e-05,0.007512737904778052,0.0017359699590210184,0.6666079509817558,2.4081366778261095e-05,12.833333333333332,1.0954451150103317,0.19625559220866487,0.06667617032464664,10.229166666666666,0.6962199524735141,5.4375,1.3647344063956182,0.008171144726243286,0.0020490870457032973,0.666604254392277,2.496173594501406e-05,0.001,0.0,0.016275505647053462,0.017324716448286336,0.28227788463182757,0.19477736428039183,29.934841613429473,24.74881809062072,16.0,0.0,8.0,0.0,16.0,0.0,4.0,0.0,2.0,0.0,16.0,0.0,5.0,0.0,38.5,3.286335345030997,4.799180939910851,2.1000010277679677,2.0,0.0,0.001,0.0
L4,task,16,6.1875,0.4031128874149275,0.025282660634168667,0.016627501598280758,0.025338878158602897,0.01659135921096682,0.0012726794147805399,0.0006748373734782097,0.027170847807641924,0.030300508121917404,0.9999979533444692,2.1695321586228827e-06,0.9990666168252125,0.00182967107346433,0.05,0.0,0.0,0.0,128.0,0.0,5.0,0.0,6.1875,0.4031128874149275,0.13164893617021275,0.008576869944998459,1.2374999999999998,0.08062257748298549,0.95,0.0,nan,nan,nan,nan,0.012436272978910336,0.002675196923907461,0.9999857872404776,6.216586188338478e-06,0.6252309627665696,0.08517984777583293,0.012568283486181261,0.002636531239190944,0.9999854179521095,5.6786330997846905e-06,0.00680042753902602,0.0013660842907142082,0.7999710265761928,1.1102594021546766e-05,13.8625,0.20289570391377573,0.08990404151868206,0.016477861107186444,11.1125,0.8883505314157619,1.2374999999999998,0.08062257748298549,0.007196988693088466,0.001515924093786635,0.7999677337441722,1.3684359656286623e-05,0.001,0.0,0.011710062680361179,0.009500379844744772,0.05029879591370434,0.11293734395717694,3.8416415939461217,6.031822377917257,16.0,0.0,8.0,0.0,16.0,0.0,4.0,0.0,4.0,0.0,16.0,0.0,5.0,0.0,69.3125,1.0144785195688801,2.4453564399565764,0.3194704284990282,4.0,0.0,0.001,0.0
L6,task,16,6.0625,0.25,0.012552511874156316,0.00431874447277881,0.012719985485145465,0.004313913221752138,0.0013667771870232836,0.0011108704273962715,0.011087059541555068,0.0072764576501943784,0.9999969750140837,4.408762149523972e-06,0.9998195127450435,0.00015709806996290924,0.05,0.0,0.0,0.0,128.0,0.0,5.0,0.0,6.0625,0.25,0.12898936170212766,0.0053191489361702135,1.2125,0.04999999999999999,0.95,0.0,nan,nan,nan,nan,0.017215499755901132,0.008803211475480455,0.9999896904937384,4.797908260325496e-06,4.458880155523169,10.091251380706282,0.016802364049680496,0.008023661281511617,0.9999891783358429,5.3833416622307465e-06,0.00943026635808895,0.004120711933568623,0.8570904354300628,4.6081955763535415e-05,14.705357142857142,0.5123475382979799,0.10724614271674615,0.10117452243779376,12.5625,0.999957482089311,0.8660714285714286,0.035714285714285726,0.009521713455963516,0.004000948887827674,0.8570802484523303,5.594462687693552e-05,0.001,0.0,0.012752882732199248,0.012209647616808332,0.020210107006052296,0.020086800514938143,6.011569025523701,18.230794576765895,16.0,0.0,8.0,0.0,16.0,0.0,4.0,0.0,6.0,0.0,16.0,0.0,5.0,0.0,102.9375,3.5864327680858596,6.811512861110094,10.306139044464302,6.0,0.0,0.001,0.0
L8,task,16,6.0,0.0,0.009517716434152317,0.0038725499087018662,0.009615678936749892,0.0038755274602646707,0.001465196643595982,0.001085175930791128,0.011391394540542183,0.0073742362561678865,0.9999967491924199,4.47150386640305e-06,0.9998935669263214,0.0001067769285278478,0.05,0.0,0.0,0.0,128.0,0.0,5.0,0.0,6.0,0.0,0.1276595744680851,0.0,1.2,0.0,0.95,0.0,nan,nan,nan,nan,0.017502490832949157,0.007821647827658701,0.9999938110379091,2.669200107274815e-06,192.94280502466225,314.80714713106477,0.017044299169550182,0.007569203897612774,0.9999928081144387,4.155119442364974e-06,0.009220280769984782,0.003556973931749647,0.8888417319143647,3.634556334874269e-05,14.986111111111112,0.3781588491974466,5.088162978398694,7.166289198538552,12.95138888888889,1.035158682493842,0.6666666666666666,0.0,0.009269851936090617,0.003671782089761199,0.8888317168111273,4.481921151147555e-05,0.001,0.0,0.012313823547966346,0.010858104951629938,0.016773771584081793,0.019058955825607342,1.358200862221186,0.4672880105592583,16.0,0.0,8.0,0.0,16.0,0.0,4.0,0.0,8.0,0.0,16.0,0.0,5.0,0.0,134.875,3.4034296427770228,234.76902724496063,321.67059879517296,8.0,0.0,0.001,0.0
