exp,checkpoint,checkpoint_file,sweep,sweep_val,d_x,d_model,n_layers,n_heads,episode,probe_kind,gamma,min_explainable_frac,tau_sv,n_build,n_val,n_eval,B_nat,dim_R_nat,dim_over_nctx,dim_over_rT,r_eff_T_task,mean_s,sum_candidate_rank,mean_candidate_rank,E_F_T,E_TQ_T,E_F_TQ,X_use,X_sub,max_val_closure,mean_val_closure,max_build_closure,mean_build_closure,max_val_refinement,mean_val_refinement,max_build_refinement,mean_build_refinement,s_list,candidate_ranks,mse_model,mse_krr,mse_ratio,E_pointwise_F_T
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,2,task,0.95,0.001,0.001,8,16,16,516,8,0.1702127659574468,1.0,8,15.333333333333334,236,26.22222222222222,0.009647460787291942,3.61011798407689e-13,0.009647460787347071,0.9999069795859713,1.0,0.03643390350766573,0.01939549236766302,0.03509007683322471,0.0161840880261778,1.0000000000000018,0.8886685050873739,1.0000000000000002,0.8886841381795976,"[8, 14, 17, 0, 4, 4, 27, 32, 32]","[8, 39, 17, 47, 4, 4, 39, 39, 39]",0.008216035884746065,0.008721588182026273,0.9420343764542716,0.012494153307158725
2b,dx8,model_dx8.pt,dx,8,8,128,8,4,3,task,0.95,0.001,0.001,8,16,16,530,8,0.1702127659574468,1.0,8,13.555555555555555,259,28.77777777777778,0.0077871459041703025,7.701097397632309e-12,0.00778714590476788,0.9999392843272823,1.0,0.043186356629374374,0.02311961470465013,0.028642580491639806,0.015024213797593453,1.0000000000000016,0.8884958184321955,1.0000000000000016,0.8887144997215841,"[8, 30, 1, 0, 8, 14, 16, 22, 23]","[8, 39, 1, 47, 8, 39, 39, 39, 39]",0.05421276855263582,0.056986206862753935,0.951331410479773,0.014012226584939847
2b,dx10,model_dx10.pt,dx,10,10,128,8,4,0,task,0.95,0.001,0.001,8,16,16,616,10,0.2127659574468085,1.0,10,18.77777777777778,232,25.77777777777778,0.01919078321188671,1.3901048649738888e-11,0.019190783212801786,0.9996388164085941,1.0,0.32239767953199966,0.04592853487864631,0.04351099795254761,0.015241508240862888,0.9999997112613936,0.8888128635716348,0.9999999472928316,0.8888088831732517,"[7, 3, 26, 2, 7, 27, 31, 33, 33]","[8, 36, 30, 2, 8, 37, 37, 37, 37]",0.06914823698658967,0.10824657244016317,0.6388030163709213,0.011452534714574069
2b,dx10,model_dx10.pt,dx,10,10,128,8,4,1,task,0.95,0.001,0.001,8,16,16,633,10,0.2127659574468085,1.0,10,19.333333333333332,275,30.555555555555557,0.013955073628414808,9.21043536072195e-13,0.013955073628541046,0.9998048359746426,1.0,0.3378462473580718,0.04856394264980478,0.057500096421273225,0.017436549323931946,1.000000000000003,0.8888001115819666,1.0000000000000029,0.8888014482844147,"[7, 3, 27, 0, 8, 30, 32, 34, 33]","[8, 34, 30, 47, 8, 37, 37, 37, 37]",0.028524527611234377,0.01088801161897238,2.61981054112124,0.013964527646195478
2b,dx10,model_dx10.pt,dx,10,10,128,8,4,2,task,0.95,0.001,0.001,8,16,16,616,10,0.2127659574468085,1.0,10,18.666666666666668,237,26.333333333333332,0.010672978000127209,1.864033909027306e-12,0.010672978000338442,0.9998854869096377,1.0,0.2751011301132756,0.03849141928422462,0.013852880147780446,0.008069549686947402,0.9999989189327406,0.8888454349764525,0.9999992311388411,0.8888437111921867,"[8, 2, 24, 6, 3, 29, 32, 33, 31]","[8, 39, 29, 6, 7, 37, 37, 37, 37]",0.010877037421962221,0.019345981603745087,0.5622375563438246,0.011180588823236476
2b,dx10,model_dx10.pt,dx,10,10,128,8,4,3,task,0.95,0.001,0.001,8,16,16,627,10,0.2127659574468085,1.0,10,19.0,233,25.88888888888889,0.01413872941610825,9.285365345671556e-13,0.014138729416062912,0.9997985928281758,1.0,0.4244833937230479,0.05727000727216953,0.031495510054671716,0.013117022232123928,0.9999998811476062,0.8888158760733641,0.9999999840471415,0.8888219986465137,"[7, 3, 28, 1, 6, 28, 32, 34, 32]","[8, 39, 30, 1, 7, 37, 37, 37, 37]",0.027345937759282193,0.017090297430100855,1.600085538073682,0.0049761943637391046
2b,dx15,model_dx15.pt,dx,15,15,128,8,4,0,task,0.95,0.001,0.001,8,16,16,551,14,0.2978723404255319,0.9333333333333333,15,14.0,213,23.666666666666668,0.012213342587972166,0.25296030288516724,0.25170744445076215,0.9367323003545747,0.9360110851643724,0.5576164424172968,0.0955361156597467,0.11048366550604503,0.031133445946420795,0.9999997500326421,0.8888027807523378,0.9999999266831013,0.8887905279980369,"[8, 6, 20, 2, 6, 27, 28, 28, 1]","[8, 39, 25, 2, 10, 32, 32, 32, 33]",0.06962566758722934,0.05798202853385872,1.2008146204572903,0.010681149483050698
2b,dx15,model_dx15.pt,dx,15,15,128,8,4,1,task,0.95,0.001,0.001,8,16,16,588,14,0.2978723404255319,0.9333333333333333,15,17.0,199,22.11111111111111,0.016330000726512972,0.16568297653605696,0.1662548104071084,0.972324668296841,0.9725491512862073,0.5926837811725919,0.08344151684493288,0.11210149299551156,0.02802830189108554,0.9999993889158948,0.8879257754334104,0.9999997558784214,0.8888270846011467,"[7, 8, 21, 4, 5, 25, 27, 28, 28]","[8, 27, 25, 4, 7, 32, 32, 32, 32]",0.025237288846464034,0.018874245257634377,1.337128372656697,0.01237583278122718
2b,dx15,model_dx15.pt,dx,15,15,128,8,4,2,task,0.95,0.001,0.001,8,16,16,526,13,0.2765957446808511,0.8666666666666667,15,13.0,212,23.555555555555557,0.02619309182806654,0.42543165658470883,0.42384216995208573,0.8166949703071307,0.8190079055759524,0.5234221548349588,0.09765240087688816,0.16977654420550975,0.03421223383356854,0.9999995091884929,0.8888366339293866,0.9999998333185562,0.8888471545054193,"[8, 6, 21, 4, 4, 22, 24, 27, 1]","[8, 39, 25, 4, 7, 32, 32, 32, 33]",0.053841920146550565,0.023455004424836612,2.295540822390002,0.015433234955556947
2b,dx15,model_dx15.pt,dx,15,15,128,8,4,3,task,0.95,0.001,0.001,8,16,16,546,14,0.2978723404255319,0.9333333333333333,15,14.0,200,22.22222222222222,0.014129504364480022,0.23539810298297772,0.23828714076320937,0.9434681218749672,0.9445877331121263,0.41774051551861147,0.07422832996179723,0.10785195672977825,0.04117468160644353,0.9999996547673425,0.8883459914273081,0.9999998240656888,0.8885981356397854,"[7, 7, 19, 3, 5, 27, 28, 29, 1]","[8, 24, 26, 3, 10, 32, 32, 32, 33]",0.01437417966211374,0.016640947760351285,0.8637837140719625,0.014843470782083468
