exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,gamma,min_explainable_frac,ell,s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json
2b,dx3,model_dx3.pt,0,3,8,4,0.95,0.001,0.0,3.0,3.0,2.7774008554978096,2.8734130900859163,7011.159187980721,0.9999986282127878,1.0,0.0011712332014334988,0.0011712332014334988,"[3054.949589785156, 2859.019574857992, 2114.2233311660607, 2.0422389138897157, 1.6233331790101542, 1.546200462444437, 1.4235380345012447, 1.2260446048376916]"
2b,dx3,model_dx3.pt,0,3,8,4,0.95,0.001,1.0,34.0,44.0,5.479163773806252,8.248484303161035,10.239149920886613,0.9999999999999906,0.954167851660642,0.21408444207683203,2.914294712491898e-11,"[3.647892119418235, 3.1498430999847544, 2.783731669364093, 1.7223410159932317, 1.3529530723337815, 1.134545241302045, 1.1232711942249038, 1.0546336812015593]"
2b,dx3,model_dx3.pt,0,3,8,4,0.95,0.001,2.0,7.0,7.0,3.223200816161915,4.6095963635047745,1.6003705824296404,0.9999999999996095,0.9999999999996095,2.060551322382082e-10,2.060551322382082e-10,"[0.12227330495604562, 0.0591460470222187, 0.05410820048632162, 0.05107743971136241, 0.0487377601610535, 0.038322542927363895, 0.03363685359774567, 2.6264055410351435e-11]"
2b,dx3,model_dx3.pt,0,3,8,4,0.95,0.001,3.0,2.0,2.0,1.657922522220424,1.7969756365817273,1.047056182130702,0.9999999999990877,0.9999999999990877,7.525790768309113e-11,7.525790768309113e-11,"[0.24968702299383413, 0.15296137688567224, 1.3588859958903091e-11, 9.59257978011361e-12, 7.09694595926567e-12, 3.826751063498889e-12, 3.464394748418736e-12, 3.400116817157877e-12]"
2b,dx3,model_dx3.pt,0,3,8,4,0.95,0.001,4.0,1.0,1.0,0.9999999999924329,1.0,0.7003744693671675,0.9999999999979614,0.9999999999979614,4.645181106415687e-11,4.645181106415687e-11,"[0.6029332711926573, 1.206567949382233e-11, 9.210876447066696e-12, 8.09631615663027e-12, 3.3855181597155263e-12, 3.156611425057038e-12, 2.8037539026464968e-12, 2.753430522782458e-12]"
2b,dx3,model_dx3.pt,0,3,8,4,0.95,0.001,5.0,27.0,44.0,3.0374099665764724,5.820616467062432,12.917251782017999,0.999999999999994,0.9532976190457549,0.21610733665065407,1.7039497887823284e-12,"[6.21251820769212, 3.115871621149463, 2.50131475616796, 1.692258172582852, 1.4465064458631558, 1.3548273921223126, 1.2798681236467133, 1.1164518521238418]"
2b,dx3,model_dx3.pt,0,3,8,4,0.95,0.001,6.0,26.0,44.0,2.6887210205045537,5.209444454752272,13.456105916702686,0.9999999999999946,0.9503446479738505,0.22283480882964388,1.0949662880619717e-12,"[6.77996121171727, 3.1189581308464085, 2.4819647919999226, 1.6841758912074427, 1.4476946809205107, 1.3368050604611796, 1.2982894395198576, 1.1259893967237196]"
2b,dx3,model_dx3.pt,0,3,8,4,0.95,0.001,7.0,34.0,44.0,4.877709750303642,8.524223888960941,11.153316686896154,0.999999999999992,0.9520889125803716,0.21888601467343757,9.669854968697209e-13,"[4.804439738282432, 3.1066277897915735, 2.475117520973981, 1.7868094531792367, 1.6311423540674206, 1.5122344142572495, 1.4140237114079874, 1.254176898465838]"
2b,dx3,model_dx3.pt,0,3,8,4,0.95,0.001,8.0,34.0,44.0,4.505262442798985,8.158158302505031,11.815689678253852,0.9999999999999929,0.9527615692903165,0.21734403766764893,1.5356976680628604e-12,"[5.246007229523875, 3.1210045360116827, 2.518702010383177, 1.8730009824859741, 1.7567573057024781, 1.5614963091016314, 1.391286818265793, 1.322597476477885]"
2b,dx3,model_dx3.pt,1,3,8,4,0.95,0.001,0.0,3.0,6.0,1.6295366459139946,2.0189445744100736,1730.8014464998105,0.9999807686532542,0.9999986796173942,0.004533398720480897,0.004385355942874033,"[1500.7962317405081, 655.0995492796915, 514.6668371670033, 2.0714025121557054, 1.929696393637446, 1.5141055102329397, 1.3946463982568815, 1.1640668975076613]"
2b,dx3,model_dx3.pt,1,3,8,4,0.95,0.001,1.0,41.0,44.0,5.394623790905053,7.7354570427633025,6.669296877640162,0.9999999999999775,0.9596085959951035,0.2009761279477592,3.933441496030629e-11,"[2.570647921851649, 2.189953579445133, 1.418222077702373, 1.3463510601280415, 1.094018191828078, 0.9941383414117083, 0.958377603949752, 0.7720045312465028]"
2b,dx3,model_dx3.pt,1,3,8,4,0.95,0.001,2.0,0.0,47.0,1.4755485401400633e-31,4.080268124674827,1.8693008081712226e-11,0.0,0.0,0.0,0.0,"[1.587264026181796e-11, 8.077768153098915e-12, 4.4550532966954005e-12, 1.934024089204292e-12, 1.8786112911664637e-12, 1.7777491534738228e-12, 1.6985886649568443e-12, 1.6506300332019362e-12]"
2b,dx3,model_dx3.pt,1,3,8,4,0.95,0.001,3.0,1.0,1.0,0.9999820161483423,1.0,0.6590727201452334,0.999999999997698,0.999999999997698,4.607183360004791e-10,4.607183360004791e-10,"[0.015355974049482501, 6.663659460271483e-12, 5.255803188974333e-12, 2.885722002625705e-12, 1.4394761907576857e-12, 1.2255553494029333e-12, 1.1827133843780324e-12, 1.0805848864938802e-12]"
2b,dx3,model_dx3.pt,1,3,8,4,0.95,0.001,4.0,2.0,2.0,1.1329937424409575,1.2637626338850998,1.0389915197320585,0.9999999999990735,0.9999999999990735,2.8885070923086124e-11,2.8885070923086124e-11,"[0.23670715337492793, 0.0611756524771202, 5.947644256482027e-12, 2.298682396930499e-12, 1.5650029649577913e-12, 1.1188282530860507e-12, 7.853284714779107e-13, 7.749456464907172e-13]"
2b,dx3,model_dx3.pt,1,3,8,4,0.95,0.001,5.0,0.0,47.0,2.606410526287336e-33,4.41398985086611,7.302747651476233e-12,0.0,0.0,0.0,0.0,"[5.598654907856003e-12, 3.197621591026433e-12, 1.5829498566696305e-12, 1.1762256364574762e-12, 6.516029121233651e-13, 6.366124566705019e-13, 6.058746237231403e-13, 5.574444117167554e-13]"
2b,dx3,model_dx3.pt,1,3,8,4,0.95,0.001,6.0,31.0,43.0,1.5790955586478388,2.695909855224689,12.250920190046546,0.9985596892835366,0.9543475836498594,0.21685703447684057,0.03795142574998703,"[7.839616118636451, 2.2185355565789093, 1.4411614419641867, 1.321298255372033, 1.1887614262365869, 1.0331275431184104, 0.9862455008759659, 0.8995838648735328]"
2b,dx3,model_dx3.pt,1,3,8,4,0.95,0.001,7.0,38.0,44.0,2.4951962181151774,4.7530063799118105,9.834708480287551,0.9999999999999897,0.9503198475961454,0.22289044933294988,1.1658093127805062e-12,"[5.580513519369789, 2.238697906164936, 1.671565249830602, 1.5043854635890557, 1.3420749023218694, 1.195247180634166, 1.1348541486896948, 1.0050682666488595]"
2b,dx3,model_dx3.pt,1,3,8,4,0.95,0.001,8.0,38.0,44.0,2.310790089004267,4.415198396174829,10.541104915941757,0.999999999999991,0.9537337412928718,0.21509592908076908,1.1906738138659523e-12,"[6.032223291678732, 2.24872096101451, 1.706173769507264, 1.5340417620355038, 1.3618246704316495, 1.2198740230239125, 1.1571499789822353, 1.0508412704425625]"
2b,dx3,model_dx3.pt,2,3,8,4,0.95,0.001,0.0,3.0,4.0,1.3563841525151354,1.6492002395796967,3109.6941552615517,0.9999917319353757,0.999999859981616,0.002899669265715243,0.002875424251159298,"[2264.3413601632096, 845.9473033349396, 436.4202061232301, 2.3861291139978955, 2.004678029118037, 1.7732025830166596, 1.597343553215072, 1.229424004055889]"
2b,dx3,model_dx3.pt,2,3,8,4,0.95,0.001,1.0,38.0,44.0,4.835705957256702,7.605464790800983,8.648916787066558,0.9999999999999867,0.9570997743695624,0.20712369644834067,1.7065680527854202e-11,"[3.4699723627646857, 2.7166610777830997, 1.6359859309715148, 1.4745464599509022, 1.3697760760228759, 1.2023237242256914, 1.1022047919160063, 1.0082709460515193]"
2b,dx3,model_dx3.pt,2,3,8,4,0.95,0.001,2.0,3.0,3.0,2.7166862183732685,2.834097347531878,1.0487146488161851,0.9999999999990906,0.9999999999990906,2.032071798716239e-10,2.032071798716239e-10,"[0.02695678807360128, 0.024989367593955175, 0.017531268330513744, 2.1974295839835084e-11, 8.968290879071994e-12, 5.2962305301731195e-12, 3.1212421665945616e-12, 2.967368014439815e-12]"
2b,dx3,model_dx3.pt,2,3,8,4,0.95,0.001,3.0,0.0,47.0,5.827911061891986e-32,4.839315050222285,2.140060337400688e-11,0.0,0.0,0.0,0.0,"[1.2567664378663273e-11, 5.324126908925399e-12, 3.688326223201771e-12, 1.9416117964919243e-12, 1.852221168160111e-12, 1.6965597491595001e-12, 1.5150367855113994e-12, 1.4967108480780225e-12]"
2b,dx3,model_dx3.pt,2,3,8,4,0.95,0.001,4.0,3.0,3.0,2.3099407584949216,2.570432723620721,1.1307887126753315,0.9999999999992178,0.9999999999992178,1.605004033726445e-11,1.605004033726445e-11,"[0.3640120259305874, 0.2655173518243097, 0.17166379884756133, 6.2069483971502955e-12, 3.113233399109099e-12, 1.6672478156997973e-12, 1.3683106934615683e-12, 1.16718381835096e-12]"
2b,dx3,model_dx3.pt,2,3,8,4,0.95,0.001,5.0,30.0,44.0,2.098971958766189,3.9198314005641555,11.036732785040318,0.9999999999999918,0.9506010726490595,0.22225869465767217,6.032737079492321e-13,"[7.136027218796803, 3.029291513137726, 1.5855604669927805, 1.4495968000830333, 1.270836502137525, 1.2419485984934455, 1.1339140211519414, 1.026842297077536]"
2b,dx3,model_dx3.pt,2,3,8,4,0.95,0.001,6.0,30.0,44.0,1.9965834453197306,3.697178548161277,11.5742465834945,0.9999999999999926,0.9523210264972891,0.2183551545137036,5.116314234452457e-13,"[7.515620442536173, 3.0319756861866654, 1.6085111395121212, 1.4549253024038358, 1.296502117896316, 1.2503744216171266, 1.1255334792661817, 1.065451758612817]"
2b,dx3,model_dx3.pt,2,3,8,4,0.95,0.001,7.0,37.0,44.0,3.3465424428405792,6.262408561658334,9.748813638417417,0.9999999999999896,0.952394751239964,0.21818627078720038,9.753140318241802e-13,"[5.501191362627277, 3.0292262257675464, 1.8812907499877938, 1.6133849965779319, 1.4909521522233566, 1.4255239769263262, 1.2706644859833378, 1.2639848057690766]"
2b,dx3,model_dx3.pt,2,3,8,4,0.95,0.001,8.0,37.0,44.0,3.3322665328775876,6.325994023300761,10.562323206752351,0.9999999999999911,0.9583947780436854,0.2039735815156109,9.479536578763093e-13,"[5.9261723896029315, 3.104394410202657, 2.084377367702883, 1.7967903971349362, 1.5844924267810268, 1.4796338448124284, 1.3909003523269274, 1.3560765616169894]"
2b,dx3,model_dx3.pt,3,3,8,4,0.95,0.001,0.0,2.0,8.0,1.5476224918016548,1.8670039255936735,1742.7373877264995,0.9999821018008364,0.9627296212468278,0.19309999968843636,0.0042306263323111815,"[1364.4163814837773, 653.1672480134503, 300.58652868610494, 2.2223793300698973, 1.9583994131950508, 1.717504219867727, 1.613461044017008, 1.5304443174528124]"
2b,dx3,model_dx3.pt,3,3,8,4,0.95,0.001,1.0,1.0,16.0,1.0012243061502113,1.006433529588837,224.2569602900952,0.999613717760737,0.9993533191714529,0.0321358563989126,0.019654064191993805,"[200.76778972514637, 2.8729341405092157, 2.230083620525526, 1.5181878319453357, 1.4431770934650185, 1.2491756919511083, 1.1730028768520022, 1.0449633777886425]"
2b,dx3,model_dx3.pt,3,3,8,4,0.95,0.001,2.0,36.0,42.0,2.4256525998154217,4.193724392789414,9.208340198426544,0.9999999999999882,0.9547799425773941,0.21265008211283207,5.077804083305365e-12,"[5.338793522634794, 2.6202941775369992, 1.4641130786500045, 1.4064502894810718, 1.2244944321146358, 1.1270310660479728, 1.0707295882896182, 0.9590335340666277]"
2b,dx3,model_dx3.pt,3,3,8,4,0.95,0.001,3.0,5.0,5.0,3.9133743225556477,4.3120585884612606,1.7243596372149037,0.9999999999996636,0.9999999999996636,1.0280036309148988e-10,1.0280036309148988e-10,"[0.01726715084453098, 0.015735872538341612, 0.012698242262162533, 0.010034991317296843, 0.007249738474136846, 6.085884461632049e-12, 3.3110891714154137e-12, 1.9180368549019313e-12]"
2b,dx3,model_dx3.pt,3,3,8,4,0.95,0.001,4.0,2.0,2.0,1.0010602664989263,1.0045366022353546,1.5424298667327374,0.9999999999995797,0.9999999999995797,2.0526437889967386e-11,2.0526437889967386e-11,"[1.5232879519582287, 0.03507313525531757, 3.3566817300090774e-12, 1.5518872213589636e-12, 1.1434203281557378e-12, 7.907330929823958e-13, 6.41483207989507e-13, 5.807516359633936e-13]"
2b,dx3,model_dx3.pt,3,3,8,4,0.95,0.001,5.0,1.0,1.0,0.9999999999998612,1.0,1.6038264156035154,0.9999999999996112,0.9999999999996112,2.939255296844558e-12,2.939255296844558e-12,"[1.638561775210187, 2.9932473849333637e-12, 1.7092147340783269e-12, 9.809964780825382e-13, 6.635561223945743e-13, 5.178791066109895e-13, 4.926363681690654e-13, 4.622289762754514e-13]"
2b,dx3,model_dx3.pt,3,3,8,4,0.95,0.001,6.0,35.0,44.0,2.3424410104272955,4.451093287054596,10.840857541533786,0.9999999999999916,0.9526930017482776,0.21750172011208083,7.933460627110713e-13,"[6.067166577431854, 2.4540123028117193, 1.5469540630156071, 1.4709196363628072, 1.3535330259176683, 1.3075852087773938, 1.1913429017648998, 1.061250207334791]"
2b,dx3,model_dx3.pt,3,3,8,4,0.95,0.001,7.0,39.0,44.0,3.9467239865346713,7.04890283342356,9.413314928639673,0.9999999999999888,0.9500063078677035,0.22359269248409103,1.2596464297403224e-12,"[4.632448509238698, 2.4327999569864462, 1.760362769886155, 1.6503284542428798, 1.5704973547494485, 1.4287582504141458, 1.3433092070622572, 1.2266789128228521]"
2b,dx3,model_dx3.pt,3,3,8,4,0.95,0.001,8.0,39.0,44.0,3.708896187344305,6.772701562279456,9.689530580208825,0.9999999999999895,0.9504284705593316,0.22264664704562193,7.724164219700582e-13,"[4.944385959624244, 2.464464216936545, 1.7974560575543388, 1.7348056819121265, 1.591208671732076, 1.4976353446332202, 1.3795513767444967, 1.2642164326992047]"
2b,dx5,model_dx5.pt,0,5,8,4,0.95,0.001,0.0,5.0,5.0,2.399898019142578,3.2574281228817825,6069.578644358955,0.9999991601060887,1.0,0.0009164572610527893,0.0009164572610527893,"[4239.948548709403, 2122.154272749206, 1691.9424597917484, 1570.3407550738261, 1263.0889746127446, 1.381054401283152, 1.1405051811367897, 0.951057209296864]"
2b,dx5,model_dx5.pt,0,5,8,4,0.95,0.001,1.0,26.0,42.0,2.1453737738176106,4.1639772783406,10.968386322576928,0.9999999999999918,0.9521350656714155,0.2187805620446577,1.1587543958865603e-11,"[8.328240651291207, 3.0420839822530397, 2.347467321024983, 1.952258544867498, 1.7958996374053924, 1.535226589568373, 1.2998502713780702, 1.2301853887508778]"
2b,dx5,model_dx5.pt,0,5,8,4,0.95,0.001,2.0,11.0,11.0,6.208658583643862,7.533689960661898,1.772749353951959,0.9999999999996818,0.9999999999996818,9.493125880767459e-11,9.493125880767459e-11,"[0.24612278488099465, 0.22214568257593123, 0.18541558872955666, 0.17132258323333438, 0.14359098546035406, 0.11588986235792384, 0.1025373896853584, 0.09001218417682025]"
2b,dx5,model_dx5.pt,0,5,8,4,0.95,0.001,3.0,4.0,4.0,3.4931438649096824,3.7287411394138372,0.9475868640663113,0.9999999999988863,0.9999999999988863,7.580066283931458e-11,7.580066283931458e-11,"[0.5351158697984231, 0.43765729109434853, 0.36914698347055497, 0.32571626650797525, 2.832069713608276e-11, 2.0537906380139404e-11, 1.0976017651478311e-11, 8.23947197950604e-12]"
2b,dx5,model_dx5.pt,0,5,8,4,0.95,0.001,4.0,1.0,1.0,0.9999999999924643,1.0,0.6457231212851824,0.9999999999976017,0.9999999999976017,7.935553186759183e-11,7.935553186759183e-11,"[0.6035575045794781, 2.9306057717907086e-11, 1.6794663151737974e-11, 1.1592001109878422e-11, 8.42115623639425e-12, 6.608006537870051e-12, 5.023512806144812e-12, 3.8809450600120244e-12]"
2b,dx5,model_dx5.pt,0,5,8,4,0.95,0.001,5.0,10.0,42.0,1.349075059252487,2.2082987946018164,18.41760721799589,0.999999999999997,0.9515232521864968,0.22017435775652952,1.2029648051378721e-12,"[13.42228895414801, 2.5217747335735616, 1.9612534855621215, 1.6626784252436748, 1.6069518656550568, 1.346358913200088, 1.2350954659769324, 1.1606600861769991]"
2b,dx5,model_dx5.pt,0,5,8,4,0.95,0.001,6.0,14.0,42.0,1.4522930383433108,2.553260054848484,17.156171342559936,0.9999999999999966,0.9523921049525693,0.21819233498779728,1.0625966081795214e-12,"[11.998944399949973, 2.5103866668487673, 1.9422454164551195, 1.6499533713415262, 1.6016581765668747, 1.355267613402435, 1.2946838552454354, 1.2140770850238647]"
2b,dx5,model_dx5.pt,0,5,8,4,0.95,0.001,7.0,31.0,42.0,2.2796105120163346,5.09388841097945,12.739913344748556,0.9999999999999939,0.9520718566632652,0.21892497193497262,1.1653557127737588e-12,"[8.010989431435778, 2.404736913268293, 1.9325926851112591, 1.7635710063901822, 1.6986904117052086, 1.6020953987014486, 1.3955372886626962, 1.3574131114136991]"
2b,dx5,model_dx5.pt,0,5,8,4,0.95,0.001,8.0,29.0,42.0,2.360152703857019,5.165322023857668,14.565476833943947,0.9999999999999953,0.9555580964863358,0.21081248424526355,1.4698575355854434e-12,"[8.841435020279894, 3.024342697025033, 2.4853870739177912, 1.9287029402293407, 1.770711105526322, 1.6265524305766526, 1.6099379820673123, 1.4978245682562443]"
2b,dx5,model_dx5.pt,1,5,8,4,0.95,0.001,0.0,5.0,5.0,2.1917600711811613,2.787110979547583,7228.498124815996,0.999998554329199,1.0,0.001202360512111126,0.001202360512111126,"[3674.0421630944684, 2134.068511253857, 1582.0213262134455, 822.6518107180738, 455.0733719483897, 1.4708729553902067, 1.149625005497253, 0.890894007312254]"
2b,dx5,model_dx5.pt,1,5,8,4,0.95,0.001,1.0,29.0,42.0,3.411586091594813,5.776879438890609,12.75664172225691,0.9999999999999939,0.9509830325110631,0.22139775854540805,2.102720170499593e-11,"[4.939638081829654, 3.308753168829788, 2.267637698152293, 1.4500772285077876, 1.2207024431342057, 1.144289265551637, 0.9980107479935021, 0.8629436910758189]"
2b,dx5,model_dx5.pt,1,5,8,4,0.95,0.001,2.0,8.0,8.0,4.078779011290097,5.549454420581159,1.6582596382706536,0.9999999999996363,0.9999999999996363,8.580795433684958e-11,8.580795433684958e-11,"[0.23854227415848675, 0.14213833247819405, 0.12318538832029084, 0.10943450676237276, 0.10431621095216576, 0.0875338068659007, 0.06863999503502535, 0.06250718639761114]"
2b,dx5,model_dx5.pt,1,5,8,4,0.95,0.001,3.0,3.0,3.0,1.9101200504689142,2.1563933952951313,0.898243193174005,0.9999999999987607,0.9999999999987607,1.0208756407703349e-10,1.0208756407703349e-10,"[0.4869436138615166, 0.3322373337787254, 0.12058136052360097, 2.0539174345022577e-11, 1.2327775355595862e-11, 7.521252682652702e-12, 5.781807592551179e-12, 5.3581683561790156e-12]"
2b,dx5,model_dx5.pt,1,5,8,4,0.95,0.001,4.0,2.0,2.0,1.9500492899206308,1.9744391514866326,0.7760511975510385,0.9999999999983397,0.9999999999983397,5.429401575153186e-11,5.429401575153186e-11,"[0.48430543591584846, 0.4121060227114371, 1.665952099848776e-11, 1.1506476954467626e-11, 7.658981159107158e-12, 5.288894542854259e-12, 4.125384670119553e-12, 3.4340927452480852e-12]"
2b,dx5,model_dx5.pt,1,5,8,4,0.95,0.001,5.0,22.0,42.0,2.4280015347076453,4.710240609525743,13.349807292085234,0.9999999999999944,0.9528168587746554,0.21721680695871373,1.0280306918889125e-12,"[6.902896222549918, 3.4051545695202083, 1.9643533789095666, 1.405557442705973, 1.255413727475392, 1.1536906110332354, 1.1101847910855869, 0.9932418401354609]"
