episode,probe_kind,eps,additivity_defect
0,isotropic,0.001,0.0023869214566666175
0,isotropic,0.003,0.001757846582452125
0,isotropic,0.01,0.00498713617786898
0,isotropic,0.03,0.015158485908761486
0,isotropic,0.1,0.050428060492175394
0,label,0.001,0.00032248402137715406
0,label,0.003,0.00013172010661247386
0,label,0.01,0.0002271635592077668
0,label,0.03,0.0006831525629212766
0,label,0.1,0.002245267434718912
1,isotropic,0.001,0.007057484540212858
1,isotropic,0.003,0.0027730565640250154
1,isotropic,0.01,0.005132001353074393
1,isotropic,0.03,0.014865013783184205
1,isotropic,0.1,0.04897910436906941
1,label,0.001,0.0006351011132447652
1,label,0.003,0.0002115863840014108
1,label,0.01,0.0003694567180784065
1,label,0.03,0.001091203060683177
1,label,0.1,0.0035828697212325167
2,isotropic,0.001,0.0020476493558465587
2,isotropic,0.003,0.0013244161309395085
2,isotropic,0.01,0.003595287316149919
2,isotropic,0.03,0.01080115840714955
2,isotropic,0.1,0.03587535015777079
2,label,0.001,0.00011023425280462413
2,label,0.003,8.947438386275178e-05
2,label,0.01,0.00026298120195340557
2,label,0.03,0.0007779671422247183
2,label,0.1,0.0021541689185846503
3,isotropic,0.001,0.00347400041910153
3,isotropic,0.003,0.0013153641107470492
3,isotropic,0.01,0.0031265360585675593
3,isotropic,0.03,0.00940940299759
3,isotropic,0.1,0.03141763457476876
3,label,0.001,0.00039853629011227536
3,label,0.003,0.00013135898456256297
3,label,0.01,0.00024819100753923945
3,label,0.03,0.0007012550026162519
3,label,0.1,0.002313202584828353
