bank_index,base_mse,krr_mse,base_mse_ratio
0,0.009445867772318674,0.007658304132117054,1.2334150758919349
1,617133.4252126841,0.0006020054103044348,1025129367.0277797
2,854428.9210483957,0.0025670360456740626,332846483.5888334
3,209280.7234368074,0.007514747198796551,27849336.498015884
4,0.027395617830372043,0.027329011379777106,1.0024372067349727
5,2463147.205045896,0.0009164593087448788,2687677654.144031
6,0.05800751658105996,0.0633091260848202,0.9162583685540493
7,420367.2626963608,0.0013033407478667742,322530591.77685606
8,74125.61218855558,0.00038425043129122446,192909639.52718526
9,0.019474529455699875,0.012509687415433356,1.556755881180045
10,0.012795782924780846,0.01400874282871569,0.9134140787102988
11,773919.8774994764,0.0013476570944672896,574270621.7158277
12,338436.9169574699,0.0016317072381964557,207412769.29772526
13,427735.3064499207,0.0023600652797198148,181238760.6925437
14,551029.5653887995,0.0022200284906775418,248208330.524906
15,0.7884800469169828,0.008967951216670387,87.92198216369525
16,9280.008014236193,0.0066817581558272655,1388857.2135977345
17,0.03807726294988911,0.03462692288115649,1.0996432770123576
18,40364.86595100388,0.0012247472525238,32957710.962670222
19,179.69473302205847,0.009067484933464954,19817.483496318513
20,3026.659042488181,0.0024176150414235353,1251919.3463927284
21,1248461.3079961468,0.005676943485614943,219917867.97942907
22,0.006980342382823179,0.007754518798941577,0.900164480067536
23,48553.654524044454,0.006675875076989265,7273002.260243243
24,871531.0770539064,0.0019059286161568032,457273724.5591597
25,1047.7729729440175,0.0060330651097541595,173671.7495804903
26,10306.454939921085,0.0024328909455457555,4236299.600189889
27,2364074.795230301,0.0023238171522893527,1017323928.8217181
28,2083134.2092199859,0.0020463616931276087,1017969705.0701604
29,318.61666001721034,0.012205383885653773,26104.59965882047
30,0.11259836895860702,0.09790126278990431,1.1501217221298017
31,20.964623837737633,0.0068141445113539655,3076.63328871374
32,0.06452558329342335,0.05929498899419137,1.088213091661833
33,0.021681684628765248,0.008430142427238451,2.5719238809904357
34,350734.1453206608,0.008979296427712146,39060314.819122754
35,3359487.438815045,5.925150319096725e-05,56698771472.30234
36,628834.5973899912,0.0017166566867459752,366313545.53599447
37,220083.0226284998,0.008224127545732717,26760652.896573216
38,0.014691604033494335,0.01511581174143956,0.9719361609418387
39,443787.86260423844,0.004257178215998304,104244605.24967021
40,762928.7221648883,0.00212714533830909,358663185.0794716
41,0.017861370038997616,0.011107384064432171,1.6080627027378043
42,43621.01999049441,0.003204432872693945,13612711.429284057
43,3.118772351227844,0.002959598396982109,1053.7822815447003
44,0.0331243018317839,0.03726695546569739,0.8888384204680573
45,3116318.6538526984,0.0031008828842821754,1004977862.8044175
46,2.5307554033515465,0.02211559375271003,114.43307521605335
47,0.04249988799814818,0.042126567504271385,1.0088618778123555
48,586.7900745735642,0.022444344048761465,26144.229178573154
49,0.14466231231612228,0.1488601318100764,0.9718002433364098
50,0.015538276034489507,0.014078656648693937,1.1036760411321613
51,379318.2459844382,0.007518786404420519,50449397.75938118
52,146081.9786947615,0.0008469911953992348,172471661.43905994
53,0.07227731093847045,0.07790934969906158,0.927710361049786
54,420.0650265946866,0.010929500120221956,38434.056633338136
55,0.005542995854086386,0.0026835372590457043,2.065555764281632
56,234.21745802275865,0.005540348840071289,42274.85755567422
57,66781.41191300338,0.0005383381046988017,124051058.86080152
58,911315.723310858,0.0017444807648983457,522399410.5569643
59,5067108.413838489,0.0010173206630399191,4980837014.257773
60,3289.6469866154657,0.0064520098240322885,509863.9147079828
61,0.02524885181765229,0.020467069489927103,1.2336329746707777
62,0.028910062108119132,0.027710063961045157,1.043305498997077
63,1964414.384900359,0.002916395081698959,673576223.3407624
64,53.395065491341235,0.008793314647076379,6072.234149962341
65,0.8505540693373111,0.020208842815778998,42.08821242714607
66,2304.2713575299217,0.007419525550956178,310568.55882556573
67,1502313.3424035283,0.0051784457876650125,290108925.34242964
68,119370.56189673269,0.0049983169877768265,23882151.16981343
69,8263.457266329016,0.013232607984019661,624476.8435903465
70,1004611.258345991,0.0002745331272033658,3659344387.979107
71,547924.5698106693,0.004442278322876599,123343142.86185035
72,20218.944327580568,0.0005356882316708434,37743865.05471005
73,22122.9110487431,0.005042704121844861,4387112.651108605
74,329350.93038416124,0.0015996986645491133,205883106.4142891
75,41488.13028071826,0.017114295717998485,2424179.818108828
76,608583.9500271453,0.001987819749897871,306156506.4228851
77,135465.46683323523,0.0006682166864763349,202726854.2897017
78,12980.998819795224,0.0006778436070086129,19150433.353029
79,1082103.5795262873,0.0011394129452147257,949702725.4876077
