name,n,mse_mean,mse_std,mse_ratio_mean,mse_ratio_std,mse_repair_factor_mean,mse_repair_factor_std,point_err_mean,point_err_std,point_drift_mean,point_drift_std,E_F_T_mean,E_F_T_std,damage_vs_base_mean,damage_vs_base_std,rank_Q_mean,rank_Q_std,r_T_mean,r_T_std,rho_TQ_mean,rho_TQ_std
base,60,605206.9048966042,982991.1721537982,1325374848.0194957,7320876601.545553,1.0,0.0,76678.39944428766,197784.93857525356,0.0,0.0,2343163.415459613,11543886.456687912,0.0,0.0,11.166666666666666,11.25086311817697,3.683333333333333,3.4762714619022717,0.07075628598921511,0.08584612223657107
keep_Q,60,37104.757871835274,125579.2623621381,22020793.355952345,79733058.06426913,128080549.9256461,297272732.6814018,4289.016195353128,12254.528253950373,0.91457803921533,0.17162441101338569,131531.60816834113,881282.7865435114,2361712.4276956064,11618467.791633219,11.166666666666666,11.25086311817697,3.683333333333333,3.4762714619022717,0.07075628598921511,0.08584612223657107
keep_krr_oracle,60,4180.388068276258,18204.14954046409,5645085.543185162,29085386.55060541,139544827.4440301,307364893.51995987,1829.0109723295643,7569.120290004408,0.9760652404764837,0.07409279288909595,,,,,11.166666666666666,11.25086311817697,3.683333333333333,3.4762714619022717,0.07075628598921511,0.08584612223657107
keep_random_A,300,3956.889753728369,18057.40649787097,20066302.008205317,172420779.1381872,165385022.166091,407189050.11141646,2817.1256164632564,16123.0151975676,0.9800883968618952,0.0660643740373863,,,,,11.166666666666666,11.175353116560641,3.683333333333333,3.4529405173382983,0.07075628598921513,0.08526996725532644
keep_response_svd,60,40068.837335739656,125250.09585167127,23978248.790435053,79709933.03159389,71696898.57299279,186488972.91098806,5608.488036006729,12405.158326169172,0.9045408772866794,0.16954544452969164,,,,,11.166666666666666,11.25086311817697,3.683333333333333,3.4762714619022717,0.07075628598921511,0.08584612223657107
remove_Q,60,382919.73363769543,784413.9291202835,1260408492.7327259,8082523644.778655,4915425.463113799,21536490.68231169,56625.404043575734,133885.93937705984,0.7170701684922391,0.40130781627241496,852214.7701921134,2132111.2175094946,2153620.5929465755,11628781.890272258,11.166666666666666,11.25086311817697,3.683333333333333,3.4762714619022717,0.07075628598921511,0.08584612223657107
zero_context,60,0.008025177486096973,0.008891702013277785,1.6191974373988425,1.1170010457108366,582898253.0262411,1790581410.5751386,1.472700356504017,2.0727435735240536,0.999919747812693,0.001224480459627075,,,,,11.166666666666666,11.25086311817697,3.683333333333333,3.4762714619022717,0.07075628598921511,0.08584612223657107
