basis,layer,n,best_model_excess_mean,best_model_excess_std,best_op_excess_mean,best_op_excess_std,best_op_signal_error_mean,best_op_signal_error_std,best_rank_mean,best_rank_std,candidate_dim_mean,candidate_dim_std,layer_mean,layer_std,model_excess_at_oracle_mean,model_excess_at_oracle_std,model_excess_at_strict_mean,model_excess_at_strict_std,op_excess_at_oracle_mean,op_excess_at_oracle_std,op_excess_at_strict_mean,op_excess_at_strict_std,op_signal_error_at_oracle_mean,op_signal_error_at_oracle_std,op_signal_error_at_strict_mean,op_signal_error_at_strict_std,r_eff_T_task_mean,r_eff_T_task_std,r_eff_T_task_strict_mean,r_eff_T_task_strict_std,rank_at_oracle_mean,rank_at_oracle_std,rank_at_strict_mean,rank_at_strict_std,reach_alpha_mean,reach_alpha_std,rank_to_alpha_mean,rank_to_alpha_std
combined,0,8,0.6713322179429928,0.10116475621278491,0.6957642064143146,0.07120291150132713,0.16398755157110156,0.003210483347409143,23.0,0.0,23.0,0.0,0.0,0.0,0.6716100628272672,0.10184328022626021,0.6713322179429928,0.10116475621278491,0.6958778020939758,0.07141555148986949,0.6957642064143146,0.07120291150132713,0.1639992337490786,0.0032235402426332416,0.16398755157110156,0.003210483347409143,24.75,1.4880476182856899,47.125,0.8345229603962802,22.875,0.3535533905932738,23.0,0.0,0.0,0.0,,
combined,1,8,0.5432320313085174,0.06890412661281128,0.5534583316828348,0.04993194319788941,0.14662871878988687,0.010562570501952027,25.25,1.0350983390135313,25.25,1.0350983390135313,1.0,0.0,0.5444885058769731,0.07008152148566944,0.5432320313085174,0.06890412661281128,0.5540652423797956,0.049995323274315,0.5534583316828348,0.04993194319788941,0.14670426213947652,0.010499719696018673,0.14662871878988687,0.010562570501952027,24.75,1.4880476182856899,47.125,0.8345229603962802,24.5,1.3093073414159542,25.25,1.0350983390135313,0.0,0.0,,
combined,2,8,0.35588593245998723,0.0517658727641817,0.3601396800114339,0.04432377294897915,0.11831382848054023,0.011468352041165052,30.75,1.2817398889233114,30.75,1.2817398889233114,2.0,0.0,0.36077370236891393,0.05347573967845334,0.35588593245998723,0.0517658727641817,0.3644645160436899,0.04431290582552837,0.3601396800114339,0.04432377294897915,0.11901727434559844,0.011377703769211081,0.11831382848054023,0.011468352041165052,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,30.75,1.2817398889233114,0.0,0.0,,
combined,3,8,0.2832566529834689,0.0554450864519106,0.2862235710420423,0.05500428810056128,0.10538951650434839,0.014253634879089254,34.625,1.407885953173359,34.625,1.407885953173359,3.0,0.0,0.28954050522322666,0.05668601295042682,0.2832566529834689,0.0554450864519106,0.29236845933379196,0.05478886292088919,0.2862235710420423,0.05500428810056128,0.10652273722390292,0.014121077224313145,0.10538951650434839,0.014253634879089254,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,34.625,1.407885953173359,0.0,0.0,,
combined,4,8,0.21347059763460388,0.036998819322480496,0.21476510225101458,0.0438293818545779,0.09127128241856303,0.012569681360528662,38.0,0.9258200997725514,38.0,0.9258200997725514,4.0,0.0,0.22198803191964822,0.03921414830701624,0.21347059763460388,0.036998819322480496,0.2224458595822828,0.044112767861231056,0.21476510225101458,0.0438293818545779,0.09289994517928057,0.012527330997295942,0.09127128241856303,0.012569681360528662,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,38.0,0.9258200997725514,0.0,0.0,,
combined,5,8,0.1774477067118897,0.02004826994675507,0.17657427046113192,0.027567948888256012,0.08289682814012529,0.010190188428167787,39.875,1.1259916264596033,39.875,1.1259916264596033,5.0,0.0,0.18687468836968185,0.02139273382616265,0.1774477067118897,0.02004826994675507,0.18539545305024668,0.027381995995142336,0.17657427046113192,0.027567948888256012,0.08495428094184215,0.010104247355961273,0.08289682814012529,0.010190188428167787,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,39.875,1.1259916264596033,0.0,0.0,,
combined,6,8,0.15490652459096782,0.015067800176446053,0.15026213052592885,0.021996766591171658,0.07649269365766921,0.00919401007418772,41.125,0.9910312089651149,41.125,0.9910312089651149,6.0,0.0,0.1647681036825677,0.015463779144410206,0.15490652459096782,0.015067800176446053,0.1591315393564875,0.02151859163485541,0.15026213052592885,0.021996766591171658,0.07872483866739222,0.009018578821000833,0.07649269365766921,0.00919401007418772,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,41.125,0.9910312089651149,0.0,0.0,,
combined,7,8,0.07643768609492065,0.011414260266606106,0.05991333965243169,0.010901105995491751,0.04820197991576837,0.00607761614308766,53.5,2.390457218668787,53.5,2.390457218668787,7.0,0.0,0.10269605003243198,0.010024867993577487,0.07665142874338118,0.011323428673560867,0.08562884541298248,0.009519766794670726,0.06001582375162128,0.010845370694364947,0.05771435449210294,0.005400554260898461,0.04824443647189221,0.006048586691691519,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,47.125,0.8345229603962802,0.125,0.3535533905932738,33.0,0.0
combined,8,8,0.09659308547272033,0.010580182224397819,0.08119331613048639,0.012447016749596317,0.0561856450943608,0.006626395577330088,49.125,2.416461403433896,49.125,2.416461403433896,8.0,0.0,0.11546281731618047,0.007375825399466333,0.09666017264518473,0.01055246112348256,0.10038059983115102,0.010461595994795087,0.08122769646931086,0.012412186153869461,0.0625220735989125,0.006007563299602541,0.05619800966183066,0.006613620134330433,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,46.75,1.0350983390135313,0.0,0.0,,
raw,0,8,1.7716382276730243,0.2686347579292835,1.8133540475619192,0.12708640542541355,0.265177587925128,0.009978741959202531,7.0,0.0,7.0,0.0,0.0,0.0,1.7716382276730243,0.2686347579292835,1.7716382276730243,0.2686347579292835,1.8133540475619192,0.12708640542541355,1.8133540475619192,0.12708640542541355,0.265177587925128,0.009978741959202531,0.265177587925128,0.009978741959202531,24.75,1.4880476182856899,47.125,0.8345229603962802,7.0,0.0,7.0,0.0,0.0,0.0,,
raw,1,8,0.7037574356594845,0.16019978876755608,0.7692919598316079,0.09551258065068434,0.17280057195866436,0.015751349135397115,15.75,0.8864052604279183,15.75,0.8864052604279183,1.0,0.0,0.7037574356594845,0.16019978876755608,0.7037574356594845,0.16019978876755608,0.7692919598316079,0.09551258065068434,0.7692919598316079,0.09551258065068434,0.17280057195866436,0.015751349135397115,0.17280057195866436,0.015751349135397115,24.75,1.4880476182856899,47.125,0.8345229603962802,15.75,0.8864052604279183,15.75,0.8864052604279183,0.0,0.0,,
raw,2,8,0.5634032402320872,0.16458632450308117,0.5779957873168035,0.10225215381761531,0.1494955693677008,0.016660177091063592,17.625,0.9161253813129043,17.625,0.9161253813129043,2.0,0.0,0.5634032402320872,0.16458632450308117,0.5634032402320872,0.16458632450308117,0.5779957873168035,0.10225215381761531,0.5779957873168035,0.10225215381761531,0.1494955693677008,0.016660177091063592,0.1494955693677008,0.016660177091063592,24.75,1.4880476182856899,47.125,0.8345229603962802,17.625,0.9161253813129043,17.625,0.9161253813129043,0.0,0.0,,
raw,3,8,0.5631556019635899,0.17385441223745093,0.5873976701326192,0.12376195172532857,0.1504520549301343,0.01770027000180036,17.875,0.9910312089651149,17.875,0.9910312089651149,3.0,0.0,0.5631556019635899,0.17385441223745093,0.5631556019635899,0.17385441223745093,0.5873976701326192,0.12376195172532857,0.5873976701326192,0.12376195172532857,0.1504520549301343,0.01770027000180036,0.1504520549301343,0.01770027000180036,24.75,1.4880476182856899,47.125,0.8345229603962802,17.875,0.9910312089651149,17.875,0.9910312089651149,0.0,0.0,,
raw,4,8,0.5571519113819984,0.15471414263766867,0.5764416905625858,0.11109083136508605,0.14926618614386997,0.018143763744905766,18.25,1.0350983390135313,18.25,1.0350983390135313,4.0,0.0,0.5571519113819984,0.15471414263766867,0.5571519113819984,0.15471414263766867,0.5764416905625858,0.11109083136508605,0.5764416905625858,0.11109083136508605,0.14926618614386997,0.018143763744905766,0.14926618614386997,0.018143763744905766,24.75,1.4880476182856899,47.125,0.8345229603962802,18.25,1.0350983390135313,18.25,1.0350983390135313,0.0,0.0,,
raw,5,8,0.610578963062324,0.18199813678296492,0.6349088003440575,0.13053668149019168,0.15636999594891737,0.017049168299033038,17.875,0.9910312089651149,17.875,0.9910312089651149,5.0,0.0,0.610578963062324,0.18199813678296492,0.610578963062324,0.18199813678296492,0.6349088003440575,0.13053668149019168,0.6349088003440575,0.13053668149019168,0.15636999594891737,0.017049168299033038,0.15636999594891737,0.017049168299033038,24.75,1.4880476182856899,47.125,0.8345229603962802,17.875,0.9910312089651149,17.875,0.9910312089651149,0.0,0.0,,
raw,6,8,0.5295676786618484,0.16880099184171965,0.538319798095261,0.13201283183884382,0.14396569902875644,0.02203766082552181,18.875,1.246423454758225,18.875,1.246423454758225,6.0,0.0,0.5295676786618484,0.16880099184171965,0.5295676786618484,0.16880099184171965,0.538319798095261,0.13201283183884382,0.538319798095261,0.13201283183884382,0.14396569902875644,0.02203766082552181,0.14396569902875644,0.02203766082552181,24.75,1.4880476182856899,47.125,0.8345229603962802,18.875,1.246423454758225,18.875,1.246423454758225,0.0,0.0,,
raw,7,8,0.13619240003263153,0.015383570486842794,0.1212829777473798,0.013855443452566956,0.0687169736253858,0.006916318504348532,28.375,0.9161253813129043,28.375,0.9161253813129043,7.0,0.0,0.14013200172265508,0.014336060131883575,0.13619240003263153,0.015383570486842794,0.12620420047673708,0.013982078939785942,0.1212829777473798,0.013855443452566956,0.07009226234682836,0.00687189376079722,0.0687169736253858,0.006916318504348532,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,28.375,0.9161253813129043,0.0,0.0,,
raw,8,8,0.14397277413786524,0.023864390907689235,0.1273211087983424,0.02002786376389308,0.07035261924228493,0.008319253016307728,28.0,0.7559289460184544,28.0,0.7559289460184544,8.0,0.0,0.14808660983683097,0.023443169836725043,0.14397277413786524,0.023864390907689235,0.13143640953379637,0.01953605070773397,0.1273211087983424,0.02002786376389308,0.07148758613751521,0.00813411475911649,0.07035261924228493,0.008319253016307728,24.75,1.4880476182856899,47.125,0.8345229603962802,24.75,1.4880476182856899,28.0,0.7559289460184544,0.0,0.0,,
