probe_kind,basis,n,TQ_E_model_to_operator_mean,TQ_E_model_to_operator_std,TQ_E_operator_to_T_mean,TQ_E_operator_to_T_std,TQ_X_sub_mean,TQ_X_sub_std,TQ_X_use_mean,TQ_X_use_std,actLR_E_model_to_operator_mean,actLR_E_model_to_operator_std,actLR_E_operator_to_T_mean,actLR_E_operator_to_T_std,actLR_KRR_cost_mean,actLR_KRR_cost_std,actLR_X_sub_mean,actLR_X_sub_std,actLR_X_use_mean,actLR_X_use_std,actLR_model_fit_gain_mean,actLR_model_fit_gain_std,rank_mean,rank_std
isotropic,raw,4,0.7366283699006222,0.25955313639774824,0.7139920220320009,0.32922728016533453,0.4089224409720227,0.39000056920915716,0.33570009568000614,0.3020852070086809,0.84569222955355,0.45728681057141674,0.9024839766426334,0.3441945842882542,0.1884919546106325,0.1442630145060881,0.09667023801505287,0.6395897512244199,0.06850145590822945,0.6857413444702255,-0.10906385965292772,0.215449623537778,9.0,0.0
isotropic,response,4,0.9640748942851676,0.05504406108194313,0.9548178922799083,0.03850131482169571,0.08721102915167772,0.07334792609043445,-0.1368931936590064,0.2376044411341218,1.0305999842688212,0.25221222325780596,1.056126150473046,0.19427253319030183,0.10130825819313749,0.22733861933714575,-0.14370880857494706,0.4442074380615617,-0.3102330620929878,0.6181530926956641,-0.06652508998365358,0.21793925917580007,9.0,0.0
label,raw,4,0.3292089606313276,0.055403795891732235,0.307249456850057,0.14436635353569305,0.889966538240661,0.09655237422616622,0.8565369220862677,0.09290228778815812,0.43197216056954924,0.18154486020050656,0.4796394001304677,0.16194469125900435,0.1723899432804107,0.07641674456752592,0.7502764835727316,0.1550219105566033,0.7443051141740378,0.193238024757017,-0.10276319993822161,0.163923866318099,9.0,0.0
label,response,4,0.44821652702850756,0.16938255771985414,0.4802238820183109,0.22185398838145073,0.7324706290191796,0.21875583462416756,0.6921144532126862,0.27592018716163386,0.5428734475544896,0.20270863006398102,0.5968888975566867,0.26752013091133586,0.11666501553837584,0.10632509730254477,0.5900483786421767,0.31780182981975935,0.5728266925375302,0.3339229703646268,-0.09465692052598204,0.11255955167028465,9.0,0.0
