basis,operator_kind,lambda,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,lambda_mean,lambda_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
raw,actLR,0.0,4,0.18688403150967067,0.12437418270989756,0.4736474126006337,0.237612051525314,0.9474921095487948,0.12002255429864857,0.5333993060198822,0.1863316921527061,0.9999999999998679,1.858911340542755e-13,0.5333993060194034,0.18633169215248058,0.49839376081802633,0.22832321198132727,0.6894455557127137,0.21983881059539617,0.7125050423305614,0.23000630253045304,-0.8303790990068518,0.25829775816082606,0.0,0.0,0.33183062645520395,0.44276659104837,1.6860687249479913,2.240114202410427,1.5708620684788008,1.9389895889646251,9.0,0.0
raw,actLR,0.1,4,0.2006218373949506,0.12005124235453102,0.49316038545842733,0.26084576225226314,0.9416315456069952,0.11998099062048724,0.5589571437785001,0.20751884543727778,0.9999999999998977,1.3800826912746714e-13,0.5589571437779843,0.2075188454370395,0.5193572731948338,0.24859623193088912,0.6552688580109165,0.25906236512820646,0.6839179578819494,0.27710486404992757,-0.8140968715913124,0.2895061922073064,0.1,0.0,0.33183062645520395,0.44276659104837,1.6860687249479913,2.240114202410427,1.5708620684788008,1.9389895889646251,9.0,0.0
raw,actLR,0.25,4,0.23100075039706963,0.12479913654220534,0.5389095860394979,0.2705499424855135,0.9370611056319501,0.12369199940918366,0.6101517274554945,0.21154476952885673,0.9999999999999113,1.175028810713421e-13,0.6101517274549257,0.21154476952861564,0.571536764114527,0.2601388364111803,0.5941514773475836,0.28187900479537553,0.6225915666084734,0.31550602953541385,-0.8061136530385196,0.3013531963504813,0.25,0.0,0.33183062645520395,0.44276659104837,1.6860687249479913,2.240114202410427,1.5708620684788008,1.9389895889646251,9.0,0.0
raw,actLR,0.5,4,0.2796854545157037,0.12693139584319899,0.6205938539863654,0.293494431835891,0.9304605246985038,0.12792405057233477,0.6974091069648574,0.21898618515460425,0.9999999999999218,1.0098774806636088e-13,0.6974091069642018,0.2189861851543534,0.6636784415497577,0.2824547694831315,0.4776543255570521,0.32163873506315993,0.4996954036192581,0.3845658224565039,-0.8001475392835146,0.30525660278052164,0.5,0.0,0.33183062645520395,0.44276659104837,1.6860687249479913,2.240114202410427,1.5708620684788008,1.9389895889646251,9.0,0.0
raw,actLR,0.75,4,0.33229790832033557,0.12315665441621654,0.7181834864161114,0.3370769433680944,0.9224716266295734,0.12839045216321449,0.796828378678843,0.24112699328826123,0.9999999999999253,9.336445372835037e-14,0.7968283786780915,0.24112699328798426,0.772738192350858,0.3165435950173819,0.32145786476416627,0.3915780718592639,0.32772580042243205,0.48215033054242545,-0.7969084929608724,0.30366410572426994,0.75,0.0,0.33183062645520395,0.44276659104837,1.6860687249479913,2.240114202410427,1.5708620684788008,1.9389895889646251,9.0,0.0
raw,actLR,0.9,4,0.3707939826636053,0.12227734377193132,0.7908775248862059,0.3801061761704573,0.9170653581430532,0.13031157768186397,0.8670796909043601,0.2666190693070386,0.9999999999999238,9.283053544676577e-14,0.8670796909035434,0.2666190693067351,0.8534940903177488,0.3458773649210367,0.1948585135341234,0.46892200153479574,0.18182447411913857,0.5663325010952871,-0.7954293938287571,0.30110976366625136,0.9,0.0,0.33183062645520395,0.44276659104837,1.6860687249479913,2.240114202410427,1.5708620684788008,1.9389895889646251,9.0,0.0
raw,actLR,1.0,4,0.4092270862035371,0.1442337782730577,0.8450005071008585,0.40784068739147666,0.922958628666063,0.15508576162272517,0.9122977254864783,0.2700183494677389,0.9999999999999152,1.0344113413875702e-13,0.9122977254856275,0.2700183494674306,0.905329249146381,0.34419227528456103,0.11303042828691398,0.5136404122137056,0.09152770886587755,0.5784379410539159,-0.7947705982398964,0.2961947574171258,1.0,0.0,0.33183062645520395,0.44276659104837,1.6860687249479913,2.240114202410427,1.5708620684788008,1.9389895889646251,9.0,0.0
raw,galerkin,0.0,4,0.18688403150967067,0.12437418270989756,0.37972141735190457,0.042949140049965424,0.9474921095487948,0.12002255429864857,0.3445090045077552,0.14864988598803336,0.9999999999998679,1.858911340542755e-13,0.34450900450744126,0.148649885987876,0.4065098613849228,0.07326242134293727,0.8647409543601354,0.09517202965585955,0.8307241958110383,0.059304975628108436,-0.8145219339920143,0.2482300112196128,0.0,0.0,0.33183062645520395,0.44276659104837,0.483346437809921,0.5153397844226768,0.19680868040583122,0.14811342192227714,9.0,0.0
raw,galerkin,0.1,4,0.2006218373949506,0.12005124235453102,0.4129626957488719,0.0469215705254822,0.9416315456069952,0.11998099062048724,0.40092781778848,0.1658776487795031,0.9999999999998977,1.3800826912746714e-13,0.4009278177881084,0.16587764877933162,0.4453088490261797,0.08540616285068595,0.8186203391502459,0.12552010185633364,0.7962293694893208,0.07811246865460408,-0.8096954916756616,0.2790645569019903,0.1,0.0,0.33183062645520395,0.44276659104837,0.483346437809921,0.5153397844226768,0.19680868040583122,0.14811342192227714,9.0,0.0
raw,galerkin,0.25,4,0.23100075039706963,0.12479913654220534,0.46559375023947414,0.04762135227842381,0.9370611056319501,0.12369199940918366,0.4660148701922931,0.1772875589944111,0.9999999999999113,1.175028810713421e-13,0.46601487019185744,0.17728755899422627,0.5041481570668648,0.08977389120330123,0.7592569818294678,0.15494805339557183,0.7397901220697474,0.09369288209394672,-0.8097344245815121,0.2806530135264088,0.25,0.0,0.33183062645520395,0.44276659104837,0.483346437809921,0.5153397844226768,0.19680868040583122,0.14811342192227714,9.0,0.0
