probe_kind,basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,is_predeclared_rank_mean,is_predeclared_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std
isotropic,raw,0,4,0.33538027747278215,0.08936677055230995,0.9176531681575899,0.1316002160745626,0.9176531681575899,0.1316002160745626,0.9999999999999706,3.219627629579765e-14,0.9999999999999706,3.219627629579765e-14,0.9999999999989999,1.1102230246251565e-16,0.9999999999988918,1.720356762445045e-13,2.0000112677109882e-12,1.1102230246251565e-16,2.2163937352104313e-12,3.440713465183716e-13,-0.9465465147257467,0.042207350044150146,0.0,0.0,0.33183062645520395,0.44276659104837,0.8019346961619019,0.2605479504629098,0.999999999996771,4.418406392084548e-12,0.0,0.0
isotropic,raw,1,4,0.33538027747278215,0.08936677055230995,0.9352651716675922,0.1282680629711835,0.9176531681575899,0.1316002160745626,0.9837643086873854,0.006435062077624284,0.9999999999999706,3.219627629579765e-14,0.9837643086864306,0.006435062077598226,1.0200838026442012,0.023531099247980407,0.032176727436752345,0.01267623276203476,-0.04098624889091726,0.04792560900451543,-0.9431213709706607,0.040591471053281356,0.0,0.0,0.33183062645520395,0.44276659104837,1.0524574136180445,0.7526340114339156,0.9030161065168762,0.5836156302279452,1.0,0.0
isotropic,raw,10,4,0.33538027747278215,0.08936677055230995,0.7360232080136587,0.2636680124644041,0.9176531681575899,0.1316002160745626,0.707265322325518,0.3429303687330543,0.9999999999999706,3.219627629579765e-14,0.7072653223248233,0.3429303687327078,0.7940344914626126,0.22015234216544324,0.41157483548740054,0.3961104775433516,0.3331589360470124,0.31024284717247214,-0.7185072049356956,0.4449081030968418,0.0,0.0,0.33183062645520395,0.44276659104837,0.4509756713282396,0.4577273885420775,0.163277194266047,0.1131162176737854,10.0,0.0
isotropic,raw,11,4,0.33538027747278215,0.08936677055230995,0.7325509795149626,0.2599081831645265,0.9176531681575899,0.1316002160745626,0.6989888775067451,0.343432470264816,0.9999999999999706,3.219627629579765e-14,0.6989888775060583,0.34343247026446905,0.7898269089653447,0.2134518525926848,0.4229551528988539,0.39460937978648497,0.34200218384281234,0.3021230150112911,-0.7221586119621756,0.43291473661659047,0.0,0.0,0.33183062645520395,0.44276659104837,0.48677134361899854,0.5328428951296486,0.21004181705375455,0.17579604315563302,11.0,0.0
isotropic,raw,12,4,0.33538027747278215,0.08936677055230995,0.7314421030629547,0.2534893828443736,0.9176531681575899,0.1316002160745626,0.6917049819925455,0.34833530777105837,0.9999999999999706,3.219627629579765e-14,0.6917049819918658,0.34833530777070715,0.7890166540508273,0.20631115894398416,0.43054110290784764,0.39356178907585715,0.3455294989018296,0.29242269547342165,-0.7239658615993759,0.42761529088365985,0.0,0.0,0.33183062645520395,0.44276659104837,0.4872278848739737,0.5286105191311535,0.20591022431592318,0.168536122777096,12.0,0.0
isotropic,raw,13,4,0.33538027747278215,0.08936677055230995,0.7138079209755264,0.24867341815144864,0.9176531681575899,0.1316002160745626,0.6656448582074356,0.34299225111954423,0.9999999999999706,3.219627629579765e-14,0.6656448582067814,0.3429922511191983,0.7673605229552998,0.19104247064282806,0.4686841594970126,0.38142875894050987,0.38378490861778203,0.2742708650035045,-0.7342511679860809,0.39174085305092815,0.0,0.0,0.33183062645520395,0.44276659104837,0.46696316467003607,0.4963531241663345,0.18411210643351142,0.13837831077274826,13.0,0.0
isotropic,raw,14,4,0.33538027747278215,0.08936677055230995,0.7022456872908484,0.2540668044115155,0.9176531681575899,0.1316002160745626,0.6503421612160528,0.34314974981819935,0.9999999999999706,3.219627629579765e-14,0.6503421612154134,0.343149749817853,0.7523549282679917,0.19081163462149658,0.48874126024562375,0.3839633099596849,0.40665525198066965,0.2766583118752236,-0.7344803975775418,0.37604633820314437,0.0,0.0,0.33183062645520395,0.44276659104837,0.4749586116659161,0.4749608471908659,0.1960672462697433,0.1461915701608596,14.0,0.0
isotropic,raw,15,4,0.33538027747278215,0.08936677055230995,0.6964806093421589,0.24931329637629815,0.9176531681575899,0.1316002160745626,0.6348250302365009,0.33515798797960555,0.9999999999999706,3.219627629579765e-14,0.6348250302358769,0.3351579879792671,0.7456812785030882,0.18419231046714746,0.5127490233062851,0.3678960633269396,0.41851432546358036,0.2678252015236565,-0.7440296435285144,0.3480357505022086,0.0,0.0,0.33183062645520395,0.44276659104837,0.4752781730212116,0.4963412198186548,0.17359325598739006,0.12443442596929229,15.0,0.0
isotropic,raw,16,4,0.33538027747278215,0.08936677055230995,0.7034218191442673,0.25710281487254166,0.9176531681575899,0.1316002160745626,0.63928789948425,0.3425341576637868,0.9999999999999706,3.219627629579765e-14,0.6392878994836216,0.34253415766344125,0.7526167787141068,0.19122350046499934,0.5033137446991666,0.3797614212981488,0.4061431640504355,0.2805724417691113,-0.7423357411565482,0.35307204885128257,0.0,0.0,0.33183062645520395,0.44276659104837,0.46692347882330065,0.4788728703183571,0.16809702549108646,0.12037896525290073,16.0,0.0
isotropic,raw,17,4,0.33538027747278215,0.08936677055230995,0.6919929406938621,0.25711262797137907,0.9176531681575899,0.1316002160745626,0.6207438273633725,0.35530534723309415,0.9999999999999706,3.219627629579765e-14,0.6207438273627618,0.3553053472327371,0.7402203684170638,0.19224577352559913,0.519995683461898,0.3795480561279951,0.42435497810166434,0.277193094467146,-0.7059280676724173,0.41695282383974835,0.0,0.0,0.33183062645520395,0.44276659104837,0.4549911794102225,0.48757653046945154,0.1574941624876586,0.12357207571166481,17.0,0.0
