probe_kind,eps,n,additivity_defect_mean,additivity_defect_std,eps_mean,eps_std
isotropic,0.001,4,0.006986885030633642,0.011347100264841575,0.001,0.0
isotropic,0.01,4,0.06555331407230498,0.12185530969691305,0.01,0.0
label,0.001,4,0.0018346465070843382,0.0014627221489261722,0.001,0.0
label,0.01,4,0.0108239541455019,0.01811564413802029,0.01,0.0
