episode,probe_kind,basis,rank,TQ_E_model_to_operator,actLR_E_model_to_operator,actLR_model_fit_gain,TQ_E_operator_to_T,actLR_E_operator_to_T,actLR_KRR_cost,TQ_X_use,actLR_X_use,TQ_X_sub,actLR_X_sub
0,isotropic,raw,9,0.993868013109522,1.4027614208143941,-0.40889340770487215,0.9722913020763306,1.3255992819757711,0.3533079798994405,0.0967705796021523,-0.7993194516610262,0.05464962390858519,-0.757213456371201
0,isotropic,response,9,1.0248533817052397,1.0543880666363308,-0.029534684931091126,0.9798142720994721,0.9874755624030129,0.007661290303540791,0.03957352027348937,-0.016580119884950673,0.03996399219208224,0.024892013658783685
0,label,raw,9,0.3161903720805437,0.6122558976120637,-0.29606552553152,0.314340635044633,0.5946049116900274,0.2802642766453944,0.9059276679948561,0.6472795976491769,0.9011899651599338,0.6464449989947991
0,label,response,9,0.3405608273783447,0.4520875841936228,-0.11152675681527813,0.33678071965488043,0.4364016471658812,0.09962092751100077,0.8908675233045995,0.8076864933310904,0.8865787468689668,0.8095536023512852
1,isotropic,raw,9,0.6017892814914748,0.6517362098984381,-0.04994692840696324,0.7462809655317446,0.7956447746528,0.049363809121055424,0.3423414710113525,0.22864329022000807,0.443064720486092,0.36694939256892833
1,isotropic,response,9,0.8934105134896945,0.7301186784299554,0.1632918350597391,0.9934224147909894,0.9090940621570487,-0.08432835263394067,-0.4494848417639761,0.03194846414252117,0.013111905792762113,0.17354798615240608
1,label,raw,9,0.4101478847707001,0.5336284025146112,-0.12348051774391111,0.4967734081123087,0.6402586898537473,0.14348528174143865,0.7191930654924744,0.5246595750212586,0.7532161809929464,0.5900688100675351
1,label,response,9,0.6315739264657025,0.6087300588537012,0.0228438676120013,0.7303316913977692,0.7727956890090858,0.042463997611316584,0.3341517521125006,0.3814477779877903,0.4666156205410782,0.40278682305009716
2,isotropic,raw,9,0.9102245257496655,0.9908335717043854,-0.08060904595471985,0.8967146432479262,0.9840887789813783,0.0873741357334521,0.14390252775534407,-0.014442823825971951,0.19590284858634321,0.03156927508486562
2,isotropic,response,9,0.9557287234140592,0.9933069667873179,-0.03757824337325866,0.9354550489627496,0.9855934367791821,0.05013838781643254,0.05616641918890464,-0.019513805857237942,0.12492385137183959,0.028605577379731684
2,label,raw,9,0.2857208676769777,0.3812637785052198,-0.09554291082824212,0.2690524761467215,0.3709084228240259,0.10185594667730441,0.9195114992174157,0.8566819096687536,0.9276107650794625,0.8624269418784685
2,label,response,9,0.272531912570029,0.3204099291825259,-0.04787801661249691,0.2553703559152084,0.3082139838247263,0.05284362790951791,0.926770740004805,0.8987810449720856,0.9347859813198701,0.9050041401750811
3,isotropic,raw,9,0.4406316592518263,0.33743771579698195,0.10319394345484434,0.24068117727200194,0.5046030709605839,0.26392189368858193,0.7597858043511758,0.8591248088999079,0.9420725709070702,0.7453757407776185
3,isotropic,response,9,0.9823069585316766,1.3445862252216803,-0.36227926669000365,0.9105798332664222,1.3423415405529395,0.4317617072865173,-0.19382787233444354,-1.2367867867722837,0.17084436725002694,-0.8018808114907097
3,label,raw,9,0.30477671799708905,0.20074056364630233,0.10403615435078672,0.14883130809656483,0.31278557615407016,0.16395426805750532,0.8815154556403246,0.9485993743569618,0.977849241730301,0.9021651833501234
3,label,response,9,0.5481994416999542,0.7902662179881086,-0.24206677628815443,0.5984127611053854,0.8701442702270535,0.2717315091216681,0.6166677974288396,0.20339145385915425,0.6419021673468035,0.24284894899224352
