probe_kind,basis,rank,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,is_selected_rank_mean,is_selected_rank_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std,rho_operator_to_T_mean,rho_operator_to_T_std
isotropic,raw,0,4,0.29180001542181827,0.08492623428724463,1.0449670249377783,0.033970520951253455,1.0449670249377783,0.033970520951253455,0.9999999999999883,5.4461314991652965e-15,0.9999999999999883,5.4461314991652965e-15,0.9999999999989999,6.409875621278546e-17,0.9999999999990422,3.054452020481709e-14,2.0001222900134508e-12,1.1102230246251565e-16,1.915578806688245e-12,6.108904040963418e-14,-0.9585636545064861,0.021389224704233007,0.0,0.0,0.010451135401294463,0.008485950681648823,0.9914811381671973,0.009752880590227967,0.9999999999998229,9.986067819177242e-14,0.0,0.0,1342.4033405660634,1054.00588990826
isotropic,raw,1,4,0.29180001542181827,0.08492623428724463,1.0719371639733188,0.08513756276048456,1.0449670249377783,0.033970520951253455,1.0000346324295575,0.03301069368398164,0.9999999999999883,5.4461314991652965e-15,1.000034632428569,0.03301069368395054,1.0253102999351769,0.06518211063735259,-0.0008865454796646854,0.06508620645168184,-0.05444774181351725,0.1366871327739469,-0.9624261371209999,0.019238494228298503,0.0,0.0,0.010451135401294463,0.008485950681648823,1.0857662832021313,0.18747069731487495,1.0933892054816248,0.19179510934418323,1.0,0.0,1100.4974637114342,781.0476138414195
isotropic,raw,10,4,0.29180001542181827,0.08492623428724463,0.2833412875807337,0.08609984784904166,1.0449670249377783,0.033970520951253455,0.04548147107469973,0.012386740395860874,0.9999999999999883,5.4461314991652965e-15,0.045481471074654806,0.012386740395848788,0.26943318783750303,0.07322184678809271,0.9978163622856597,0.0011709583365967565,0.9233846781564266,0.040447395678208875,0.09399325530787296,0.06400993459352008,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010290350317967977,0.008579896041211421,0.00027871023643015057,0.0003349245998479181,10.0,0.0,0.002112664569715471,0.0011108364886245692
isotropic,raw,11,4,0.29180001542181827,0.08492623428724463,0.2828546195518861,0.0881239203396482,1.0449670249377783,0.033970520951253455,0.04299327922533217,0.01314418766869413,0.9999999999999883,5.4461314991652965e-15,0.0429932792252897,0.013144187668681282,0.26893168166872716,0.07527122468052207,0.9980220006893542,0.0012011813422587421,0.9234264326461511,0.041371910683102184,0.10925208679784115,0.08423346903535828,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010310184294125843,0.008538566856589812,0.0002351346414306872,0.00030981654357437944,11.0,0.0,0.001899698880996142,0.0011020867770039184
isotropic,raw,12,4,0.29180001542181827,0.08492623428724463,0.28576057299895785,0.08879208372818415,1.0449670249377783,0.033970520951253455,0.038898352823932066,0.013535902417800309,0.9999999999999883,5.4461314991652965e-15,0.038898352823893645,0.013535902417787045,0.2716928965856009,0.07573747462811636,0.9983495026568899,0.0011204571552724993,0.9218808461476427,0.04216788813924018,0.05693079802535623,0.07096892325267341,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010322345728036723,0.008507090361639102,0.00023502820246483648,0.0002986098088085749,12.0,0.0,0.0016101637478142532,0.001124180431093537
isotropic,raw,13,4,0.29180001542181827,0.08492623428724463,0.28816077805960194,0.08931797892720443,1.0449670249377783,0.033970520951253455,0.02939464524821197,0.007851952335182133,0.9999999999999883,5.4461314991652965e-15,0.02939464524818291,0.007851952335174339,0.27397350495285827,0.07608220686584061,0.999089714964128,0.00047029940901074284,0.9205971419326637,0.04284282212890608,0.043188505009567876,0.10928843161350359,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010450822396317571,0.008479791955152464,3.748663904609771e-05,1.4131001810252436e-05,13.0,0.0,0.0008583923607674092,0.00039931517242701263
isotropic,raw,14,4,0.29180001542181827,0.08492623428724463,0.2890236020521876,0.08798673397427935,1.0449670249377783,0.033970520951253455,0.026975798723286676,0.0072792558175931365,0.9999999999999883,5.4461314991652965e-15,0.026975798723259996,0.0072792558175858784,0.27482941127783833,0.07478945584953184,0.9992325656092986,0.0004077906041654098,0.920273697666975,0.04222644343812267,0.03437878278844444,0.08315675421826144,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010428572887187315,0.008512804091981558,5.150743194562776e-05,2.383132863897331e-05,14.0,0.0,0.0007348113879146452,0.000352586994288438
isotropic,raw,15,4,0.29180001542181827,0.08492623428724463,0.28920239658843006,0.0877435200378693,1.0449670249377783,0.033970520951253455,0.026097407065791726,0.007385639399047309,0.9999999999999883,5.4461314991652965e-15,0.02609740706576592,0.00738563939903995,0.2750058164896487,0.07455281773859893,0.9992780145924441,0.00040404349602453214,0.920203208922288,0.0421176945488684,0.03423471714324518,0.08433428127638941,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010423880939313453,0.008509478315530115,4.2302500584010905e-05,3.0436822892950664e-05,15.0,0.0,0.000671479410499083,0.00035512013488554056
isotropic,raw,16,4,0.29180001542181827,0.08492623428724463,0.2895880165676207,0.08739428159465616,1.0449670249377783,0.033970520951253455,0.023354906075271596,0.0065468936815201466,0.9999999999999883,5.4461314991652965e-15,0.023354906075248504,0.006546893681513621,0.2753805873217736,0.07417782650296524,0.9994224019995586,0.00033282135160023516,0.920038769667787,0.042004431211948745,0.033193862775676805,0.07294170125705018,0.0,0.0,0.010451135401294463,0.008485950681648823,0.010439945460708075,0.008506828804860943,2.7187853316880866e-05,1.909854377919169e-05,16.0,0.0,0.0005306981033703314,0.0002646354696562824
isotropic,raw,17,4,0.29180001542181827,0.08492623428724463,0.28962555761547987,0.08729586427189481,1.0449670249377783,0.033970520951253455,0.021389694032232325,0.005657000286796213,0.9999999999999883,5.4461314991652965e-15,0.021389694032211172,0.005657000286790572,0.2754188715315288,0.07408565741235158,0.9995184797500248,0.0002536970087759378,0.9200279317286341,0.041953046990949316,0.044224588331421844,0.08167519166780146,0.0,0.0,0.010451135401294463,0.008485950681648823,0.01044610414495805,0.008497831289339017,2.6100688674323227e-05,1.6282995543571504e-05,17.0,0.0,0.0004369629097770756,0.00018872454500064317
