episode,lambda,basis,operator_kind,rank,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rho_operator_to_T
0,0.0,matched_response,galerkin,6,0.008509888746080706,0.0006099321998287187,0.008360588234261978,0.01692920516098266,0.016950663095233163,0.0038186155323821657,0.9998060479399304,0.9999999999999998,0.01695395134900667,0.0038186155323783476,0.9997125635336556,0.9999854181754159,-0.1182548596171733,0.005646354996389439
0,0.0,matched_response,actLR,6,0.008509888746080706,0.010335315824445345,0.006319771008145079,0.01692920516098266,0.007088094738615234,0.015696255034432973,0.9998060479399304,0.9999999999999998,0.007089469755872097,0.015696255034417277,0.9999497394185806,0.9997536275778945,-0.045010933746073976,0.1265213411467105
0,0.1,matched_response,galerkin,6,0.008509888746080706,0.0011516633321244577,0.008582706703933204,0.022087764283597038,0.02218515109253967,0.00839286786253773,1.000691703159599,0.9999999999999998,0.02216981616063146,0.008392867862529338,0.9995084992514038,0.9999295597690421,-0.20073312726797862,0.010676261099729346
0,0.1,matched_response,actLR,6,0.008509888746080706,0.009953712180444186,0.003791810239129241,0.022087764283597038,0.011310129474595207,0.020143825833861696,1.000691703159599,0.9999999999999998,0.011302311629918717,0.020143825833841555,0.9998722577518202,0.9995942262807759,-0.10056525055125859,0.13899137651158935
0,0.25,matched_response,galerkin,6,0.008509888746080706,0.0021969469987614077,0.00895189364685209,0.030859216163637626,0.032490467945425414,0.015960832518227813,1.0015111468478985,0.9999999999999998,0.03244144415931035,0.015960832518211853,0.9989475527008583,0.9997452518253256,-0.345261068166084,0.019353884969175485
0,0.25,matched_response,actLR,6,0.008509888746080706,0.010331841376098902,0.0025487913404871852,0.030859216163637626,0.01847531746315733,0.028683988236528495,1.0015111468478985,0.9999999999999998,0.018447440671316626,0.028683988236499817,0.9996596919326782,0.9991772288188483,-0.19984809651127844,0.17876776481739828
0,0.5,matched_response,galerkin,10,0.008509888746080706,0.004071973606412727,0.009495542022872857,0.048957747568596624,0.06330768839248639,0.03870997466116988,1.0031138556528976,0.9999999999999997,0.06311116932107189,0.03870997466113118,0.996016980306927,0.9985015378617346,-0.6344191216473142,0.048952832095058255
0,0.5,matched_response,actLR,10,0.008509888746080706,0.013839521618060973,0.005706164436975776,0.048957747568596624,0.04129235286611851,0.05415342687140217,1.0031138556528976,0.9999999999999997,0.041164173571504856,0.05415342687134803,0.9983055108141751,0.9970674063580895,-0.5010439027930931,0.5626769416532579
0,0.75,matched_response,galerkin,20,0.008509888746080706,0.0016380385458038599,0.008788896038113156,0.08236585749883414,0.14621924190995617,0.08885712074699594,1.0066525343216426,0.9999999999999992,0.14525294172963496,0.08885712074690715,0.9789015829188873,0.9921044120925696,-0.8655497769901929,0.13758960756459493
0,0.75,matched_response,actLR,20,0.008509888746080706,0.01606288299498756,0.010050528604804314,0.08236585749883414,0.11403792341540735,0.10114520011793217,1.0066525343216426,0.9999999999999992,0.11328429574971596,0.10114520011783111,0.9871666683364909,0.9897696484931239,-0.7131225413990481,2.3032914222830208
