basis,operator_kind,lambda,n,E_model_to_T_mean,E_model_to_T_std,E_model_to_operator_mean,E_model_to_operator_std,E_model_to_zero_mean,E_model_to_zero_std,E_operator_to_T_mean,E_operator_to_T_std,E_zero_to_T_mean,E_zero_to_T_std,R_sub_mean,R_sub_std,R_use_mean,R_use_std,X_sub_mean,X_sub_std,X_use_mean,X_use_std,cos_res_mean,cos_res_std,lambda_mean,lambda_std,point_model_to_T_mean,point_model_to_T_std,point_model_to_operator_mean,point_model_to_operator_std,point_operator_to_T_mean,point_operator_to_T_std,rank_mean,rank_std,rho_operator_to_T_mean,rho_operator_to_T_std
matched_response,actLR,0.0,4,0.012695539174337842,0.0056589472518414445,0.006377096890431461,0.0019884054092101843,1.001697602044575,0.00407627485403747,0.011553410936586085,0.00539086729572467,0.9999999999999998,1.1102230246251565e-16,0.011553410936574533,0.00539086729571928,0.006361313489619862,0.0019607388107311407,0.9998447226080807,0.00012508734837048767,0.9999566503181738,2.5791092611974405e-05,-0.10686230873817112,0.08305426231424858,0.0,0.0,0.010451135401294463,0.008485950681648823,0.009342587194429104,0.0031057762200017856,0.01039761366986863,0.0025195459810721014,6.0,0.0,0.12968607029571239,0.07169817394284664
matched_response,actLR,0.1,4,0.01587726080840631,0.007009493857968931,0.009826998364409947,0.0033743238426018193,1.001694582475801,0.003295327530269463,0.014061937517846533,0.006312807621727405,0.9999999999999997,1.6958936828758672e-16,0.014061937517832473,0.006312807621721093,0.00980378145237742,0.003339615209721346,0.999772373258193,0.00017654153431435792,0.9998955210969223,6.786978023020847e-05,-0.17426833024194432,0.1218465413086176,0.1,0.0,0.010451135401294463,0.008485950681648823,0.007538464198149641,0.004319064271042706,0.011016564469222664,0.004768349908827384,6.0,0.0,0.13451241244625314,0.08109375253250031
matched_response,actLR,0.25,4,0.02128485334478704,0.010130719661757614,0.015915517620659375,0.005896064551607499,1.0017458348260253,0.002815895446765341,0.019055513772134554,0.009072840872374786,0.9999999999999997,2.3111135221866393e-16,0.019055513772115503,0.009072840872365717,0.01587725351390522,0.005845430372433305,0.9995751500637593,0.0003472271366592858,0.9997222860286759,0.0001916813719604664,-0.3039561014445355,0.13215215059631574,0.25,0.0,0.010451135401294463,0.008485950681648823,0.006603668850007784,0.005171142831644504,0.011853519152348675,0.0063539469544609956,6.0,0.0,0.16245566523061034,0.1022162629422965
matched_response,actLR,0.5,4,0.03265678166426922,0.016741289739620434,0.03340261787767134,0.012367392910941763,1.0019429409441551,0.0023587300004432685,0.03363487411326302,0.016710850993692256,0.9999999999999994,3.3917873657517345e-16,0.03363487411322941,0.016710850993675554,0.033317890926502704,0.012283545805124557,0.9986592558376877,0.0011846695084433041,0.9987767540210497,0.0007857011595792698,-0.5683052873123807,0.1083377447930157,0.5,0.0,0.010451135401294463,0.008485950681648823,0.0089634775441487,0.003408566482359477,0.0158036277043637,0.01215408135341298,7.75,2.0615528128088303,0.31134484975783117,0.19773667903853587
matched_response,actLR,0.75,4,0.05383669273519969,0.02887393236809997,0.06604252480317131,0.03834279503847294,1.0025997526133295,0.003177317642657689,0.06375957200519755,0.03332325574908493,0.9999999999999989,6.568167990716596e-16,0.06375957200513385,0.03332325574905165,0.06579985625338615,0.03802953877283144,0.9951018874474347,0.004327090822053705,0.994585694552578,0.005500611562729587,-0.6624307850545958,0.11684281923704894,0.75,0.0,0.010451135401294463,0.008485950681648823,0.034904656666926936,0.02528588050502146,0.04331583641115537,0.032336559831924135,17.25,4.856267428111155,1.506839621788584,1.045686939073486
matched_response,actLR,0.9,4,0.08991420746166569,0.04915812715041434,0.15494193813289536,0.09651329927063353,1.0045574731977729,0.0067784660901618,0.13752413945589273,0.0747093445210252,0.9999999999999977,1.4232233556883715e-15,0.1375241394557556,0.07470934452095067,0.15383152861583999,0.09492413378355789,0.9769009964478914,0.019437988241442383,0.969577917422795,0.03078293016474416,-0.7861872342936899,0.10054394171370437,0.9,0.0,0.010451135401294463,0.008485950681648823,0.07389329887602634,0.07356422179089422,0.08091474682111734,0.08451501931903516,20.0,0.0,7.079360578245283,4.955141134245302
matched_response,actLR,1.0,4,0.30126389718115343,0.11222424435080769,0.6986880096827575,0.05028162417078523,1.0323234625101758,0.031079984544060902,0.7037923531506497,0.06143456737352866,0.9999999999999754,1.1857057158180406e-14,0.703792353149963,0.06143456737346465,0.6763337275086679,0.034062636497099966,0.5018456690963642,0.08478411874616408,0.5417024916303808,0.04545464575265325,-0.9034465406392063,0.05589114222562623,1.0,0.0,0.010451135401294463,0.008485950681648823,0.588184885636895,0.3248294592143021,0.5962766109167947,0.33374682495513786,20.0,0.0,797.6792838374915,592.6987225835536
matched_response,galerkin,0.0,4,0.012695539174337842,0.0056589472518414445,0.012861634205246282,0.005663811301423399,1.001697602044575,0.00407627485403747,0.0029302844075458304,0.0006717648001002197,0.9999999999999998,1.1102230246251565e-16,0.0029302844075429005,0.000671764800099548,0.01282897576001947,0.0056183388003529025,0.9999910749823309,4.093865637415302e-06,0.9998117430827922,0.00014502795948228203,-0.17709913933600768,0.13754054739130267,0.0,0.0,0.010451135401294463,0.008485950681648823,0.011836268878824916,0.007196109265833836,0.002607252800442433,0.0034063264976844938,6.0,0.0,0.008471139431288296,0.006959534760471602
matched_response,galerkin,0.1,4,0.01587726080840631,0.007009493857968931,0.01656765614500031,0.007127460890768904,1.001694582475801,0.003295327530269463,0.005654632782389823,0.0020654059473391986,0.9999999999999997,1.6958936828758672e-16,0.00565463278238417,0.002065405947337134,0.016527853155061865,0.007079932946858371,0.9999648257018009,2.5445485021519195e-05,0.9996892359821858,0.00023245944606724149,-0.300098070135958,0.17385714461676782,0.1,0.0,0.010451135401294463,0.008485950681648823,0.012308419242824744,0.006451851594492988,0.002954791913826258,0.0032453041341372157,6.0,0.0,0.011706989718720551,0.0063411242279767435
matched_response,galerkin,0.25,4,0.02128485334478704,0.010130719661757614,0.023982448967501548,0.010990054045507392,1.0017458348260253,0.002815895446765341,0.010689390638307934,0.004308779839238528,0.9999999999999997,2.3111135221866393e-16,0.01068939063829725,0.004308779839234219,0.023923225284344596,0.010923955149330145,0.9998718127400046,9.760313794135256e-05,0.9993381796949161,0.0005156572208244822,-0.47565418411285015,0.1503544128037638,0.25,0.0,0.010451135401294463,0.008485950681648823,0.013073827371226301,0.0065955530264010225,0.0037074613207167518,0.002907968722455508,6.0,0.0,0.017671129279430323,0.005528356838284438
